t              SphericalCavity.fdtd_Point probe_Ez_50_25_50.dat
   0.26622714033308625E-008   0.331611664E-003
   0.26807593991873269E-008   0.277144980E-003
   0.26992473950437912E-008   0.228112476E-003
   0.27177353909002555E-008   0.185485565E-003
   0.27362233867567198E-008   0.149250438E-003
   0.27547113826131842E-008   0.118658550E-003
   0.27731993784696485E-008   0.925549466E-004
   0.27916873743261128E-008   0.696558345E-004
   0.28101753701825771E-008   0.487120196E-004
   0.28286633660390414E-008   0.285977712E-004
   0.28471513618955058E-008   0.839085624E-005
   0.28656393577519701E-008  -0.125628321E-004
   0.28841273536084344E-008  -0.346695269E-004
   0.29026153494648987E-008  -0.582100729E-004
   0.29211033453213631E-008  -0.834667007E-004
   0.29395913411778274E-008  -0.110736066E-003
   0.29580793370342917E-008  -0.140236429E-003
   0.29765673328907560E-008  -0.172042404E-003
   0.29950553287472204E-008  -0.206140714E-003
   0.30135433246036847E-008  -0.242532580E-003
   0.30320313204601490E-008  -0.281223824E-003
   0.30505193163166133E-008  -0.322064763E-003
   0.30690073121730777E-008  -0.364587147E-003
   0.30874953080295420E-008  -0.407991116E-003
   0.31059833038860063E-008  -0.451237924E-003
   0.31244712997424706E-008  -0.493057130E-003
   0.31429592955989349E-008  -0.531789381E-003
   0.31614472914553993E-008  -0.565230497E-003
   0.31799352873118636E-008  -0.590701413E-003
   0.31984232831683279E-008  -0.605348789E-003
   0.32169112790247922E-008  -0.606445246E-003
   0.32353992748812566E-008  -0.591491873E-003
   0.32538872707377209E-008  -0.558181724E-003
   0.32723752665941852E-008  -0.504452852E-003
   0.32908632624506495E-008  -0.428749947E-003
   0.33093512583071139E-008  -0.330368610E-003
   0.33278392541635782E-008  -0.209671853E-003
   0.33463272500200425E-008  -0.681246893E-004
   0.33648152458765068E-008   0.917203288E-004
   0.33833032417329711E-008   0.266175048E-003
   0.34017912375894355E-008   0.450367981E-003
   0.34202792334458998E-008   0.638348516E-003
   0.34387672293023641E-008   0.823382463E-003
   0.34572552251588284E-008   0.998310046E-003
   0.34757432210152928E-008   0.115583336E-002
   0.34942312168717571E-008   0.128875999E-002
   0.35127192127282214E-008   0.139035506E-002
   0.35312072085846857E-008   0.145487755E-002
   0.35496952044411501E-008   0.147817528E-002
   0.35681832002976144E-008   0.145810877E-002
   0.35866711961540787E-008   0.139468629E-002
   0.36051591920105430E-008   0.128999364E-002
   0.36236471878670073E-008   0.114807149E-002
   0.36421351837234717E-008   0.974772789E-003
   0.36606231795799360E-008   0.777486828E-003
   0.36791111754364003E-008   0.564650982E-003
   0.36975991712928646E-008   0.345141743E-003
   0.37160871671493290E-008   0.127716863E-003
   0.37345751630057933E-008  -0.794264051E-004
   0.37530631588622576E-008  -0.269039447E-003
   0.37715511547187219E-008  -0.435182592E-003
   0.37900391505751863E-008  -0.573466823E-003
   0.38085271464316506E-008  -0.681091158E-003
   0.38270151422881149E-008  -0.756737310E-003
   0.38455031381445792E-008  -0.800483336E-003
   0.38639911340010435E-008  -0.813806430E-003
   0.38824791298575079E-008  -0.799566391E-003
   0.39009671257139722E-008  -0.761817617E-003
   0.39194551215704365E-008  -0.705446990E-003
   0.39379431174269008E-008  -0.635774166E-003
   0.39564311132833652E-008  -0.558193948E-003
   0.39749191091398295E-008  -0.477818598E-003
   0.39934071049962938E-008  -0.399107812E-003
   0.40118951008527581E-008  -0.325602537E-003
   0.40303830967092225E-008  -0.259862922E-003
   0.40488710925656868E-008  -0.203537027E-003
   0.40673590884221511E-008  -0.157405797E-003
   0.40858470842786154E-008  -0.121380028E-003
   0.41043350801350797E-008  -0.945781358E-004
   0.41228230759915441E-008  -0.755671499E-004
