t              SphericalCavity.fdtd_Point probe_Ey_50_25_50.dat
   0.14235756809477529E-008  -0.566817278E-006
   0.14420636768042172E-008  -0.757745056E-006
   0.14605516726606815E-008  -0.100439229E-005
   0.14790396685171459E-008  -0.131978504E-005
   0.14975276643736102E-008  -0.171885563E-005
   0.15160156602300745E-008  -0.221834102E-005
   0.15345036560865388E-008  -0.283655208E-005
   0.15529916519430031E-008  -0.359300248E-005
   0.15714796477994675E-008  -0.450783818E-005
   0.15899676436559318E-008  -0.560104581E-005
   0.16084556395123961E-008  -0.689141825E-005
   0.16269436353688604E-008  -0.839531731E-005
   0.16454316312253248E-008  -0.101251007E-004
   0.16639196270817891E-008  -0.120873156E-004
   0.16824076229382534E-008  -0.142805857E-004
   0.17008956187947177E-008  -0.166934351E-004
   0.17193836146511821E-008  -0.193021006E-004
   0.17378716105076464E-008  -0.220684851E-004
   0.17563596063641107E-008  -0.249385048E-004
   0.17748476022205750E-008  -0.278410989E-004
   0.17933355980770394E-008  -0.306880793E-004
   0.18118235939335037E-008  -0.333749413E-004
   0.18303115897899680E-008  -0.357827194E-004
   0.18487995856464323E-008  -0.377813230E-004
   0.18672875815028966E-008  -0.392339498E-004
   0.18857755773593610E-008  -0.400026584E-004
   0.19042635732158253E-008  -0.399550408E-004
   0.19227515690722896E-008  -0.389719789E-004
   0.19412395649287539E-008  -0.369561640E-004
   0.19597275607852183E-008  -0.338409154E-004
   0.19782155566416826E-008  -0.295987993E-004
   0.19967035524981469E-008  -0.242492988E-004
   0.20151915483546112E-008  -0.178650989E-004
   0.20336795442110756E-008  -0.105756653E-004
   0.20521675400675399E-008  -0.256729254E-005
   0.20706555359240042E-008   0.592110518E-005
   0.20891435317804685E-008   0.146068815E-004
   0.21076315276369328E-008   0.231771646E-004
   0.21261195234933972E-008   0.313062410E-004
   0.21446075193498615E-008   0.386752472E-004
   0.21630955152063258E-008   0.449926229E-004
   0.21815835110627901E-008   0.500127680E-004
   0.22000715069192545E-008   0.535502513E-004
   0.22185595027757188E-008   0.554896505E-004
   0.22370474986321831E-008   0.557900421E-004
   0.22555354944886474E-008   0.544837967E-004
   0.22740234903451118E-008   0.516713517E-004
   0.22925114862015761E-008   0.475135785E-004
   0.23109994820580404E-008   0.422229386E-004
   0.23294874779145047E-008   0.360527702E-004
   0.23479754737709690E-008   0.292848272E-004
   0.23664634696274334E-008   0.222150011E-004
   0.23849514654838977E-008   0.151380591E-004
   0.24034394613403620E-008   0.833118429E-005
   0.24219274571968263E-008   0.203866421E-005
   0.24404154530532907E-008  -0.354054146E-005
   0.24589034489097550E-008  -0.826089035E-005
   0.24773914447662193E-008  -0.120336872E-004
   0.24958794406226836E-008  -0.148253885E-004
   0.25143674364791480E-008  -0.166528262E-004
   0.25328554323356123E-008  -0.175769801E-004
   0.25513434281920766E-008  -0.176964168E-004
