t              BoxCavity.fdtd_Point probe_Ex_20_30_24.dat
   0.53923330102338685E-009  -0.157077520E-004
   0.54077396759773938E-009  -0.161139233E-004
   0.54231463417209191E-009  -0.165239780E-004
   0.54385530074644445E-009  -0.169503128E-004
   0.54539596732079698E-009  -0.173968529E-004
   0.54693663389514952E-009  -0.178534428E-004
   0.54847730046950205E-009  -0.183098073E-004
   0.55001796704385458E-009  -0.187703390E-004
   0.55155863361820712E-009  -0.192488933E-004
   0.55309930019255965E-009  -0.197499285E-004
   0.55463996676691218E-009  -0.202620467E-004
   0.55618063334126472E-009  -0.207737521E-004
   0.55772129991561725E-009  -0.212900450E-004
   0.55926196648996979E-009  -0.218263649E-004
   0.56080263306432232E-009  -0.223875468E-004
   0.56234329963867485E-009  -0.229609577E-004
   0.56388396621302739E-009  -0.235339485E-004
   0.56542463278737992E-009  -0.241119869E-004
   0.56696529936173246E-009  -0.247120624E-004
   0.56850596593608499E-009  -0.253396120E-004
   0.57004663251043752E-009  -0.259806984E-004
   0.57158729908479006E-009  -0.266212010E-004
   0.57312796565914259E-009  -0.272671678E-004
   0.57466863223349512E-009  -0.279375436E-004
   0.57620929880784766E-009  -0.286382783E-004
   0.57774996538220019E-009  -0.293537414E-004
   0.57929063195655273E-009  -0.300683387E-004
   0.58083129853090526E-009  -0.307889604E-004
   0.58237196510525779E-009  -0.315365905E-004
   0.58391263167961033E-009  -0.323177301E-004
   0.58545329825396286E-009  -0.331151095E-004
   0.58699396482831540E-009  -0.339114304E-004
   0.58853463140266793E-009  -0.347141395E-004
   0.59007529797702046E-009  -0.355464581E-004
   0.59161596455137300E-009  -0.364157422E-004
   0.59315663112572553E-009  -0.373028015E-004
   0.59469729770007806E-009  -0.381883183E-004
   0.59623796427443060E-009  -0.390806927E-004
   0.59777863084878313E-009  -0.400058852E-004
   0.59931929742313567E-009  -0.409719105E-004
   0.60085996399748820E-009  -0.419572498E-004
   0.60240063057184073E-009  -0.429405263E-004
   0.60394129714619327E-009  -0.439311116E-004
   0.60548196372054580E-009  -0.449576291E-004
   0.60702263029489834E-009  -0.460289921E-004
   0.60856329686925087E-009  -0.471216699E-004
   0.61010396344360340E-009  -0.482119940E-004
   0.61164463001795594E-009  -0.493099324E-004
   0.61318529659230847E-009  -0.504470045E-004
   0.61472596316666100E-009  -0.516333530E-004
   0.61626662974101354E-009  -0.528430755E-004
   0.61780729631536607E-009  -0.540498149E-004
   0.61934796288971861E-009  -0.552644779E-004
   0.62088862946407114E-009  -0.565218907E-004
   0.62242929603842367E-009  -0.578332219E-004
   0.62396996261277621E-009  -0.591700446E-004
   0.62551062918712874E-009  -0.605035530E-004
   0.62705129576148128E-009  -0.618455597E-004
   0.62859196233583381E-009  -0.632338779E-004
   0.63013262891018634E-009  -0.646808185E-004
   0.63167329548453888E-009  -0.661556769E-004
   0.63321396205889141E-009  -0.676269119E-004
   0.63475462863324394E-009  -0.691069945E-004
   0.63629529520759648E-009  -0.706372011E-004
   0.63783596178194901E-009  -0.722312907E-004
   0.63937662835630155E-009  -0.738557210E-004
   0.64091729493065408E-009  -0.754758439E-004
   0.64245796150500661E-009  -0.771054183E-004
   0.64399862807935915E-009  -0.787895551E-004
   0.64553929465371168E-009  -0.805428936E-004
   0.64707996122806422E-009  -0.823287337E-004
   0.64862062780241675E-009  -0.841097135E-004
   0.65016129437676928E-009  -0.859009378E-004
   0.65170196095112182E-009  -0.877512066E-004
   0.65324262752547435E-009  -0.896763304E-004
