t              BoxCavity.fdtd_Point probe002_Ex_58_30_24.dat
   0.64707996122806422E-009  -0.164797854E-006
   0.64862062780241675E-009  -0.168917751E-006
   0.65016129437676928E-009  -0.173170790E-006
   0.65170196095112182E-009  -0.177761294E-006
   0.65324262752547435E-009  -0.182585666E-006
   0.65478329409982688E-009  -0.187343630E-006
   0.65632396067417942E-009  -0.191937289E-006
   0.65786462724853195E-009  -0.196604901E-006
   0.65940529382288449E-009  -0.201615322E-006
   0.66094596039723702E-009  -0.206928163E-006
   0.66248662697158955E-009  -0.212255713E-006
   0.66402729354594209E-009  -0.217453433E-006
   0.66556796012029462E-009  -0.222728417E-006
   0.66710862669464716E-009  -0.228360619E-006
   0.66864929326899969E-009  -0.234297147E-006
   0.67018995984335222E-009  -0.240209175E-006
   0.67173062641770476E-009  -0.245970256E-006
   0.67327129299205729E-009  -0.251875008E-006
   0.67481195956640982E-009  -0.258247923E-006
   0.67635262614076236E-009  -0.264971732E-006
   0.67789329271511489E-009  -0.271618973E-006
   0.67943395928946743E-009  -0.278040034E-006
   0.68097462586381996E-009  -0.284598315E-006
   0.68251529243817249E-009  -0.291693880E-006
   0.68405595901252503E-009  -0.299201275E-006
   0.68559662558687756E-009  -0.306611184E-006
   0.68713729216123010E-009  -0.313720875E-006
   0.68867795873558263E-009  -0.320930837E-006
   0.69021862530993516E-009  -0.328707785E-006
   0.69175929188428770E-009  -0.336936409E-006
   0.69329995845864023E-009  -0.345074653E-006
   0.69484062503299276E-009  -0.352925326E-006
   0.69638129160734530E-009  -0.360951049E-006
   0.69792195818169783E-009  -0.369662757E-006
   0.69946262475605037E-009  -0.378905327E-006
   0.70100329133040290E-009  -0.388048846E-006
   0.70254395790475543E-009  -0.396859207E-006
   0.70408462447910797E-009  -0.405849278E-006
   0.70562529105346050E-009  -0.415585163E-006
   0.70716595762781304E-009  -0.425877488E-006
   0.70870662420216557E-009  -0.436003774E-006
   0.71024729077651810E-009  -0.445705297E-006
   0.71178795735087064E-009  -0.455582523E-006
   0.71332862392522317E-009  -0.466291624E-006
   0.71486929049957570E-009  -0.477616425E-006
   0.71640995707392824E-009  -0.488725675E-006
   0.71795062364828077E-009  -0.499317366E-006
   0.71949129022263331E-009  -0.510084021E-006
   0.72103195679698584E-009  -0.521808204E-006
   0.72257262337133837E-009  -0.534287437E-006
   0.72411328994569091E-009  -0.546591139E-006
   0.72565395652004344E-009  -0.558356419E-006
   0.72719462309439598E-009  -0.570343673E-006
   0.72873528966874851E-009  -0.583418455E-006
   0.73027595624310104E-009  -0.597316784E-006
   0.73181662281745358E-009  -0.610948860E-006
   0.73335728939180611E-009  -0.623902281E-006
   0.73489795596615864E-009  -0.637062897E-006
   0.73643862254051118E-009  -0.651410517E-006
   0.73797928911486371E-009  -0.666615506E-006
   0.73951995568921625E-009  -0.681442089E-006
   0.74106062226356878E-009  -0.695481447E-006
   0.74260128883792131E-009  -0.709801611E-006
   0.74414195541227385E-009  -0.725525183E-006
   0.74568262198662638E-009  -0.742255338E-006
   0.74722328856097892E-009  -0.758581336E-006
   0.74876395513533145E-009  -0.774042405E-006
   0.75030462170968398E-009  -0.789833507E-006
   0.75184528828403652E-009  -0.807198603E-006
   0.75338595485838905E-009  -0.825674135E-006
   0.75492662143274158E-009  -0.843648877E-006
   0.75646728800709412E-009  -0.860566047E-006
   0.75800795458144665E-009  -0.877758112E-006
   0.75954862115579919E-009  -0.896671509E-006
   0.76108928773015172E-009  -0.916831368E-006
   0.76262995430450425E-009  -0.936400056E-006
   0.76417062087885679E-009  -0.954702841E-006
   0.76571128745320932E-009  -0.973266083E-006
   0.76725195402756186E-009  -0.993799858E-006
   0.76879262060191439E-009  -0.101580792E-005
   0.77033328717626692E-009  -0.103720572E-005
   0.77187395375061946E-009  -0.105722313E-005
   0.77341462032497199E-009  -0.107756694E-005
   0.77495528689932452E-009  -0.110011104E-005
   0.77649595347367706E-009  -0.112424175E-005
   0.77803662004802959E-009  -0.114760610E-005
   0.77957728662238213E-009  -0.116934768E-005
   0.78111795319673466E-009  -0.119137314E-005
   0.78265861977108719E-009  -0.121578296E-005
   0.78419928634543973E-009  -0.124192138E-005
   0.78573995291979226E-009  -0.126719181E-005
   0.78728061949414480E-009  -0.129066348E-005
   0.78882128606849733E-009  -0.131449394E-005
   0.79036195264284986E-009  -0.134103641E-005
   0.79190261921720240E-009  -0.136952553E-005
   0.79344328579155493E-009  -0.139702274E-005
   0.79498395236590746E-009  -0.142247916E-005
   0.79652461894026000E-009  -0.144829983E-005
   0.79806528551461253E-009  -0.147708488E-005
   0.79960595208896507E-009  -0.150795108E-005
   0.80114661866331760E-009  -0.153762448E-005
   0.80268728523767013E-009  -0.156498061E-005
   0.80422795181202267E-009  -0.159275669E-005
   0.80576861838637520E-009  -0.162386937E-005
   0.80730928496072774E-009  -0.165730478E-005
   0.80884995153508027E-009  -0.168938857E-005
   0.81039061810943280E-009  -0.171887928E-005
   0.81193128468378534E-009  -0.174883485E-005
   0.81347195125813787E-009  -0.178246455E-005
   0.81501261783249040E-009  -0.181858377E-005
   0.81655328440684294E-009  -0.185309887E-005
   0.81809395098119547E-009  -0.188469016E-005
   0.81963461755554801E-009  -0.191682466E-005
   0.82117528412990054E-009  -0.195307302E-005
   0.82271595070425307E-009  -0.199206602E-005
   0.82425661727860561E-009  -0.202922297E-005
   0.82579728385295814E-009  -0.206309642E-005
   0.82733795042731068E-009  -0.209755081E-005
   0.82887861700166321E-009  -0.213652834E-005
   0.83041928357601574E-009  -0.217848947E-005
   0.83195995015036828E-009  -0.221835649E-005
   0.83350061672472081E-009  -0.225453664E-005
   0.83504128329907334E-009  -0.229133707E-005
   0.83658194987342588E-009  -0.233314745E-005
   0.83812261644777841E-009  -0.237822724E-005
   0.83966328302213095E-009  -0.242087640E-005
   0.84120394959648348E-009  -0.245932347E-005
   0.84274461617083601E-009  -0.249843015E-005
   0.84428528274518855E-009  -0.254314477E-005
   0.84582594931954108E-009  -0.259153330E-005
   0.84736661589389362E-009  -0.263721267E-005
   0.84890728246824615E-009  -0.267817813E-005
   0.85044794904259868E-009  -0.271986255E-005
   0.85198861561695122E-009  -0.276781725E-005
   0.85352928219130375E-009  -0.281983557E-005
   0.85506994876565628E-009  -0.286865998E-005
   0.85661061534000882E-009  -0.291200854E-005
   0.85815128191436135E-009  -0.295605332E-005
   0.85969194848871389E-009  -0.300706051E-005
   0.86123261506306642E-009  -0.306251673E-005
   0.86277328163741895E-009  -0.311433109E-005
   0.86431394821177149E-009  -0.316007026E-005
   0.86585461478612402E-009  -0.320662980E-005
   0.86739528136047656E-009  -0.326087638E-005
   0.86893594793482909E-009  -0.331997921E-005
   0.87047661450918162E-009  -0.337503684E-005
   0.87201728108353416E-009  -0.342340445E-005
   0.87355794765788669E-009  -0.347270202E-005
   0.87509861423223922E-009  -0.353049541E-005
   0.87663928080659176E-009  -0.359359910E-005
   0.87817994738094429E-009  -0.365209394E-005
   0.87972061395529683E-009  -0.370301495E-005
   0.88126128052964936E-009  -0.375478453E-005
   0.88280194710400189E-009  -0.381577638E-005
   0.88434261367835443E-009  -0.388253420E-005
   0.88588328025270696E-009  -0.394424023E-005
   0.88742394682705950E-009  -0.399772989E-005
   0.88896461340141203E-009  -0.405226092E-005
   0.89050527997576456E-009  -0.411690644E-005
   0.89204594655011710E-009  -0.418771288E-005
   0.89358661312446963E-009  -0.425277358E-005
   0.89512727969882216E-009  -0.430873160E-005
   0.89666794627317470E-009  -0.436581104E-005
   0.89820861284752723E-009  -0.443387944E-005
   0.89974927942187977E-009  -0.450854714E-005
   0.90128994599623230E-009  -0.457688020E-005
   0.90283061257058483E-009  -0.463533479E-005
   0.90437127914493737E-009  -0.469510996E-005
   0.90591194571928990E-009  -0.476693913E-005
   0.90745261229364244E-009  -0.484593011E-005
   0.90899327886799497E-009  -0.491781475E-005
   0.91053394544234750E-009  -0.497869132E-005
   0.91207461201670004E-009  -0.504093532E-005
