t              BoxCavity.fdtd_Point probe001_Ez_15_10_7.dat
   0.12633465909690778E-008   0.750645195E-004
   0.12664279241177828E-008   0.743538476E-004
   0.12695092572664879E-008   0.734948480E-004
   0.12725905904151930E-008   0.729071180E-004
   0.12756719235638980E-008   0.726386206E-004
   0.12787532567126031E-008   0.722688710E-004
   0.12818345898613082E-008   0.714766938E-004
   0.12849159230100132E-008   0.705092170E-004
   0.12879972561587183E-008   0.698698932E-004
   0.12910785893074234E-008   0.696139177E-004
   0.12941599224561284E-008   0.692382964E-004
   0.12972412556048335E-008   0.683685939E-004
   0.13003225887535386E-008   0.673049581E-004
   0.13034039219022436E-008   0.666317646E-004
   0.13064852550509487E-008   0.663986721E-004
   0.13095665881996538E-008   0.660236183E-004
   0.13126479213483588E-008   0.650910661E-004
   0.13157292544970639E-008   0.639495483E-004
   0.13188105876457690E-008   0.632513766E-004
   0.13218919207944740E-008   0.630431750E-004
   0.13249732539431791E-008   0.626767651E-004
   0.13280545870918842E-008   0.616983671E-004
   0.13311359202405892E-008   0.604961897E-004
   0.13342172533892943E-008   0.597831058E-004
   0.13372985865379994E-008   0.596040663E-004
   0.13403799196867044E-008   0.592522520E-004
   0.13434612528354095E-008   0.582411412E-004
   0.13465425859841146E-008   0.569954573E-004
   0.13496239191328196E-008   0.562799578E-004
   0.13527052522815247E-008   0.561347588E-004
   0.13557865854302298E-008   0.558017273E-004
   0.13588679185789349E-008   0.547697346E-004
   0.13619492517276399E-008   0.534961182E-004
   0.13650305848763450E-008   0.527854500E-004
   0.13681119180250501E-008   0.526715194E-004
   0.13711932511737551E-008   0.523595227E-004
   0.13742745843224602E-008   0.513245941E-004
   0.13773559174711653E-008   0.500466667E-004
   0.13804372506198703E-008   0.493518237E-004
   0.13835185837685754E-008   0.492655636E-004
   0.13865999169172805E-008   0.489723352E-004
   0.13896812500659855E-008   0.479446862E-004
   0.13927625832146906E-008   0.466765741E-004
   0.13958439163633957E-008   0.460007977E-004
   0.13989252495121007E-008   0.459362127E-004
   0.14020065826608058E-008   0.456631533E-004
   0.14050879158095109E-008   0.446594167E-004
   0.14081692489582159E-008   0.434213107E-004
   0.14112505821069210E-008   0.427733503E-004
   0.14143319152556261E-008   0.427275409E-004
   0.14174132484043311E-008   0.424724385E-004
   0.14204945815530362E-008   0.414997594E-004
   0.14235759147017413E-008   0.403022059E-004
   0.14266572478504463E-008   0.396830364E-004
   0.14297385809991514E-008   0.396465039E-004
   0.14328199141478565E-008   0.394042181E-004
   0.14359012472965615E-008   0.384718624E-004
   0.14389825804452666E-008   0.373296425E-004
   0.14420639135939717E-008   0.367459761E-004
   0.14451452467426767E-008   0.367178764E-004
   0.14482265798913818E-008   0.364906518E-004
   0.14513079130400869E-008   0.356080200E-004
   0.14543892461887920E-008   0.345291883E-004
   0.14574705793374970E-008   0.339768558E-004
   0.14605519124862021E-008   0.339422586E-004
   0.14636332456349072E-008   0.337190431E-004
   0.14667145787836122E-008   0.328892675E-004
   0.14697959119323173E-008   0.318845996E-004
   0.14728772450810224E-008   0.313702039E-004
   0.14759585782297274E-008   0.313310047E-004
   0.14790399113784325E-008   0.311163385E-004
   0.14821212445271376E-008   0.303479046E-004
   0.14852025776758426E-008   0.294222245E-004
   0.14882839108245477E-008   0.289396357E-004
   0.14913652439732528E-008   0.288810443E-004
   0.14944465771219578E-008   0.286625673E-004
   0.14975279102706629E-008   0.279538799E-004
   0.15006092434193680E-008   0.271128738E-004
