t              noda2002.fdtd_Point probe_Ez_12_12_2.dat
   0.13631999945529216E-007  -0.353564026E+003
   0.13727999945145619E-007  -0.353819061E+003
   0.13823999944762022E-007  -0.353751404E+003
   0.13919999944378425E-007  -0.353799622E+003
   0.14015999943994828E-007  -0.354222015E+003
   0.14111999943611231E-007  -0.354755524E+003
   0.14207999943227634E-007  -0.354980408E+003
   0.14303999942844037E-007  -0.354887787E+003
   0.14399999942460440E-007  -0.354883514E+003
   0.14495999942076843E-007  -0.355236389E+003
   0.14591999941693246E-007  -0.355727875E+003
   0.14687999941309648E-007  -0.355968262E+003
   0.14783999940926051E-007  -0.355930756E+003
   0.14879999940542454E-007  -0.355972778E+003
   0.14975999940158857E-007  -0.356333099E+003
   0.15071999939775260E-007  -0.356807495E+003
   0.15167999939391663E-007  -0.357039551E+003
   0.15263999939008066E-007  -0.357010559E+003
   0.15359999938624469E-007  -0.357053070E+003
   0.15455999938240872E-007  -0.357385010E+003
   0.15551999937857275E-007  -0.357816986E+003
   0.15647999937473678E-007  -0.358027161E+003
   0.15743999937090081E-007  -0.358007874E+003
   0.15839999936706484E-007  -0.358066406E+003
   0.15935999936322887E-007  -0.358394165E+003
   0.16031999935939290E-007  -0.358808899E+003
   0.16127999935555692E-007  -0.358997528E+003
   0.16223999935172095E-007  -0.358930817E+003
   0.16319999934788498E-007  -0.358929535E+003
   0.16415999934404901E-007  -0.359203522E+003
   0.16511999934021304E-007  -0.359575470E+003
   0.16607999933637707E-007  -0.359747162E+003
   0.16703999933254110E-007  -0.359712006E+003
   0.16799999932870513E-007  -0.359746521E+003
   0.16895999932486916E-007  -0.360017975E+003
   0.16991999932103319E-007  -0.360362671E+003
   0.17087999931719722E-007  -0.360525909E+003
   0.17183999931336125E-007  -0.360511688E+003
   0.17279999930952528E-007  -0.360562347E+003
   0.17375999930568931E-007  -0.360815826E+003
   0.17471999930185333E-007  -0.361124756E+003
   0.17567999929801736E-007  -0.361273560E+003
   0.17663999929418139E-007  -0.361276917E+003
   0.17759999929034542E-007  -0.361348511E+003
   0.17855999928650945E-007  -0.361599640E+003
   0.17951999928267348E-007  -0.361891693E+003
   0.18047999927883751E-007  -0.362035614E+003
   0.18143999927500154E-007  -0.362050415E+003
   0.18239999927116557E-007  -0.362127411E+003
   0.18335999926732960E-007  -0.362363403E+003
   0.18431999926349363E-007  -0.362635712E+003
   0.18527999925965766E-007  -0.362779572E+003
   0.18623999925582169E-007  -0.362812408E+003
   0.18719999925198572E-007  -0.362901367E+003
   0.18815999924814975E-007  -0.363131897E+003
   0.18911999924431377E-007  -0.363398743E+003
   0.19007999924047780E-007  -0.363556641E+003
   0.19103999923664183E-007  -0.363614563E+003
   0.19199999923280586E-007  -0.363713196E+003
   0.19295999922896989E-007  -0.363929871E+003
   0.19391999922513392E-007  -0.364179596E+003
   0.19487999922129795E-007  -0.364335876E+003
   0.19583999921746198E-007  -0.364398743E+003
   0.19679999921362601E-007  -0.364488434E+003
   0.19775999920979004E-007  -0.364684814E+003
   0.19871999920595407E-007  -0.364929199E+003
   0.19967999920211810E-007  -0.365108887E+003
   0.20063999919828213E-007  -0.365203796E+003
   0.20159999919444616E-007  -0.365282104E+003
   0.20255999919061018E-007  -0.365423218E+003
   0.20351999918677421E-007  -0.365621613E+003
   0.20447999918293824E-007  -0.365791168E+003
   0.20543999917910227E-007  -0.365879517E+003
   0.20639999917526630E-007  -0.365938751E+003
   0.20735999917143033E-007  -0.366058685E+003
   0.20831999916759436E-007  -0.366249237E+003
   0.20927999916375839E-007  -0.366425659E+003
   0.21023999915992242E-007  -0.366519348E+003
   0.21119999915608645E-007  -0.366571808E+003
   0.21215999915225048E-007  -0.366685120E+003
   0.21311999914841451E-007  -0.366886719E+003
   0.21407999914457854E-007  -0.367085815E+003
   0.21503999914074257E-007  -0.367187775E+003
   0.21599999913690660E-007  -0.367223022E+003
   0.21695999913307062E-007  -0.367313904E+003
   0.21791999912923465E-007  -0.367512024E+003
   0.21887999912539868E-007  -0.367721252E+003
   0.21983999912156271E-007  -0.367821259E+003
   0.22079999911772674E-007  -0.367835419E+003
   0.22175999911389077E-007  -0.367910492E+003
   0.22271999911005480E-007  -0.368119965E+003
   0.22367999910621883E-007  -0.368355316E+003
   0.22463999910238286E-007  -0.368465820E+003
   0.22559999909854689E-007  -0.368467468E+003
   0.22655999909471092E-007  -0.368529938E+003
   0.22751999909087495E-007  -0.368744965E+003
   0.22847999908703898E-007  -0.368991272E+003
   0.22943999908320301E-007  -0.369094513E+003
   0.23039999907936703E-007  -0.369072266E+003
   0.23135999907553106E-007  -0.369120209E+003
   0.23231999907169509E-007  -0.369344360E+003
   0.23327999906785912E-007  -0.369607880E+003
   0.23423999906402315E-007  -0.369714813E+003
   0.23519999906018718E-007  -0.369685028E+003
   0.23615999905635121E-007  -0.369732788E+003
   0.23711999905251524E-007  -0.369969269E+003
   0.23807999904867927E-007  -0.370240906E+003
   0.23903999904484330E-007  -0.370338684E+003
   0.23999999904100733E-007  -0.370292542E+003
   0.24095999903717136E-007  -0.370335297E+003
   0.24191999903333539E-007  -0.370579224E+003
   0.24287999902949942E-007  -0.370855957E+003
   0.24383999902566345E-007  -0.370949463E+003
   0.24479999902182747E-007  -0.370899567E+003
   0.24575999901799150E-007  -0.370948395E+003
   0.24671999901415553E-007  -0.371201141E+003
   0.24767999901031956E-007  -0.371476685E+003
   0.24863999900648359E-007  -0.371560333E+003
   0.24959999900264762E-007  -0.371504791E+003
   0.25055999899881165E-007  -0.371556641E+003
   0.25151999899497568E-007  -0.371769806E+003
   0.25247999899113971E-007  -0.371946442E+003
   0.25343999898730374E-007  -0.371935272E+003
   0.25439999898346777E-007  -0.371838409E+003
   0.25535999897963180E-007  -0.371878387E+003
   0.25631999897579583E-007  -0.372094818E+003
   0.25727999897195986E-007  -0.372286133E+003
   0.25823999896812388E-007  -0.372283173E+003
   0.25919999896428791E-007  -0.372180817E+003
   0.26015999896045194E-007  -0.372207031E+003
   0.26111999895661597E-007  -0.372409332E+003
   0.26207999895278000E-007  -0.372592560E+003
   0.26303999894894403E-007  -0.372591492E+003
   0.26399999894510806E-007  -0.372497742E+003
   0.26495999894127209E-007  -0.372529358E+003
   0.26591999893743612E-007  -0.372729645E+003
   0.26687999893360015E-007  -0.372912781E+003
   0.26783999892976418E-007  -0.372923889E+003
   0.26879999892592821E-007  -0.372847778E+003
   0.26975999892209224E-007  -0.372883240E+003
   0.27071999891825627E-007  -0.373067719E+003
   0.27167999891442030E-007  -0.373234009E+003
   0.27263999891058432E-007  -0.373248230E+003
   0.27359999890674835E-007  -0.373191498E+003
   0.27455999890291238E-007  -0.373240265E+003
   0.27551999889907641E-007  -0.373423035E+003
   0.27647999889524044E-007  -0.373589996E+003
   0.27743999889140447E-007  -0.373625824E+003
   0.27839999888756850E-007  -0.373603363E+003
   0.27935999888373253E-007  -0.373674377E+003
