t              noda2002.fdtd_Bulk_probe_Jz_23_23_4__24_24_4.dat
   0.24419557161092786E-007   0.134281501E+000
   0.24496590464440082E-007   0.134529620E+000
   0.24573623767787378E-007   0.134783536E+000
   0.24650657071134674E-007   0.135082319E+000
   0.24727690374481970E-007   0.135221586E+000
   0.24804723677829266E-007   0.135202199E+000
   0.24881756981176562E-007   0.135192424E+000
   0.24958790284523857E-007   0.135209501E+000
   0.25035823587871153E-007   0.135219604E+000
   0.25112856891218449E-007   0.135259390E+000
   0.25189890194565745E-007   0.135314852E+000
   0.25266923497913041E-007   0.135362610E+000
   0.25343956801260337E-007   0.135441199E+000
   0.25420990104607633E-007   0.135523751E+000
   0.25498023407954928E-007   0.135556668E+000
   0.25575056711302224E-007   0.135587335E+000
   0.25652090014649520E-007   0.135629356E+000
   0.25729123317996816E-007   0.135604441E+000
   0.25806156621344112E-007   0.135539159E+000
   0.25883189924691408E-007   0.135573640E+000
   0.25960223228038704E-007   0.135734051E+000
   0.26037256531385999E-007   0.135913074E+000
   0.26114289834733295E-007   0.136085078E+000
   0.26191323138080591E-007   0.136287302E+000
   0.26268356441427887E-007   0.136481926E+000
   0.26345389744775183E-007   0.136605710E+000
   0.26422423048122479E-007   0.136695012E+000
   0.26499456351469775E-007   0.136790782E+000
   0.26576489654817070E-007   0.136849776E+000
   0.26653522958164366E-007   0.136825398E+000
   0.26730556261511662E-007   0.136780545E+000
   0.26807589564858958E-007   0.136802837E+000
   0.26884622868206254E-007   0.136841446E+000
   0.26961656171553550E-007   0.136817962E+000
   0.27038689474900846E-007   0.136795819E+000
   0.27115722778248141E-007   0.136868447E+000
   0.27192756081595437E-007   0.136969641E+000
   0.27269789384942733E-007   0.137040854E+000
   0.27346822688290029E-007   0.137140855E+000
   0.27423855991637325E-007   0.137280703E+000
   0.27500889294984621E-007   0.137400568E+000
   0.27577922598331917E-007   0.137496069E+000
   0.27654955901679212E-007   0.137591213E+000
   0.27731989205026508E-007   0.137653753E+000
   0.27809022508373804E-007   0.137687489E+000
   0.27886055811721100E-007   0.137712210E+000
   0.27963089115068396E-007   0.137715384E+000
   0.28040122418415692E-007   0.137713432E+000
   0.28117155721762987E-007   0.137730166E+000
   0.28194189025110283E-007   0.137722194E+000
   0.28271222328457579E-007   0.137682274E+000
   0.28348255631804875E-007   0.137728214E+000
   0.28425288935152171E-007   0.137874320E+000
   0.28502322238499467E-007   0.138004497E+000
   0.28579355541846763E-007   0.138082996E+000
   0.28656388845194058E-007   0.138172954E+000
   0.28733422148541354E-007   0.138266549E+000
   0.28810455451888650E-007   0.138295129E+000
   0.28887488755235946E-007   0.138288081E+000
   0.28964522058583242E-007   0.138354838E+000
   0.29041555361930538E-007   0.138468891E+000
   0.29118588665277834E-007   0.138518780E+000
   0.29195621968625129E-007   0.138511881E+000
   0.29272655271972425E-007   0.138520777E+000
   0.29349688575319721E-007   0.138518050E+000
   0.29426721878667017E-007   0.138451576E+000
   0.29503755182014313E-007   0.138318405E+000
   0.29580788485361609E-007   0.138135150E+000
   0.29657821788708905E-007   0.137892306E+000
   0.29734855092056200E-007   0.137570888E+000
   0.29811888395403496E-007   0.137188658E+000
   0.29888921698750792E-007   0.136788636E+000
   0.29965955002098088E-007   0.136377737E+000
   0.30042988305445384E-007   0.135914341E+000
   0.30120021608792680E-007   0.135384321E+000
   0.30197054912139976E-007   0.134772748E+000
   0.30274088215487271E-007   0.134009540E+000
   0.30351121518834567E-007   0.133093432E+000
   0.30428154822181863E-007   0.132108971E+000
   0.30505188125529159E-007   0.131120384E+000
   0.30582221428876455E-007   0.130110443E+000
   0.30659254732223751E-007   0.129044458E+000
   0.30736288035571047E-007   0.128041953E+000
   0.30813321338918342E-007   0.127095431E+000
   0.30890354642265638E-007   0.126094967E+000
   0.30967387945612934E-007   0.125014648E+000
   0.31044421248960230E-007   0.123880252E+000
   0.31121454552307526E-007   0.122690514E+000
   0.31198487855654822E-007   0.121438533E+000
   0.31275521159002118E-007   0.120079160E+000
   0.31352554462349413E-007   0.118511274E+000
   0.31429587765696709E-007   0.116785675E+000
   0.31506621069044005E-007   0.114988349E+000
   0.31583654372391301E-007   0.113101386E+000
   0.31660687675738597E-007   0.111124262E+000
   0.31737720979085893E-007   0.109088913E+000
   0.31814754282433189E-007   0.106945872E+000
   0.31891787585780484E-007   0.104710378E+000
   0.31968820889127780E-007   0.102498755E+000
   0.32045854192475076E-007   0.100280732E+000
   0.32122887495822372E-007   0.979667008E-001
   0.32199920799169668E-007   0.955736563E-001
   0.32276954102516964E-007   0.931087434E-001
   0.32353987405864260E-007   0.905397683E-001
   0.32431020709211555E-007   0.879160762E-001
   0.32508054012558851E-007   0.852297917E-001
   0.32585087315906147E-007   0.824068412E-001
   0.32662120619253443E-007   0.794962496E-001
   0.32739153922600739E-007   0.765709281E-001
   0.32816187225948035E-007   0.735578686E-001
   0.32893220529295331E-007   0.704154372E-001
   0.32970253832642626E-007   0.672227070E-001
   0.33047287135989922E-007   0.639695674E-001
   0.33124320439337218E-007   0.605829842E-001
   0.33201353742684514E-007   0.571140945E-001
   0.33278387046031810E-007   0.536176413E-001
   0.33355420349379106E-007   0.500992425E-001
   0.33432453652726402E-007   0.465863496E-001
   0.33509486956073697E-007   0.431075208E-001
   0.33586520259420993E-007   0.396389589E-001
   0.33663553562768289E-007   0.361912996E-001
   0.33740586866115585E-007   0.328148864E-001
   0.33817620169462881E-007   0.294959024E-001
   0.33894653472810177E-007   0.262208860E-001
   0.33971686776157473E-007   0.230428800E-001
   0.34048720079504768E-007   0.199554078E-001
   0.34125753382852064E-007   0.169250406E-001
   0.34202786686199360E-007   0.140439700E-001
   0.34279819989546656E-007   0.112972539E-001
   0.34356853292893952E-007   0.853986386E-002
   0.34433886596241248E-007   0.572807901E-002
   0.34510919899588544E-007   0.293236948E-002
   0.34587953202935839E-007   0.186317309E-003
   0.34664986506283135E-007  -0.253243931E-002
   0.34742019809630431E-007  -0.526257884E-002
   0.34819053112977727E-007  -0.792938843E-002
   0.34896086416325023E-007  -0.104219895E-001
   0.34973119719672319E-007  -0.127083547E-001
   0.35050153023019615E-007  -0.148196798E-001
   0.35127186326366910E-007  -0.167478062E-001
   0.35204219629714206E-007  -0.184682664E-001
   0.35281252933061502E-007  -0.200387444E-001
   0.35358286236408798E-007  -0.215409957E-001
   0.35435319539756094E-007  -0.229704864E-001
   0.35512352843103390E-007  -0.243200902E-001
   0.35589386146450686E-007  -0.256752782E-001
   0.35666419449797981E-007  -0.270849541E-001
   0.35743452753145277E-007  -0.284988619E-001
   0.35820486056492573E-007  -0.299072489E-001
   0.35897519359839869E-007  -0.314033888E-001
   0.35974552663187165E-007  -0.329941288E-001
   0.36051585966534461E-007  -0.345872305E-001
   0.36128619269881757E-007  -0.361320302E-001
   0.36205652573229052E-007  -0.376254097E-001
   0.36282685876576348E-007  -0.390652642E-001
   0.36359719179923644E-007  -0.404405147E-001
   0.36436752483270940E-007  -0.417206287E-001
   0.36513785786618236E-007  -0.428962633E-001
   0.36590819089965532E-007  -0.439885594E-001
   0.36667852393312828E-007  -0.449696854E-001
   0.36744885696660123E-007  -0.457824320E-001
   0.36821919000007419E-007  -0.464600995E-001
   0.36898952303354715E-007  -0.470778793E-001
   0.36975985606702011E-007  -0.476292148E-001
   0.37053018910049307E-007  -0.480834991E-001
   0.37130052213396603E-007  -0.484091938E-001
   0.37207085516743899E-007  -0.486750528E-001
   0.37284118820091194E-007  -0.489537194E-001
   0.37361152123438490E-007  -0.492524952E-001
   0.37438185426785786E-007  -0.495744757E-001
   0.37515218730133082E-007  -0.499508008E-001
   0.37592252033480378E-007  -0.503672287E-001
   0.37669285336827674E-007  -0.508051440E-001
   0.37746318640174970E-007  -0.513669774E-001
   0.37823351943522265E-007  -0.520612635E-001
   0.37900385246869561E-007  -0.527726337E-001
   0.37977418550216857E-007  -0.534187444E-001
   0.38054451853564153E-007  -0.540340692E-001
   0.38131485156911449E-007  -0.546710938E-001
   0.38208518460258745E-007  -0.553066432E-001
   0.38285551763606041E-007  -0.558045506E-001
   0.38362585066953336E-007  -0.561023727E-001
   0.38439618370300632E-007  -0.563132837E-001
   0.38516651673647928E-007  -0.565054417E-001
   0.38593684976995224E-007  -0.566618592E-001
   0.38670718280342520E-007  -0.568031892E-001
   0.38747751583689816E-007  -0.569626763E-001
   0.38824784887037112E-007  -0.571201630E-001
   0.38901818190384407E-007  -0.573824421E-001
   0.38978851493731703E-007  -0.578237846E-001
   0.39055884797078999E-007  -0.583787337E-001
   0.39132918100426295E-007  -0.589777082E-001
   0.39209951403773591E-007  -0.595937259E-001
   0.39286984707120887E-007  -0.602120534E-001
   0.39364018010468182E-007  -0.607509762E-001
   0.39441051313815478E-007  -0.611957125E-001
   0.39518084617162774E-007  -0.615930632E-001
   0.39595117920510070E-007  -0.619708449E-001
   0.39672151223857366E-007  -0.623382479E-001
   0.39749184527204662E-007  -0.626951307E-001
   0.39826217830551958E-007  -0.630429015E-001
   0.39903251133899253E-007  -0.634045750E-001
   0.39980284437246549E-007  -0.639197081E-001
