 f_at_0.39995703707274011E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009   0.157079637E+001   0.198416376E+001   0.360288280E-010   0.103644226E+001   0.124291897E-009  -0.285736815E+001   0.953349471E+000   0.965202272E+000
   0.30000000000000000E+009   0.157079637E+001   0.231485772E+001   0.456464040E-010  -0.194452696E+001   0.923987014E-010   0.555287079E+000   0.607306957E+000   0.612157285E+000
   0.30000000000000000E+009   0.157079637E+001   0.264555168E+001   0.638594559E-010   0.134765158E+001   0.544387833E-010  -0.227793864E+001   0.392998278E+000   0.405849457E+000
   0.30000000000000000E+009   0.157079637E+001   0.297624564E+001   0.725278723E-010  -0.130895433E+001   0.175860076E-010   0.143159117E+001   0.314595252E+000   0.321006507E+000
   0.30000000000000000E+009   0.157079637E+001   0.330693960E+001   0.719382739E-010   0.289686072E+001   0.177042904E-010   0.252785067E+001   0.310029238E+000   0.316337824E+000
   0.30000000000000000E+009   0.157079637E+001   0.363763356E+001   0.631050462E-010   0.164873743E+001   0.537733765E-010   0.115736288E+001   0.382928759E+000   0.396178842E+000
   0.30000000000000000E+009   0.157079637E+001   0.396832752E+001   0.457269253E-010   0.135502995E+001   0.918519750E-010   0.723208766E+000   0.599790871E+000   0.606775403E+000
   0.30000000000000000E+009   0.157079637E+001   0.429902172E+001   0.349097741E-010   0.212081459E+001   0.123626162E-009   0.132443432E+001   0.948397577E+000   0.951114237E+000
   0.30000000000000000E+009   0.157079637E+001   0.462971592E+001   0.932045255E-011  -0.259912079E+001   0.145994248E-009   0.282895944E+001   0.121443927E+001   0.123347652E+001
   0.30000000000000000E+009   0.157079637E+001   0.496041012E+001   0.260981503E-010   0.273418470E+001   0.140785004E-009  -0.124762276E+001   0.117124999E+001   0.118162382E+001
   0.30000000000000000E+009   0.157079637E+001   0.529110432E+001   0.389501959E-010  -0.907314221E+000   0.111733586E-009   0.146072026E+001   0.804440379E+000   0.806989491E+000
   0.30000000000000000E+009   0.157079637E+001   0.562179852E+001   0.558505843E-010   0.187028837E+001   0.714246209E-010  -0.181783657E+001   0.460687250E+000   0.473811001E+000
   0.30000000000000000E+009   0.157079637E+001   0.595249271E+001   0.692734176E-010  -0.164557287E+001   0.331835978E-010   0.116999660E+001   0.335342944E+000   0.340049237E+000
