t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.65016121202077226E-008  -0.359849748E-002   0.000000000E+000
   0.65324254477916455E-008  -0.425846828E-002   0.000000000E+000
   0.65632387753755683E-008  -0.460727373E-002   0.000000000E+000
   0.65940521029594912E-008  -0.468514487E-002   0.000000000E+000
   0.66248654305434140E-008  -0.449135294E-002   0.000000000E+000
   0.66556787581273369E-008  -0.400698185E-002   0.000000000E+000
   0.66864920857112597E-008  -0.326921209E-002   0.000000000E+000
   0.67173054132951826E-008  -0.240281690E-002   0.000000000E+000
   0.67481187408791055E-008  -0.156326243E-002   0.000000000E+000
   0.67789320684630283E-008  -0.848083815E-003   0.000000000E+000
   0.68097453960469512E-008  -0.263762486E-003   0.000000000E+000
   0.68405587236308740E-008   0.229782658E-003   0.000000000E+000
   0.68713720512147969E-008   0.647926703E-003   0.000000000E+000
   0.69021853787987197E-008   0.948430854E-003   0.000000000E+000
   0.69329987063826426E-008   0.106834422E-002   0.000000000E+000
   0.69638120339665655E-008   0.100370566E-002   0.000000000E+000
   0.69946253615504883E-008   0.848082360E-003   0.000000000E+000
   0.70254386891344112E-008   0.722765573E-003   0.000000000E+000
   0.70562520167183340E-008   0.655016338E-003   0.000000000E+000
   0.70870653443022569E-008   0.555793289E-003   0.000000000E+000
   0.71178786718861797E-008   0.345975393E-003   0.000000000E+000
   0.71486919994701026E-008   0.749122701E-004   0.000000000E+000
   0.71795053270540254E-008  -0.134559246E-003   0.000000000E+000
   0.72103186546379483E-008  -0.243867849E-003   0.000000000E+000
   0.72411319822218712E-008  -0.340177037E-003   0.000000000E+000
   0.72719453098057940E-008  -0.510601967E-003   0.000000000E+000
   0.73027586373897169E-008  -0.730728672E-003   0.000000000E+000
   0.73335719649736397E-008  -0.903525506E-003   0.000000000E+000
   0.73643852925575626E-008  -0.964713341E-003   0.000000000E+000
   0.73951986201414854E-008  -0.920712599E-003   0.000000000E+000
   0.74260119477254083E-008  -0.822207774E-003   0.000000000E+000
   0.74568252753093311E-008  -0.733970315E-003   0.000000000E+000
   0.74876386028932540E-008  -0.695440860E-003   0.000000000E+000
   0.75184519304771769E-008  -0.672393420E-003   0.000000000E+000
   0.75492652580610997E-008  -0.575961720E-003   0.000000000E+000
   0.75800785856450226E-008  -0.369275513E-003   0.000000000E+000
   0.76108919132289454E-008  -0.131148510E-003   0.000000000E+000
   0.76417052408128683E-008   0.290781172E-004   0.000000000E+000
   0.76725185683967911E-008   0.105168918E-003   0.000000000E+000
   0.77033318959807140E-008   0.202895142E-003   0.000000000E+000
   0.77341452235646369E-008   0.423176971E-003   0.000000000E+000
   0.77649585511485597E-008   0.767636229E-003   0.000000000E+000
   0.77957718787324826E-008   0.115075463E-002   0.000000000E+000
   0.78265852063164054E-008   0.147284358E-002   0.000000000E+000
   0.78573985339003283E-008   0.168259221E-002   0.000000000E+000
   0.78882118614842511E-008   0.179353147E-002   0.000000000E+000
   0.79190251890681740E-008   0.184504734E-002   0.000000000E+000
   0.79498385166520968E-008   0.184184872E-002   0.000000000E+000
   0.79806518442360197E-008   0.174053537E-002   0.000000000E+000
   0.80114651718199426E-008   0.149854715E-002   0.000000000E+000
   0.80422784994038654E-008   0.111793680E-002   0.000000000E+000
   0.80730918269877883E-008   0.637891644E-003   0.000000000E+000
   0.81039051545717111E-008   0.113217626E-003   0.000000000E+000
   0.81347184821556340E-008  -0.388325774E-003   0.000000000E+000
   0.81655318097395568E-008  -0.801575021E-003   0.000000000E+000
   0.81963451373234797E-008  -0.110615999E-002   0.000000000E+000
   0.82271584649074025E-008  -0.133811659E-002   0.000000000E+000
   0.82579717924913254E-008  -0.153741182E-002   0.000000000E+000
   0.82887851200752483E-008  -0.169300835E-002   0.000000000E+000
   0.83195984476591711E-008  -0.175550580E-002   0.000000000E+000
   0.83504117752430940E-008  -0.169660861E-002   0.000000000E+000
   0.83812251028270168E-008  -0.154237275E-002   0.000000000E+000
   0.84120384304109397E-008  -0.134868175E-002   0.000000000E+000
   0.84428517579948625E-008  -0.115016173E-002   0.000000000E+000
   0.84736650855787854E-008  -0.935808057E-003   0.000000000E+000
   0.85044784131627083E-008  -0.677685486E-003   0.000000000E+000
   0.85352917407466311E-008  -0.379716075E-003   0.000000000E+000
   0.85661050683305540E-008  -0.829708297E-004   0.000000000E+000
   0.85969183959144768E-008   0.179586234E-003   0.000000000E+000
   0.86277317234983997E-008   0.408667984E-003   0.000000000E+000
   0.86585450510823225E-008   0.603698776E-003   0.000000000E+000
   0.86893583786662454E-008   0.729563646E-003   0.000000000E+000
   0.87201717062501682E-008   0.750866486E-003   0.000000000E+000
   0.87509850338340911E-008   0.683823077E-003   0.000000000E+000
   0.87817983614180140E-008   0.576005026E-003   0.000000000E+000
   0.88126116890019368E-008   0.442403107E-003   0.000000000E+000
   0.88434250165858597E-008   0.267908094E-003   0.000000000E+000
   0.88742383441697825E-008   0.778652029E-004   0.000000000E+000
   0.89050516717537054E-008  -0.491572282E-004   0.000000000E+000
   0.89358649993376282E-008  -0.690855595E-004   0.000000000E+000
   0.89666783269215511E-008  -0.266288225E-004   0.000000000E+000
   0.89974916545054739E-008   0.248825163E-004   0.000000000E+000
   0.90283049820893968E-008   0.120755292E-003   0.000000000E+000
   0.90591183096733197E-008   0.333182106E-003   0.000000000E+000
   0.90899316372572425E-008   0.633800693E-003   0.000000000E+000
