t              SphereRCS.fdtd_Point probe_Ex_15_15_4.dat       incid
   0.11955572448707485E-007  -0.906613469E-001   0.000000000E+000
   0.11986385779760855E-007  -0.110252440E+000   0.000000000E+000
   0.12017199110814225E-007  -0.120517731E+000   0.000000000E+000
   0.12048012441867595E-007  -0.120688982E+000   0.000000000E+000
   0.12078825772920965E-007  -0.110860124E+000   0.000000000E+000
   0.12109639103974335E-007  -0.919760913E-001   0.000000000E+000
   0.12140452435027704E-007  -0.657453388E-001   0.000000000E+000
   0.12171265766081074E-007  -0.344843380E-001   0.000000000E+000
   0.12202079097134444E-007  -0.909075141E-003   0.000000000E+000
   0.12232892428187814E-007   0.321063548E-001   0.000000000E+000
   0.12263705759241184E-007   0.617811307E-001   0.000000000E+000
   0.12294519090294553E-007   0.856654346E-001   0.000000000E+000
   0.12325332421347923E-007   0.101842985E+000   0.000000000E+000
   0.12356145752401293E-007   0.109080732E+000   0.000000000E+000
   0.12386959083454663E-007   0.106913991E+000   0.000000000E+000
   0.12417772414508033E-007   0.956618190E-001   0.000000000E+000
   0.12448585745561402E-007   0.763745457E-001   0.000000000E+000
   0.12479399076614772E-007   0.507215261E-001   0.000000000E+000
   0.12510212407668142E-007   0.208323617E-001   0.000000000E+000
   0.12541025738721512E-007  -0.108917449E-001   0.000000000E+000
   0.12571839069774882E-007  -0.419784710E-001   0.000000000E+000
   0.12602652400828251E-007  -0.700790286E-001   0.000000000E+000
   0.12633465731881621E-007  -0.931415707E-001   0.000000000E+000
   0.12664279062934991E-007  -0.109551229E+000   0.000000000E+000
   0.12695092393988361E-007  -0.118228950E+000   0.000000000E+000
   0.12725905725041731E-007  -0.118685417E+000   0.000000000E+000
   0.12756719056095100E-007  -0.111030459E+000   0.000000000E+000
   0.12787532387148470E-007  -0.959415957E-001   0.000000000E+000
   0.12818345718201840E-007  -0.745976493E-001   0.000000000E+000
   0.12849159049255210E-007  -0.485848039E-001   0.000000000E+000
   0.12879972380308580E-007  -0.197829418E-001   0.000000000E+000
   0.12910785711361950E-007   0.976017304E-002   0.000000000E+000
   0.12941599042415319E-007   0.379597470E-001   0.000000000E+000
   0.12972412373468689E-007   0.628236011E-001   0.000000000E+000
   0.13003225704522059E-007   0.825748891E-001   0.000000000E+000
   0.13034039035575429E-007   0.957627445E-001   0.000000000E+000
   0.13064852366628799E-007   0.101355784E+000   0.000000000E+000
   0.13095665697682168E-007   0.988137424E-001   0.000000000E+000
   0.13126479028735538E-007   0.881325305E-001   0.000000000E+000
   0.13157292359788908E-007   0.698586404E-001   0.000000000E+000
   0.13188105690842278E-007   0.450695679E-001   0.000000000E+000
   0.13218919021895648E-007   0.153186861E-001   0.000000000E+000
   0.13249732352949017E-007  -0.174550209E-001   0.000000000E+000
   0.13280545684002387E-007  -0.510492623E-001   0.000000000E+000
   0.13311359015055757E-007  -0.831466168E-001   0.000000000E+000
   0.13342172346109127E-007  -0.111479685E+000   0.000000000E+000
   0.13372985677162497E-007  -0.134001464E+000   0.000000000E+000
   0.13403799008215866E-007  -0.149047866E+000   0.000000000E+000
   0.13434612339269236E-007  -0.155478165E+000   0.000000000E+000
   0.13465425670322606E-007  -0.152780339E+000   0.000000000E+000
   0.13496239001375976E-007  -0.141129881E+000   0.000000000E+000
   0.13527052332429346E-007  -0.121394560E+000   0.000000000E+000
