t              SphereRCS.fdtd_Point probe_Ey_15_15_4.dat       incid
   0.59161595622470031E-008   0.804546435E-004   0.000000000E+000
   0.59469728933003729E-008   0.109631248E-003   0.000000000E+000
   0.59777862243537427E-008   0.134166534E-003   0.000000000E+000
   0.60085995554071125E-008   0.153170928E-003   0.000000000E+000
   0.60394128864604824E-008   0.166123442E-003   0.000000000E+000
   0.60702262175138522E-008   0.172878892E-003   0.000000000E+000
   0.61010395485672220E-008   0.173640117E-003   0.000000000E+000
   0.61318528796205918E-008   0.168898943E-003   0.000000000E+000
   0.61626662106739616E-008   0.159353120E-003   0.000000000E+000
   0.61934795417273314E-008   0.145804574E-003   0.000000000E+000
   0.62242928727807012E-008   0.129055712E-003   0.000000000E+000
   0.62551062038340710E-008   0.109813504E-003   0.000000000E+000
   0.62859195348874408E-008   0.886137714E-004   0.000000000E+000
   0.63167328659408106E-008   0.657763521E-004   0.000000000E+000
   0.63475461969941804E-008   0.413973903E-004   0.000000000E+000
   0.63783595280475502E-008   0.153819437E-004   0.000000000E+000
   0.64091728591009200E-008  -0.124866110E-004   0.000000000E+000
   0.64399861901542899E-008  -0.424467435E-004   0.000000000E+000
   0.64707995212076597E-008  -0.746403603E-004   0.000000000E+000
   0.65016128522610295E-008  -0.108990673E-003   0.000000000E+000
   0.65324261833143993E-008  -0.145093305E-003   0.000000000E+000
   0.65632395143677691E-008  -0.182136966E-003   0.000000000E+000
   0.65940528454211389E-008  -0.218868372E-003   0.000000000E+000
   0.66248661764745087E-008  -0.253611186E-003   0.000000000E+000
   0.66556795075278785E-008  -0.284343929E-003   0.000000000E+000
   0.66864928385812483E-008  -0.308835122E-003   0.000000000E+000
   0.67173061696346181E-008  -0.324827677E-003   0.000000000E+000
   0.67481195006879879E-008  -0.330255920E-003   0.000000000E+000
   0.67789328317413577E-008  -0.323477841E-003   0.000000000E+000
   0.68097461627947276E-008  -0.303496170E-003   0.000000000E+000
   0.68405594938480974E-008  -0.270144432E-003   0.000000000E+000
   0.68713728249014672E-008  -0.224215968E-003   0.000000000E+000
   0.69021861559548370E-008  -0.167514096E-003   0.000000000E+000
   0.69329994870082068E-008  -0.102812177E-003   0.000000000E+000
   0.69638128180615766E-008  -0.337177553E-004   0.000000000E+000
   0.69946261491149464E-008   0.355550219E-004   0.000000000E+000
   0.70254394801683162E-008   0.100490950E-003   0.000000000E+000
   0.70562528112216860E-008   0.156633323E-003   0.000000000E+000
   0.70870661422750558E-008   0.199968708E-003   0.000000000E+000
   0.71178794733284256E-008   0.227301018E-003   0.000000000E+000
   0.71486928043817954E-008   0.236574619E-003   0.000000000E+000
   0.71795061354351652E-008   0.227112716E-003   0.000000000E+000
   0.72103194664885351E-008   0.199737828E-003   0.000000000E+000
   0.72411327975419049E-008   0.156750088E-003   0.000000000E+000
   0.72719461285952747E-008   0.101754224E-003   0.000000000E+000
   0.73027594596486445E-008   0.393384835E-004   0.000000000E+000
   0.73335727907020143E-008  -0.253740945E-004   0.000000000E+000
   0.73643861217553841E-008  -0.872654928E-004   0.000000000E+000
   0.73951994528087539E-008  -0.141800352E-003   0.000000000E+000
   0.74260127838621237E-008  -0.185580313E-003   0.000000000E+000
   0.74568261149154935E-008  -0.216804532E-003   0.000000000E+000
   0.74876394459688633E-008  -0.235571410E-003   0.000000000E+000
