t              Noda2002a.fdtd_Point probe_Ex_12_12_2.dat
   0.17855999928650945E-007  -0.729608090E-007
   0.17951999928267348E-007  -0.729812513E-007
   0.18047999927883751E-007  -0.730231946E-007
   0.18143999927500154E-007  -0.730710212E-007
   0.18239999927116557E-007  -0.731038767E-007
   0.18335999926732960E-007  -0.731240775E-007
   0.18431999926349363E-007  -0.731521510E-007
   0.18527999925965766E-007  -0.731972847E-007
   0.18623999925582169E-007  -0.732443937E-007
   0.18719999925198572E-007  -0.732744923E-007
   0.18815999924814975E-007  -0.732894847E-007
   0.18911999924431377E-007  -0.733083922E-007
   0.19007999924047780E-007  -0.733417593E-007
   0.19103999923664183E-007  -0.733794181E-007
   0.19199999923280586E-007  -0.734066674E-007
   0.19295999922896989E-007  -0.734253334E-007
   0.19391999922513392E-007  -0.734512682E-007
   0.19487999922129795E-007  -0.734928705E-007
   0.19583999921746198E-007  -0.735396100E-007
   0.19679999921362601E-007  -0.735752721E-007
   0.19775999920979004E-007  -0.735973842E-007
   0.19871999920595407E-007  -0.736179331E-007
   0.19967999920211810E-007  -0.736461985E-007
   0.20063999919828213E-007  -0.736769650E-007
   0.20159999919444616E-007  -0.736985726E-007
   0.20255999919061018E-007  -0.737077528E-007
   0.20351999918677421E-007  -0.737143964E-007
   0.20447999918293824E-007  -0.737311936E-007
   0.20543999917910227E-007  -0.737588124E-007
   0.20639999917526630E-007  -0.737862109E-007
   0.20735999917143033E-007  -0.738053814E-007
   0.20831999916759436E-007  -0.738210773E-007
   0.20927999916375839E-007  -0.738430614E-007
   0.21023999915992242E-007  -0.738713481E-007
   0.21119999915608645E-007  -0.738946397E-007
   0.21215999915225048E-007  -0.739049639E-007
   0.21311999914841451E-007  -0.739095469E-007
   0.21407999914457854E-007  -0.739233030E-007
   0.21503999914074257E-007  -0.739505168E-007
   0.21599999913690660E-007  -0.739796135E-007
   0.21695999913307062E-007  -0.739987627E-007
   0.21791999912923465E-007  -0.740122985E-007
   0.21887999912539868E-007  -0.740350501E-007
   0.21983999912156271E-007  -0.740710320E-007
   0.22079999911772674E-007  -0.741054649E-007
   0.22175999911389077E-007  -0.741228732E-007
   0.22271999911005480E-007  -0.741282449E-007
   0.22367999910621883E-007  -0.741417239E-007
   0.22463999910238286E-007  -0.741721209E-007
   0.22559999909854689E-007  -0.742050403E-007
   0.22655999909471092E-007  -0.742229673E-007
   0.22751999909087495E-007  -0.742308686E-007
   0.22847999908703898E-007  -0.742508206E-007
   0.22943999908320301E-007  -0.742912576E-007
   0.23039999907936703E-007  -0.743332222E-007
   0.23135999907553106E-007  -0.743544888E-007
   0.23231999907169509E-007  -0.743598889E-007
   0.23327999906785912E-007  -0.743750803E-007
   0.23423999906402315E-007  -0.744110551E-007
   0.23519999906018718E-007  -0.744483799E-007
   0.23615999905635121E-007  -0.744645092E-007
   0.23711999905251524E-007  -0.744666551E-007
   0.23807999904867927E-007  -0.744835518E-007
   0.23903999904484330E-007  -0.745257154E-007
   0.23999999904100733E-007  -0.745697619E-007
   0.24095999903717136E-007  -0.745898276E-007
   0.24191999903333539E-007  -0.745933733E-007
   0.24287999902949942E-007  -0.746106750E-007
   0.24383999902566345E-007  -0.746522275E-007
   0.24479999902182747E-007  -0.746935598E-007
