t              Noda2002a.fdtd_Point probe_Ey_12_12_2.dat
   0.90239999639418755E-008  -0.786349190E-007
   0.91199999635582785E-008  -0.788616958E-007
   0.92159999631746814E-008  -0.791056181E-007
   0.93119999627910843E-008  -0.793413761E-007
   0.94079999624074873E-008  -0.795427297E-007
   0.95039999620238902E-008  -0.796953188E-007
   0.95999999616402931E-008  -0.798006283E-007
   0.96959999612566961E-008  -0.798731463E-007
   0.97919999608730990E-008  -0.799309561E-007
   0.98879999604895019E-008  -0.799843107E-007
   0.99839999601059048E-008  -0.800338356E-007
   0.10079999959722308E-007  -0.800834528E-007
   0.10175999959338711E-007  -0.801417599E-007
   0.10271999958955114E-007  -0.801904676E-007
   0.10367999958571517E-007  -0.802084656E-007
   0.10463999958187920E-007  -0.802112368E-007
   0.10559999957804322E-007  -0.802344928E-007
   0.10655999957420725E-007  -0.803006017E-007
   0.10751999957037128E-007  -0.804054636E-007
   0.10847999956653531E-007  -0.805245861E-007
   0.10943999956269934E-007  -0.806265135E-007
   0.11039999955886337E-007  -0.806919189E-007
   0.11135999955502740E-007  -0.807292651E-007
   0.11231999955119143E-007  -0.807658012E-007
   0.11327999954735546E-007  -0.808146936E-007
   0.11423999954351949E-007  -0.808571272E-007
   0.11519999953968352E-007  -0.808691780E-007
   0.11615999953584755E-007  -0.808634155E-007
   0.11711999953201158E-007  -0.808854637E-007
   0.11807999952817561E-007  -0.809613496E-007
   0.11903999952433963E-007  -0.810628933E-007
   0.11999999952050366E-007  -0.811422254E-007
   0.12095999951666769E-007  -0.811931713E-007
   0.12191999951283172E-007  -0.812562533E-007
   0.12287999950899575E-007  -0.813580243E-007
   0.12383999950515978E-007  -0.814684427E-007
   0.12479999950132381E-007  -0.815386159E-007
   0.12575999949748784E-007  -0.815696879E-007
   0.12671999949365187E-007  -0.816165553E-007
   0.12767999948981590E-007  -0.817176087E-007
   0.12863999948597993E-007  -0.818452435E-007
   0.12959999948214396E-007  -0.819455579E-007
   0.13055999947830799E-007  -0.820120931E-007
   0.13151999947447202E-007  -0.820891231E-007
   0.13247999947063605E-007  -0.821896009E-007
   0.13343999946680007E-007  -0.822585093E-007
   0.13439999946296410E-007  -0.822473467E-007
   0.13535999945912813E-007  -0.821817707E-007
   0.13631999945529216E-007  -0.821352018E-007
   0.13727999945145619E-007  -0.821426909E-007
   0.13823999944762022E-007  -0.821669133E-007
   0.13919999944378425E-007  -0.821588273E-007
   0.14015999943994828E-007  -0.821300787E-007
   0.14111999943611231E-007  -0.821400263E-007
   0.14207999943227634E-007  -0.822160757E-007
   0.14303999942844037E-007  -0.823153670E-007
   0.14399999942460440E-007  -0.823788184E-007
   0.14495999942076843E-007  -0.824036235E-007
   0.14591999941693246E-007  -0.824377366E-007
   0.14687999941309648E-007  -0.825078885E-007
   0.14783999940926051E-007  -0.825815434E-007
   0.14879999940542454E-007  -0.826134965E-007
   0.14975999940158857E-007  -0.826103701E-007
   0.15071999939775260E-007  -0.826238562E-007
   0.15167999939391663E-007  -0.826831439E-007
   0.15263999939008066E-007  -0.827595628E-007
   0.15359999938624469E-007  -0.828096489E-007
   0.15455999938240872E-007  -0.828349513E-007
   0.15551999937857275E-007  -0.828768023E-007
   0.15647999937473678E-007  -0.829562410E-007
   0.15743999937090081E-007  -0.830438722E-007
   0.15839999936706484E-007  -0.830999269E-007
   0.15935999936322887E-007  -0.831276026E-007
   0.16031999935939290E-007  -0.831664124E-007
   0.16127999935555692E-007  -0.832369977E-007
   0.16223999935172095E-007  -0.833115834E-007
   0.16319999934788498E-007  -0.833495619E-007
   0.16415999934404901E-007  -0.833545855E-007
   0.16511999934021304E-007  -0.833680787E-007
   0.16607999933637707E-007  -0.834126297E-007
   0.16703999933254110E-007  -0.834642577E-007
   0.16799999932870513E-007  -0.834887786E-007
   0.16895999932486916E-007  -0.834891978E-007
   0.16991999932103319E-007  -0.835000478E-007
   0.17087999931719722E-007  -0.835400513E-007
   0.17183999931336125E-007  -0.835891925E-007
   0.17279999930952528E-007  -0.836191418E-007
   0.17375999930568931E-007  -0.836323366E-007
   0.17471999930185333E-007  -0.836564098E-007
   0.17567999929801736E-007  -0.837045917E-007
   0.17663999929418139E-007  -0.837577971E-007
   0.17759999929034542E-007  -0.837916687E-007
   0.17855999928650945E-007  -0.838096597E-007
   0.17951999928267348E-007  -0.838371932E-007
   0.18047999927883751E-007  -0.838867393E-007
   0.18143999927500154E-007  -0.839423109E-007
   0.18239999927116557E-007  -0.839827976E-007
   0.18335999926732960E-007  -0.840103809E-007
   0.18431999926349363E-007  -0.840455741E-007
   0.18527999925965766E-007  -0.840975645E-007
   0.18623999925582169E-007  -0.841512602E-007
   0.18719999925198572E-007  -0.841876044E-007
   0.18815999924814975E-007  -0.842084660E-007
   0.18911999924431377E-007  -0.842329513E-007
   0.19007999924047780E-007  -0.842717540E-007
   0.19103999923664183E-007  -0.843150261E-007
   0.19199999923280586E-007  -0.843483718E-007
   0.19295999922896989E-007  -0.843738093E-007
   0.19391999922513392E-007  -0.844072190E-007
   0.19487999922129795E-007  -0.844567509E-007
   0.19583999921746198E-007  -0.845115053E-007
   0.19679999921362601E-007  -0.845548342E-007
   0.19775999920979004E-007  -0.845838812E-007
   0.19871999920595407E-007  -0.846104697E-007
   0.19967999920211810E-007  -0.846438653E-007
   0.20063999919828213E-007  -0.846790797E-007
   0.20159999919444616E-007  -0.847047943E-007
   0.20255999919061018E-007  -0.847181099E-007
   0.20351999918677421E-007  -0.847292156E-007
   0.20447999918293824E-007  -0.847509440E-007
   0.20543999917910227E-007  -0.847839985E-007
   0.20639999917526630E-007  -0.848172235E-007
   0.20735999917143033E-007  -0.848424833E-007
   0.20831999916759436E-007  -0.848643751E-007
   0.20927999916375839E-007  -0.848925268E-007
   0.21023999915992242E-007  -0.849267821E-007
   0.21119999915608645E-007  -0.849557935E-007
   0.21215999915225048E-007  -0.849715605E-007
   0.21311999914841451E-007  -0.849813446E-007
   0.21407999914457854E-007  -0.850001598E-007
   0.21503999914074257E-007  -0.850324753E-007
   0.21599999913690660E-007  -0.850668798E-007
   0.21695999913307062E-007  -0.850916493E-007
   0.21791999912923465E-007  -0.851111039E-007
   0.21887999912539868E-007  -0.851398880E-007
   0.21983999912156271E-007  -0.851817958E-007
   0.22079999911772674E-007  -0.852217639E-007
   0.22175999911389077E-007  -0.852442028E-007
   0.22271999911005480E-007  -0.852541007E-007
   0.22367999910621883E-007  -0.852717648E-007
   0.22463999910238286E-007  -0.853062687E-007
   0.22559999909854689E-007  -0.853434656E-007
   0.22655999909471092E-007  -0.853659756E-007
   0.22751999909087495E-007  -0.853787583E-007
   0.22847999908703898E-007  -0.854037410E-007
   0.22943999908320301E-007  -0.854491802E-007
   0.23039999907936703E-007  -0.854958913E-007
   0.23135999907553106E-007  -0.855215916E-007
   0.23231999907169509E-007  -0.855310702E-007
   0.23327999906785912E-007  -0.855500346E-007
   0.23423999906402315E-007  -0.855895266E-007
   0.23519999906018718E-007  -0.856301909E-007
   0.23615999905635121E-007  -0.856494964E-007
   0.23711999905251524E-007  -0.856546833E-007
   0.23807999904867927E-007  -0.856745075E-007
   0.23903999904484330E-007  -0.857195417E-007
   0.23999999904100733E-007  -0.857664162E-007
   0.24095999903717136E-007  -0.857893525E-007
   0.24191999903333539E-007  -0.857958256E-007
   0.24287999902949942E-007  -0.858161329E-007
   0.24383999902566345E-007  -0.858607550E-007
   0.24479999902182747E-007  -0.859052207E-007
   0.24575999901799150E-007  -0.859245546E-007
   0.24671999901415553E-007  -0.859292300E-007
   0.24767999901031956E-007  -0.859515765E-007
   0.24863999900648359E-007  -0.860009521E-007
   0.24959999900264762E-007  -0.860503633E-007
   0.25055999899881165E-007  -0.860737543E-007
   0.25151999899497568E-007  -0.860818403E-007
   0.25247999899113971E-007  -0.861006910E-007
   0.25343999898730374E-007  -0.861322889E-007
   0.25439999898346777E-007  -0.861523475E-007
   0.25535999897963180E-007  -0.861456968E-007
   0.25631999897579583E-007  -0.861308962E-007
   0.25727999897195986E-007  -0.861384137E-007
   0.25823999896812388E-007  -0.861707221E-007
   0.25919999896428791E-007  -0.861994280E-007
   0.26015999896045194E-007  -0.862040892E-007
   0.26111999895661597E-007  -0.861994920E-007
   0.26207999895278000E-007  -0.862138307E-007
   0.26303999894894403E-007  -0.862485194E-007
   0.26399999894510806E-007  -0.862753780E-007
   0.26495999894127209E-007  -0.862751222E-007
   0.26591999893743612E-007  -0.862633271E-007
   0.26687999893360015E-007  -0.862687557E-007
   0.26783999892976418E-007  -0.862945129E-007
   0.26879999892592821E-007  -0.863157297E-007
   0.26975999892209224E-007  -0.863150618E-007
   0.27071999891825627E-007  -0.863060308E-007
   0.27167999891442030E-007  -0.863126530E-007
   0.27263999891058432E-007  -0.863350564E-007
   0.27359999890674835E-007  -0.863489547E-007
   0.27455999890291238E-007  -0.863381899E-007
   0.27551999889907641E-007  -0.863149197E-007
   0.27647999889524044E-007  -0.863007870E-007
   0.27743999889140447E-007  -0.862968577E-007
   0.27839999888756850E-007  -0.862833645E-007
   0.27935999888373253E-007  -0.862475673E-007
   0.28031999887989656E-007  -0.862001812E-007
   0.28127999887606059E-007  -0.861587992E-007
   0.28223999887222462E-007  -0.861225615E-007
   0.28319999886838865E-007  -0.860725393E-007
   0.28415999886455268E-007  -0.859957936E-007
   0.28511999886071671E-007  -0.858993161E-007
   0.28607999885688074E-007  -0.857967990E-007
   0.28703999885304476E-007  -0.856877662E-007
   0.28799999884920879E-007  -0.855575664E-007
   0.28895999884537282E-007  -0.853963869E-007
   0.28991999884153685E-007  -0.852105302E-007
   0.29087999883770088E-007  -0.850117488E-007
   0.29183999883386491E-007  -0.847998578E-007
   0.29279999883002894E-007  -0.845619965E-007
   0.29375999882619297E-007  -0.842876631E-007
   0.29471999882235700E-007  -0.839790388E-007
   0.29567999881852103E-007  -0.836438900E-007
   0.29663999881468506E-007  -0.832817477E-007
   0.29759999881084909E-007  -0.828820532E-007
   0.29855999880701312E-007  -0.824356192E-007
   0.29951999880317715E-007  -0.819439521E-007
   0.30047999879934117E-007  -0.814145835E-007
   0.30143999879550520E-007  -0.808492899E-007
   0.30239999879166923E-007  -0.802404330E-007
   0.30335999878783326E-007  -0.795794293E-007
   0.30431999878399729E-007  -0.788657957E-007
   0.30527999878016132E-007  -0.781053728E-007
   0.30623999877632535E-007  -0.773005056E-007
   0.30719999877248938E-007  -0.764452253E-007
   0.30815999876865341E-007  -0.755315455E-007
   0.30911999876481744E-007  -0.745587982E-007
   0.31007999876098147E-007  -0.735337977E-007
   0.31103999875714550E-007  -0.724617308E-007
   0.31199999875330953E-007  -0.713395067E-007
   0.31295999874947356E-007  -0.701601834E-007
   0.31391999874563759E-007  -0.689226098E-007
   0.31487999874180161E-007  -0.676333443E-007
   0.31583999873796564E-007  -0.662983766E-007
   0.31679999873412967E-007  -0.649154970E-007
   0.31775999873029370E-007  -0.634778985E-007
   0.31871999872645773E-007  -0.619844087E-007
   0.31967999872262176E-007  -0.604429715E-007
   0.32063999871878579E-007  -0.588623443E-007
   0.32159999871494982E-007  -0.572429890E-007
   0.32255999871111385E-007  -0.555794344E-007
   0.32351999870727788E-007  -0.538709770E-007
   0.32447999870344191E-007  -0.521261718E-007
   0.32543999869960594E-007  -0.503545436E-007
   0.32639999869576997E-007  -0.485565934E-007
   0.32735999869193400E-007  -0.467257664E-007
   0.32831999868809802E-007  -0.448602222E-007
   0.32927999868426205E-007  -0.429685549E-007
   0.33023999868042608E-007  -0.410615186E-007
   0.33119999867659011E-007  -0.391406125E-007
   0.33215999867275414E-007  -0.371992961E-007
   0.33311999866891817E-007  -0.352353879E-007
   0.33407999866508220E-007  -0.332577201E-007
   0.33503999866124623E-007  -0.312774411E-007
   0.33599999865741026E-007  -0.292954034E-007
   0.33695999865357429E-007  -0.273030931E-007
   0.33791999864973832E-007  -0.252965346E-007
   0.33887999864590235E-007  -0.232844926E-007
   0.33983999864206638E-007  -0.212795150E-007
   0.34079999863823041E-007  -0.192838687E-007
   0.34175999863439444E-007  -0.172899242E-007
   0.34271999863055846E-007  -0.152951252E-007
   0.34367999862672249E-007  -0.133110074E-007
   0.34463999862288652E-007  -0.113530687E-007
   0.34559999861905055E-007  -0.942463618E-008
   0.34655999861521458E-007  -0.751691953E-008
   0.34751999861137861E-007  -0.562568259E-008
   0.34847999860754264E-007  -0.376168607E-008
   0.34943999860370667E-007  -0.193982941E-008
   0.35039999859987070E-007  -0.161512720E-009
   0.35135999859603473E-007   0.158506852E-008
   0.35231999859219876E-007   0.330196626E-008
   0.35327999858836279E-007   0.497297936E-008
   0.35423999858452682E-007   0.658472343E-008
   0.35519999858069085E-007   0.814514145E-008
   0.35615999857685487E-007   0.967457137E-008
   0.35711999857301890E-007   0.111806751E-007
   0.35807999856918293E-007   0.126496289E-007
   0.35903999856534696E-007   0.140652245E-007
   0.35999999856151099E-007   0.154306221E-007
   0.36095999855767502E-007   0.167637086E-007
   0.36191999855383905E-007   0.180720914E-007
   0.36287999855000308E-007   0.193416430E-007
   0.36383999854616711E-007   0.205543280E-007
   0.36479999854233114E-007   0.217112301E-007
   0.36575999853849517E-007   0.228295249E-007
   0.36671999853465920E-007   0.239177478E-007
   0.36767999853082323E-007   0.249638905E-007
   0.36863999852698726E-007   0.259530530E-007
   0.36959999852315129E-007   0.268901363E-007
   0.37055999851931531E-007   0.277958581E-007
   0.37151999851547934E-007   0.286813062E-007
   0.37247999851164337E-007   0.295363733E-007
   0.37343999850780740E-007   0.303478309E-007
   0.37439999850397143E-007   0.311214308E-007
   0.37535999850013546E-007   0.318767945E-007
   0.37631999849629949E-007   0.326223990E-007
   0.37727999849246352E-007   0.333455077E-007
   0.37823999848862755E-007   0.340311175E-007
   0.37919999848479158E-007   0.346830014E-007
   0.38015999848095561E-007   0.353176404E-007
   0.38111999847711964E-007   0.359400296E-007
   0.38207999847328367E-007   0.365356456E-007
   0.38303999846944770E-007   0.370897091E-007
   0.38399999846561172E-007   0.376064762E-007
   0.38495999846177575E-007   0.381021259E-007
   0.38591999845793978E-007   0.385820087E-007
   0.38687999845410381E-007   0.390345498E-007
   0.38783999845026784E-007   0.394497839E-007
   0.38879999844643187E-007   0.398359639E-007
   0.38975999844259590E-007   0.402112974E-007
   0.39071999843875993E-007   0.405828793E-007
   0.39167999843492396E-007   0.409419592E-007
   0.39263999843108799E-007   0.412806997E-007
   0.39359999842725202E-007   0.416058725E-007
   0.39455999842341605E-007   0.419305834E-007
   0.39551999841958008E-007   0.422564916E-007
   0.39647999841574411E-007   0.425712265E-007
   0.39743999841190814E-007   0.428637748E-007
   0.39839999840807216E-007   0.431361329E-007
   0.39935999840423619E-007   0.433963230E-007
