t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
   0.19874598529423526E-008   0.906533182E+000   0.929002106E+000
   0.20028665184690375E-008   0.855256796E+000   0.882366061E+000
   0.20182731839957224E-008   0.796003103E+000   0.826770365E+000
   0.20336798495224073E-008   0.730867743E+000   0.764231920E+000
   0.20490865150490922E-008   0.662017703E+000   0.696898639E+000
   0.20644931805757771E-008   0.591572821E+000   0.626928627E+000
   0.20798998461024620E-008   0.521502078E+000   0.556379020E+000
   0.20953065116291469E-008   0.453539670E+000   0.487110585E+000
   0.21107131771558318E-008   0.389124691E+000   0.420715362E+000
   0.21261198426825167E-008   0.329366595E+000   0.358470559E+000
   0.21415265082092017E-008   0.275036931E+000   0.301316321E+000
   0.21569331737358866E-008   0.226583302E+000   0.249859467E+000
   0.21723398392625715E-008   0.184160233E+000   0.204396456E+000
   0.21877465047892564E-008   0.147673294E+000   0.164950952E+000
   0.22031531703159413E-008   0.116829902E+000   0.131322876E+000
   0.22185598358426262E-008   0.911928862E-001   0.103140764E+000
   0.22339665013693111E-008   0.702315122E-001   0.799142346E-001
   0.22493731668959960E-008   0.533677824E-001   0.610832348E-001
   0.22647798324226809E-008   0.400144979E-001   0.460600592E-001
   0.22801864979493658E-008   0.296049193E-001   0.342634097E-001
   0.22955931634760507E-008   0.216140337E-001   0.251443740E-001
   0.23109998290027356E-008   0.155723086E-001   0.182035360E-001
   0.23264064945294205E-008   0.110723376E-001   0.130009223E-001
   0.23418131600561054E-008   0.776999211E-002   0.916002598E-002
   0.23572198255827903E-008   0.538178533E-002   0.636684289E-002
   0.23726264911094752E-008   0.367953116E-002   0.436570961E-002
   0.23880331566361601E-008   0.248349458E-002   0.295317895E-002
   0.24034398221628450E-008   0.165495917E-002   0.197074143E-002
   0.24188464876895299E-008   0.108895591E-002   0.129739626E-002
   0.24342531532162148E-008   0.707552419E-003   0.842596986E-003
   0.24496598187428997E-008   0.453992805E-003   0.539848988E-003
   0.24650664842695846E-008   0.287702918E-003   0.341214560E-003
   0.24804731497962695E-008   0.180119154E-003   0.212758634E-003
   0.24958798153229544E-008   0.111419256E-003   0.130873610E-003
   0.25112864808496393E-008   0.680981320E-004   0.794181178E-004
   0.25266931463763243E-008   0.411227666E-004   0.475435481E-004
   0.25420998119030092E-008   0.245177143E-004   0.280781824E-004
   0.25575064774296941E-008   0.143966745E-004   0.163586992E-004
   0.25729131429563790E-008   0.830534282E-005   0.940227801E-005
   0.25883198084830639E-008   0.470722262E-005   0.533117645E-005
   0.26037264740097488E-008   0.262219032E-005   0.298205100E-005
   0.26191331395364337E-008   0.142727163E-005   0.164555252E-005
   0.26345398050631186E-008   0.731931550E-006   0.895806636E-006
   0.26499464705898035E-008   0.304628799E-006   0.481081315E-006
   0.26653531361164884E-008   0.431392095E-007   0.254875147E-006
   0.26807598016431733E-008  -0.878494433E-007   0.133211756E-006
   0.26961664671698582E-008  -0.134375682E-006   0.686845496E-007
   0.27115731326965431E-008  -0.150800219E-006   0.349365799E-007
   0.27269797982232280E-008  -0.161755395E-006   0.175310539E-007
   0.27423864637499129E-008  -0.176095810E-006   0.867833982E-008
   0.27577931292765978E-008  -0.202060235E-006   0.423809210E-008
   0.27731997948032827E-008  -0.227477713E-006   0.204178785E-008
   0.27886064603299676E-008  -0.230033294E-006   0.970401537E-009
   0.28040131258566525E-008  -0.210761002E-006   0.454990434E-009
   0.28194197913833374E-008  -0.188421112E-006   0.210450671E-009
   0.28348264569100223E-008  -0.179564822E-006   0.960292124E-010
   0.28502331224367072E-008  -0.193585834E-006   0.432276610E-010
   0.28656397879633921E-008  -0.219686626E-006   0.191967275E-010
   0.28810464534900770E-008  -0.230509627E-006   0.840993074E-011
   0.28964531190167619E-008  -0.218830053E-006   0.363465443E-011
   0.29118597845434468E-008  -0.201451002E-006   0.154967684E-011
   0.29272664500701318E-008  -0.187788729E-006   0.651806246E-012
   0.29426731155968167E-008  -0.183343829E-006   0.270459111E-012
   0.29580797811235016E-008  -0.199374455E-006   0.110711380E-012
   0.29734864466501865E-008  -0.224703243E-006   0.447076458E-013
   0.29888931121768714E-008  -0.229805309E-006   0.178105448E-013
   0.30042997777035563E-008  -0.212847425E-006   0.699971765E-014
   0.30197064432302412E-008  -0.194728244E-006   0.271382728E-014
   0.30351131087569261E-008  -0.184908259E-006   0.103798234E-014
   0.30505197742836110E-008  -0.190267059E-006   0.391657023E-015
   0.30659264398102959E-008  -0.213431690E-006   0.145787314E-015
   0.30813331053369808E-008  -0.228419395E-006   0.535352450E-016
   0.30967397708636657E-008  -0.216656247E-006   0.193940452E-016
   0.31121464363903506E-008  -0.203108840E-006   0.693097530E-017
   0.31275531019170355E-008  -0.201896825E-006   0.244358128E-017
   0.31429597674437204E-008  -0.193127150E-006   0.849900472E-018
   0.31583664329704053E-008  -0.187294802E-006   0.291612470E-018
   0.31737730984970902E-008  -0.211878117E-006   0.987076628E-019
   0.31891797640237751E-008  -0.235775133E-006   0.329613412E-019
   0.32045864295504600E-008  -0.219400818E-006   0.108581285E-019
   0.32199930950771449E-008  -0.193677437E-006   0.352867858E-020
   0.32353997606038298E-008  -0.192490376E-006   0.113130247E-020
   0.32508064261305147E-008  -0.196433049E-006   0.357800548E-021
   0.32662130916571996E-008  -0.200893467E-006   0.111637588E-021
   0.32816197571838845E-008  -0.221131259E-006   0.343629009E-022
   0.32970264227105694E-008  -0.228537985E-006   0.104343192E-022
   0.33124330882372544E-008  -0.203770654E-006   0.312568996E-023
   0.33278397537639393E-008  -0.191293537E-006   0.923714902E-024
   0.33432464192906242E-008  -0.205700005E-006   0.269292560E-024
   0.33586530848173091E-008  -0.203544062E-006   0.774494700E-025
   0.33740597503439940E-008  -0.193478186E-006   0.219747174E-025
   0.33894664158706789E-008  -0.216750081E-006   0.615065989E-026
   0.34048730813973638E-008  -0.236020895E-006   0.169835378E-026
   0.34202797469240487E-008  -0.207320255E-006   0.462642750E-027
   0.34356864124507336E-008  -0.181114487E-006   0.124324363E-027
   0.34510930779774185E-008  -0.197172696E-006   0.329590711E-028
   0.34664997435041034E-008  -0.212149757E-006   0.861996139E-029
   0.34819064090307883E-008  -0.208989164E-006   0.222396422E-029
   0.34973130745574732E-008  -0.217448786E-006   0.566055402E-030
   0.35127197400841581E-008  -0.220774538E-006   0.142135323E-030
   0.35281264056108430E-008  -0.197497428E-006   0.352076104E-031
   0.35435330711375279E-008  -0.188958481E-006   0.860359597E-032
   0.35589397366642128E-008  -0.208948265E-006   0.207412948E-032
   0.35743464021908977E-008  -0.211567780E-006   0.493267414E-033
   0.35897530677175826E-008  -0.201210710E-006   0.115727924E-033
   0.36051597332442675E-008  -0.216506805E-006   0.267859375E-034
   0.36205663987709524E-008  -0.226061815E-006   0.611597069E-035
   0.36359730642976373E-008  -0.197280926E-006   0.138153392E-035
   0.36513797298243222E-008  -0.181078718E-006   0.308822595E-036
