t              OneCable.fdtd_Probe_Start_Ez_10_25_10.dat
   0.75802438414748763E-009  -0.200013733E+002
   0.75956508411526708E-009  -0.203462200E+002
   0.76110578408304652E-009  -0.206957874E+002
   0.76264648405082597E-009  -0.210501099E+002
   0.76418718401860541E-009  -0.214092293E+002
   0.76572788398638486E-009  -0.217731857E+002
   0.76726858395416431E-009  -0.221420174E+002
   0.76880928392194375E-009  -0.225157604E+002
   0.77034998388972320E-009  -0.228944550E+002
   0.77189068385750265E-009  -0.232781391E+002
   0.77343138382528209E-009  -0.236668510E+002
   0.77497208379306154E-009  -0.240606270E+002
   0.77651278376084099E-009  -0.244595051E+002
   0.77805348372862043E-009  -0.248635197E+002
   0.77959418369639988E-009  -0.252727108E+002
   0.78113488366417932E-009  -0.256871147E+002
   0.78267558363195877E-009  -0.261067657E+002
   0.78421628359973822E-009  -0.265316963E+002
   0.78575698356751766E-009  -0.269619465E+002
   0.78729768353529711E-009  -0.273975506E+002
   0.78883838350307656E-009  -0.278385429E+002
   0.79037908347085600E-009  -0.282849560E+002
   0.79191978343863545E-009  -0.287368240E+002
   0.79346048340641490E-009  -0.291941814E+002
   0.79500118337419434E-009  -0.296570587E+002
   0.79654188334197379E-009  -0.301254902E+002
   0.79808258330975324E-009  -0.305995045E+002
   0.79962328327753268E-009  -0.310791359E+002
   0.80116398324531213E-009  -0.315644150E+002
   0.80270468321309157E-009  -0.320553703E+002
   0.80424538318087102E-009  -0.325520325E+002
   0.80578608314865047E-009  -0.330544319E+002
   0.80732678311642991E-009  -0.335625954E+002
   0.80886748308420936E-009  -0.340765495E+002
   0.81040818305198881E-009  -0.345963249E+002
   0.81194888301976825E-009  -0.351219444E+002
   0.81348958298754770E-009  -0.356534386E+002
   0.81503028295532715E-009  -0.361908302E+002
   0.81657098292310659E-009  -0.367341461E+002
   0.81811168289088604E-009  -0.372834053E+002
   0.81965238285866548E-009  -0.378386383E+002
   0.82119308282644493E-009  -0.383998604E+002
   0.82273378279422438E-009  -0.389670944E+002
   0.82427448276200382E-009  -0.395403671E+002
   0.82581518272978327E-009  -0.401196976E+002
   0.82735588269756272E-009  -0.407051048E+002
   0.82889658266534216E-009  -0.412966042E+002
   0.83043728263312161E-009  -0.418942184E+002
   0.83197798260090106E-009  -0.424979553E+002
   0.83351868256868050E-009  -0.431078377E+002
   0.83505938253645995E-009  -0.437238808E+002
   0.83660008250423940E-009  -0.443461037E+002
   0.83814078247201884E-009  -0.449745178E+002
   0.83968148243979829E-009  -0.456091385E+002
   0.84122218240757773E-009  -0.462499695E+002
   0.84276288237535718E-009  -0.468970222E+002
   0.84430358234313663E-009  -0.475503082E+002
   0.84584428231091607E-009  -0.482098351E+002
   0.84738498227869552E-009  -0.488756142E+002
   0.84892568224647497E-009  -0.495476570E+002
   0.85046638221425441E-009  -0.502259598E+002
   0.85200708218203386E-009  -0.509105301E+002
   0.85354778214981331E-009  -0.516013756E+002
   0.85508848211759275E-009  -0.522984962E+002
   0.85662918208537220E-009  -0.530018959E+002
   0.85816988205315164E-009  -0.537115746E+002
   0.85971058202093109E-009  -0.544275284E+002
   0.86125128198871054E-009  -0.551497574E+002
   0.86279198195648998E-009  -0.558782616E+002
   0.86433268192426943E-009  -0.566130333E+002
   0.86587338189204888E-009  -0.573540649E+002
   0.86741408185982832E-009  -0.581013489E+002
   0.86895478182760777E-009  -0.588548813E+002
   0.87049548179538722E-009  -0.596146584E+002
   0.87203618176316666E-009  -0.603806648E+002
   0.87357688173094611E-009  -0.611528969E+002
   0.87511758169872556E-009  -0.619313354E+002
   0.87665828166650500E-009  -0.627159653E+002
   0.87819898163428445E-009  -0.635067749E+002
   0.87973968160206389E-009  -0.643037491E+002
   0.88128038156984334E-009  -0.651068649E+002
   0.88282108153762279E-009  -0.659160995E+002
   0.88436178150540223E-009  -0.667314377E+002
   0.88590248147318168E-009  -0.675528564E+002
   0.88744318144096113E-009  -0.683803406E+002
   0.88898388140874057E-009  -0.692138596E+002
   0.89052458137652002E-009  -0.700533829E+002
   0.89206528134429947E-009  -0.708988953E+002
   0.89360598131207891E-009  -0.717503662E+002
   0.89514668127985836E-009  -0.726077576E+002
   0.89668738124763780E-009  -0.734710464E+002
   0.89822808121541725E-009  -0.743401947E+002
   0.89976878118319670E-009  -0.752151642E+002
   0.90130948115097614E-009  -0.760959244E+002
   0.90285018111875559E-009  -0.769824371E+002
   0.90439088108653504E-009  -0.778746643E+002
   0.90593158105431448E-009  -0.787725677E+002
   0.90747228102209393E-009  -0.796761017E+002
   0.90901298098987338E-009  -0.805852280E+002
   0.91055368095765282E-009  -0.814999008E+002
   0.91209438092543227E-009  -0.824200745E+002
   0.91363508089321172E-009  -0.833456955E+002
   0.91517578086099116E-009  -0.842767258E+002
   0.91671648082877061E-009  -0.852131042E+002
   0.91825718079655005E-009  -0.861547852E+002
   0.91979788076432950E-009  -0.871017151E+002
   0.92133858073210895E-009  -0.880538406E+002
   0.92287928069988839E-009  -0.890111008E+002
   0.92441998066766784E-009  -0.899734344E+002
   0.92596068063544729E-009  -0.909407883E+002
   0.92750138060322673E-009  -0.919131012E+002
   0.92904208057100618E-009  -0.928903046E+002
