t              OneCable.fdtd_Bulk probe_Jx_30_23_25__30_26_34.dat
   0.11421208861149036E-007  -0.485278974E-006
   0.11422749561116816E-007  -0.474801368E-006
   0.11424290261084595E-007  -0.464315150E-006
   0.11425830961052375E-007  -0.453821713E-006
   0.11427371661020154E-007  -0.443321767E-006
   0.11428912360987933E-007  -0.432814858E-006
   0.11430453060955713E-007  -0.422301071E-006
   0.11431993760923492E-007  -0.411780633E-006
   0.11433534460891272E-007  -0.401254425E-006
   0.11435075160859051E-007  -0.390723727E-006
   0.11436615860826831E-007  -0.380189277E-006
   0.11438156560794610E-007  -0.369651985E-006
   0.11439697260762390E-007  -0.359112420E-006
   0.11441237960730169E-007  -0.348571518E-006
   0.11442778660697948E-007  -0.338029594E-006
   0.11444319360665728E-007  -0.327487157E-006
   0.11445860060633507E-007  -0.316944693E-006
   0.11447400760601287E-007  -0.306403109E-006
   0.11448941460569066E-007  -0.295863657E-006
   0.11450482160536846E-007  -0.285327161E-006
   0.11452022860504625E-007  -0.274793621E-006
   0.11453563560472405E-007  -0.264262411E-006
   0.11455104260440184E-007  -0.253733532E-006
   0.11456644960407963E-007  -0.243207694E-006
   0.11458185660375743E-007  -0.232686290E-006
   0.11459726360343522E-007  -0.222170470E-006
   0.11461267060311302E-007  -0.211660137E-006
   0.11462807760279081E-007  -0.201154677E-006
   0.11464348460246861E-007  -0.190653594E-006
   0.11465889160214640E-007  -0.180157670E-006
   0.11467429860182420E-007  -0.169668567E-006
   0.11468970560150199E-007  -0.159187920E-006
   0.11470511260117978E-007  -0.148716012E-006
   0.11472051960085758E-007  -0.138252233E-006
   0.11473592660053537E-007  -0.127796298E-006
   0.11475133360021317E-007  -0.117348833E-006
   0.11476674059989096E-007  -0.106911415E-006
   0.11478214759956876E-007  -0.964857776E-007
   0.11479755459924655E-007  -0.860724754E-007
   0.11481296159892435E-007  -0.756711884E-007
   0.11482836859860214E-007  -0.652815899E-007
   0.11484377559827993E-007  -0.549038646E-007
   0.11485918259795773E-007  -0.445395862E-007
   0.11487458959763552E-007  -0.341905420E-007
   0.11488999659731332E-007  -0.238579592E-007
   0.11490540359699111E-007  -0.135422971E-007
   0.11492081059666891E-007  -0.324318394E-008
   0.11493621759634670E-007   0.704008674E-008
   0.11495162459602450E-007   0.173076895E-007
   0.11496703159570229E-007   0.275587606E-007
   0.11498243859538008E-007   0.377917502E-007
   0.11499784559505788E-007   0.480053082E-007
   0.11501325259473567E-007   0.581994470E-007
   0.11502865959441347E-007   0.683748169E-007
   0.11504406659409126E-007   0.785322243E-007
   0.11505947359376906E-007   0.886716407E-007
   0.11507488059344685E-007   0.987915314E-007
   0.11509028759312465E-007   0.108889985E-006
   0.11510569459280244E-007   0.118965239E-006
   0.11512110159248023E-007   0.129018005E-006
   0.11513650859215803E-007   0.139050016E-006
   0.11515191559183582E-007   0.149062473E-006
   0.11516732259151362E-007   0.159054082E-006
   0.11518272959119141E-007   0.169021959E-006
   0.11519813659086921E-007   0.178963376E-006
   0.11521354359054700E-007   0.188877465E-006
   0.11522895059022480E-007   0.198766116E-006
   0.11524435758990259E-007   0.208631334E-006
   0.11525976458958039E-007   0.218473289E-006
   0.11527517158925818E-007   0.228289380E-006
   0.11529057858893597E-007   0.238076154E-006
   0.11530598558861377E-007   0.247832020E-006
   0.11532139258829156E-007   0.257558128E-006
   0.11533679958796936E-007   0.267256837E-006
   0.11535220658764715E-007   0.276929256E-006
   0.11536761358732495E-007   0.286573965E-006
   0.11538302058700274E-007   0.296187807E-006
   0.11539842758668054E-007   0.305768708E-006
   0.11541383458635833E-007   0.315316896E-006
   0.11542924158603612E-007   0.324834730E-006
   0.11544464858571392E-007   0.334323630E-006
   0.11546005558539171E-007   0.343783398E-006
   0.11547546258506951E-007   0.353211334E-006
   0.11549086958474730E-007   0.362604993E-006
   0.11550627658442510E-007   0.371963722E-006
   0.11552168358410289E-007   0.381288856E-006
   0.11553709058378069E-007   0.390582159E-006
   0.11555249758345848E-007   0.399844396E-006
   0.11556790458313627E-007   0.409073834E-006
   0.11558331158281407E-007   0.418267604E-006
   0.11559871858249186E-007   0.427423686E-006
   0.11561412558216966E-007   0.436542280E-006
   0.11562953258184745E-007   0.445624835E-006
   0.11564493958152525E-007   0.454673085E-006
   0.11566034658120304E-007   0.463686433E-006
   0.11567575358088084E-007   0.472662180E-006
   0.11569116058055863E-007   0.481597510E-006
   0.11570656758023642E-007   0.490491288E-006
   0.11572197457991422E-007   0.499344878E-006
   0.11573738157959201E-007   0.508160781E-006
   0.11575278857926981E-007   0.516939906E-006
   0.11576819557894760E-007   0.525680491E-006
   0.11578360257862540E-007   0.534379126E-006
   0.11579900957830319E-007   0.543033480E-006
   0.11581441657798099E-007   0.551643893E-006
   0.11582982357765878E-007   0.560213948E-006
   0.11584523057733657E-007   0.568745918E-006
   0.11586063757701437E-007   0.577239064E-006
   0.11587604457669216E-007   0.585690088E-006
   0.11589145157636996E-007   0.594095354E-006
   0.11590685857604775E-007   0.602453895E-006
   0.11592226557572555E-007   0.610768268E-006
   0.11593767257540334E-007   0.619042112E-006
   0.11595307957508114E-007   0.627276393E-006
   0.11596848657475893E-007   0.635468382E-006
   0.11598389357443672E-007   0.643613987E-006
   0.11599930057411452E-007   0.651710593E-006
   0.11601470757379231E-007   0.659759337E-006
   0.11603011457347011E-007   0.667763516E-006
   0.11604552157314790E-007   0.675725175E-006
   0.11606092857282570E-007   0.683643009E-006
   0.11607633557250349E-007   0.691513208E-006
   0.11609174257218129E-007   0.699333214E-006
   0.11610714957185908E-007   0.707102117E-006
   0.11612255657153688E-007   0.714821567E-006
   0.11613796357121467E-007   0.722494406E-006
   0.11615337057089246E-007   0.730120803E-006
   0.11616877757057026E-007   0.737698656E-006
   0.11618418457024805E-007   0.745225293E-006
   0.11619959156992585E-007   0.752698782E-006
   0.11621499856960364E-007   0.760119974E-006
   0.11623040556928144E-007   0.767491315E-006
   0.11624581256895923E-007   0.774814964E-006
   0.11626121956863703E-007   0.782090240E-006
   0.11627662656831482E-007   0.789314925E-006
   0.11629203356799261E-007   0.796486347E-006
   0.11630744056767041E-007   0.803603712E-006
   0.11632284756734820E-007   0.810668382E-006
   0.11633825456702600E-007   0.817682746E-006
   0.11635366156670379E-007   0.824647827E-006
   0.11636906856638159E-007   0.831562033E-006
   0.11638447556605938E-007   0.838422579E-006
   0.11639988256573718E-007   0.845227362E-006
   0.11641528956541497E-007   0.851976381E-006
   0.11643069656509276E-007   0.858672081E-006
   0.11644610356477056E-007   0.865316565E-006
   0.11646151056444835E-007   0.871909151E-006
   0.11647691756412615E-007   0.878447054E-006
   0.11649232456380394E-007   0.884926919E-006
   0.11650773156348174E-007   0.891348066E-006
   0.11652313856315953E-007   0.897711857E-006
   0.11653854556283733E-007   0.904021647E-006
   0.11655395256251512E-007   0.910277890E-006
   0.11656935956219291E-007   0.916478882E-006
   0.11658476656187071E-007   0.922620927E-006
   0.11660017356154850E-007   0.928701752E-006
   0.11661558056122630E-007   0.934722493E-006
   0.11663098756090409E-007   0.940686220E-006
   0.11664639456058189E-007   0.946595151E-006
   0.11666180156025968E-007   0.952448715E-006
   0.11667720855993748E-007   0.958244186E-006
   0.11669261555961527E-007   0.963978778E-006
   0.11670802255929306E-007   0.969652319E-006
   0.11672342955897086E-007   0.975266516E-006
   0.11673883655864865E-007   0.980824325E-006
   0.11675424355832645E-007   0.986325404E-006
   0.11676965055800424E-007   0.991768843E-006
   0.11678505755768204E-007   0.997151687E-006
   0.11680046455735983E-007   0.100247269E-005
   0.11681587155703763E-007   0.100773184E-005
   0.11683127855671542E-007   0.101293165E-005
   0.11684668555639321E-007   0.101807291E-005
   0.11686209255607101E-007   0.102315539E-005
   0.11687749955574880E-007   0.102817751E-005
   0.11689290655542660E-007   0.103313710E-005
   0.11690831355510439E-007   0.103803347E-005
   0.11692372055478219E-007   0.104286744E-005
   0.11693912755445998E-007   0.104764001E-005
   0.11695453455413778E-007   0.105235210E-005
   0.11696994155381557E-007   0.105700269E-005
   0.11698534855349337E-007   0.106158973E-005
   0.11700075555317116E-007   0.106611151E-005
   0.11701616255284895E-007   0.107056849E-005
   0.11703156955252675E-007   0.107496192E-005
   0.11704697655220454E-007   0.107929395E-005
   0.11706238355188234E-007   0.108356437E-005
   0.11707779055156013E-007   0.108777147E-005
   0.11709319755123793E-007   0.109191365E-005
   0.11710860455091572E-007   0.109599011E-005
   0.11712401155059352E-007   0.110000224E-005
   0.11713941855027131E-007   0.110395206E-005
   0.11715482554994910E-007   0.110784049E-005
   0.11717023254962690E-007   0.111166639E-005
   0.11718563954930469E-007   0.111542749E-005
   0.11720104654898249E-007   0.111912220E-005
   0.11721645354866028E-007   0.112275131E-005
   0.11723186054833808E-007   0.112631676E-005
   0.11724726754801587E-007   0.112981968E-005
   0.11726267454769367E-007   0.113325996E-005
   0.11727808154737146E-007   0.113663566E-005
   0.11729348854704925E-007   0.113994486E-005
   0.11730889554672705E-007   0.114318686E-005
   0.11732430254640484E-007   0.114636248E-005
   0.11733970954608264E-007   0.114947329E-005
   0.11735511654576043E-007   0.115251987E-005
   0.11737052354543823E-007   0.115550131E-005
   0.11738593054511602E-007   0.115841624E-005
   0.11740133754479382E-007   0.116126375E-005
   0.11741674454447161E-007   0.116404328E-005
   0.11743215154414940E-007   0.116675608E-005
   0.11744755854382720E-007   0.116940305E-005
   0.11746296554350499E-007   0.117198454E-005
   0.11747837254318279E-007   0.117449986E-005
   0.11749377954286058E-007   0.117694833E-005
   0.11750918654253838E-007   0.117932905E-005
   0.11752459354221617E-007   0.118164257E-005
   0.11754000054189397E-007   0.118388925E-005
   0.11755540754157176E-007   0.118607011E-005
   0.11757081454124955E-007   0.118818605E-005
   0.11758622154092735E-007   0.119023582E-005
   0.11760162854060514E-007   0.119221886E-005
   0.11761703554028294E-007   0.119413460E-005
   0.11763244253996073E-007   0.119598303E-005
   0.11764784953963853E-007   0.119776576E-005
   0.11766325653931632E-007   0.119948288E-005
   0.11767866353899412E-007   0.120113486E-005
   0.11769407053867191E-007   0.120272034E-005
   0.11770947753834970E-007   0.120423840E-005
   0.11772488453802750E-007   0.120568836E-005
   0.11774029153770529E-007   0.120707125E-005
   0.11775569853738309E-007   0.120838763E-005
   0.11777110553706088E-007   0.120963750E-005
   0.11778651253673868E-007   0.121082053E-005
   0.11780191953641647E-007   0.121193568E-005
   0.11781732653609427E-007   0.121298285E-005
   0.11783273353577206E-007   0.121396170E-005
   0.11784814053544986E-007   0.121487369E-005
   0.11786354753512765E-007   0.121571895E-005
   0.11787895453480544E-007   0.121649725E-005
   0.11789436153448324E-007   0.121720825E-005
   0.11790976853416103E-007   0.121785217E-005
   0.11792517553383883E-007   0.121842845E-005
   0.11794058253351662E-007   0.121893765E-005
   0.11795598953319442E-007   0.121938058E-005
   0.11797139653287221E-007   0.121975779E-005
   0.11798680353255001E-007   0.122006907E-005
   0.11800221053222780E-007   0.122031440E-005
   0.11801761753190559E-007   0.122049323E-005
   0.11803302453158339E-007   0.122060521E-005
   0.11804843153126118E-007   0.122065057E-005
   0.11806383853093898E-007   0.122063113E-005
   0.11807924553061677E-007   0.122054666E-005
   0.11809465253029457E-007   0.122039796E-005
   0.11811005952997236E-007   0.122018332E-005
   0.11812546652965016E-007   0.121990183E-005
   0.11814087352932795E-007   0.121955281E-005
   0.11815628052900574E-007   0.121913740E-005
   0.11817168752868354E-007   0.121865696E-005
   0.11818709452836133E-007   0.121811331E-005
   0.11820250152803913E-007   0.121750452E-005
   0.11821790852771692E-007   0.121682956E-005
   0.11823331552739472E-007   0.121608673E-005
   0.11824872252707251E-007   0.121527705E-005
   0.11826412952675031E-007   0.121440235E-005
   0.11827953652642810E-007   0.121346432E-005
   0.11829494352610589E-007   0.121246273E-005
   0.11831035052578369E-007   0.121139612E-005
   0.11832575752546148E-007   0.121026278E-005
   0.11834116452513928E-007   0.120906338E-005
   0.11835657152481707E-007   0.120779953E-005
   0.11837197852449487E-007   0.120647371E-005
   0.11838738552417266E-007   0.120508639E-005
   0.11840279252385046E-007   0.120363597E-005
   0.11841819952352825E-007   0.120212098E-005
   0.11843360652320604E-007   0.120054096E-005
   0.11844901352288384E-007   0.119889717E-005
   0.11846442052256163E-007   0.119719141E-005
   0.11847982752223943E-007   0.119542483E-005
   0.11849523452191722E-007   0.119359811E-005
   0.11851064152159502E-007   0.119170954E-005
   0.11852604852127281E-007   0.118975720E-005
   0.11854145552095061E-007   0.118774074E-005
   0.11855686252062840E-007   0.118566106E-005
   0.11857226952030619E-007   0.118352068E-005
   0.11858767651998399E-007   0.118132073E-005
   0.11860308351966178E-007   0.117906120E-005
   0.11861849051933958E-007   0.117674040E-005
   0.11863389751901737E-007   0.117435559E-005
   0.11864930451869517E-007   0.117190746E-005
   0.11866471151837296E-007   0.116939782E-005
   0.11868011851805076E-007   0.116682918E-005
   0.11869552551772855E-007   0.116420313E-005
   0.11871093251740635E-007   0.116151750E-005
   0.11872633951708414E-007   0.115877083E-005
   0.11874174651676193E-007   0.115596151E-005
   0.11875715351643973E-007   0.115309115E-005
   0.11877256051611752E-007   0.115016303E-005
   0.11878796751579532E-007   0.114717932E-005
   0.11880337451547311E-007   0.114414001E-005
   0.11881878151515091E-007   0.114104205E-005
   0.11883418851482870E-007   0.113788349E-005
   0.11884959551450650E-007   0.113466467E-005
   0.11886500251418429E-007   0.113138890E-005
   0.11888040951386208E-007   0.112805924E-005
   0.11889581651353988E-007   0.112467660E-005
   0.11891122351321767E-007   0.112123860E-005
   0.11892663051289547E-007   0.111774239E-005
   0.11894203751257326E-007   0.111418683E-005
   0.11895744451225106E-007   0.111057443E-005
   0.11897285151192885E-007   0.110690792E-005
   0.11898825851160665E-007   0.110318979E-005
   0.11900366551128444E-007   0.109941880E-005
   0.11901907251096223E-007   0.109559221E-005
   0.11903447951064003E-007   0.109170821E-005
   0.11904988651031782E-007   0.108776760E-005
   0.11906529350999562E-007   0.108377276E-005
   0.11908070050967341E-007   0.107972619E-005
   0.11909610750935121E-007   0.107562857E-005
   0.11911151450902900E-007   0.107147821E-005
   0.11912692150870680E-007   0.106727384E-005
   0.11914232850838459E-007   0.106301434E-005
   0.11915773550806238E-007   0.105870197E-005
   0.11917314250774018E-007   0.105433912E-005
   0.11918854950741797E-007   0.104992739E-005
   0.11920395650709577E-007   0.104546689E-005
   0.11921936350677356E-007   0.104095557E-005
   0.11923477050645136E-007   0.103639172E-005
   0.11925017750612915E-007   0.103177615E-005
   0.11926558450580695E-007   0.102711101E-005
   0.11928099150548474E-007   0.102239915E-005
   0.11929639850516253E-007   0.101764158E-005
   0.11931180550484033E-007   0.101283717E-005
   0.11932721250451812E-007   0.100798320E-005
   0.11934261950419592E-007   0.100307875E-005
   0.11935802650387371E-007   0.998125529E-006
   0.11937343350355151E-007   0.993126037E-006
   0.11938884050322930E-007   0.988083229E-006
   0.11940424750290710E-007   0.982996426E-006
   0.11941965450258489E-007   0.977863124E-006
   0.11943506150226268E-007   0.972681050E-006
   0.11945046850194048E-007   0.967450546E-006
   0.11946587550161827E-007   0.962174909E-006
   0.11948128250129607E-007   0.956856752E-006
   0.11949668950097386E-007   0.951497213E-006
   0.11951209650065166E-007   0.946094303E-006
   0.11952750350032945E-007   0.940645180E-006
   0.11954291050000725E-007   0.935149217E-006
   0.11955831749968504E-007   0.929609314E-006
   0.11957372449936284E-007   0.924028825E-006
   0.11958913149904063E-007   0.918410024E-006
   0.11960453849871842E-007   0.912751659E-006
   0.11961994549839622E-007   0.907051458E-006
   0.11963535249807401E-007   0.901307430E-006
   0.11965075949775181E-007   0.895521055E-006
   0.11966616649742960E-007   0.889695627E-006
   0.11968157349710740E-007   0.883833820E-006
   0.11969698049678519E-007   0.877935463E-006
   0.11971238749646299E-007   0.871998964E-006
   0.11972779449614078E-007   0.866022276E-006
   0.11974320149581857E-007   0.860005400E-006
   0.11975860849549637E-007   0.853950439E-006
   0.11977401549517416E-007   0.847860065E-006
   0.11978942249485196E-007   0.841735869E-006
   0.11980482949452975E-007   0.835576884E-006
   0.11982023649420755E-007   0.829381008E-006
   0.11983564349388534E-007   0.823147218E-006
   0.11985105049356314E-007   0.816875968E-006
   0.11986645749324093E-007   0.810569873E-006
   0.11988186449291872E-007   0.804230979E-006
   0.11989727149259652E-007   0.797860253E-006
   0.11991267849227431E-007   0.791456216E-006
   0.11992808549195211E-007   0.785017392E-006
   0.11994349249162990E-007   0.778543040E-006
   0.11995889949130770E-007   0.772034753E-006
   0.11997430649098549E-007   0.765495713E-006
   0.11998971349066329E-007   0.758927683E-006
   0.12000512049034108E-007   0.752330777E-006
   0.12002052749001887E-007   0.745703403E-006
   0.12003593448969667E-007   0.739043912E-006
   0.12005134148937446E-007   0.732352476E-006
   0.12006674848905226E-007   0.725631821E-006
   0.12008215548873005E-007   0.718884849E-006
   0.12009756248840785E-007   0.712112353E-006
   0.12011296948808564E-007   0.705313312E-006
   0.12012837648776344E-007   0.698485621E-006
   0.12014378348744123E-007   0.691628770E-006
   0.12015919048711902E-007   0.684744180E-006
   0.12017459748679682E-007   0.677834919E-006
   0.12019000448647461E-007   0.670902750E-006
   0.12020541148615241E-007   0.663946821E-006
   0.12022081848583020E-007   0.656965256E-006
   0.12023622548550800E-007   0.649956860E-006
   0.12025163248518579E-007   0.642922544E-006
   0.12026703948486359E-007   0.635864808E-006
   0.12028244648454138E-007   0.628785358E-006
   0.12029785348421917E-007   0.621684308E-006
   0.12031326048389697E-007   0.614560179E-006
   0.12032866748357476E-007   0.607412176E-006
   0.12034407448325256E-007   0.600240867E-006
   0.12035948148293035E-007   0.593048242E-006
   0.12037488848260815E-007   0.585835949E-006
   0.12039029548228594E-007   0.578604840E-006
   0.12040570248196374E-007   0.571354349E-006
   0.12042110948164153E-007   0.564083791E-006
   0.12043651648131933E-007   0.556792941E-006
   0.12045192348099712E-007   0.549483332E-006
   0.12046733048067491E-007   0.542156386E-006
   0.12048273748035271E-007   0.534813580E-006
   0.12049814448003050E-007   0.527455143E-006
   0.12051355147970830E-007   0.520080960E-006
   0.12052895847938609E-007   0.512690519E-006
   0.12054436547906389E-007   0.505283708E-006
   0.12055977247874168E-007   0.497861265E-006
   0.12057517947841948E-007   0.490424213E-006
   0.12059058647809727E-007   0.482973633E-006
   0.12060599347777506E-007   0.475509921E-006
   0.12062140047745286E-007   0.468033164E-006
   0.12063680747713065E-007   0.460543049E-006
   0.12065221447680845E-007   0.453039547E-006
   0.12066762147648624E-007   0.445523057E-006
   0.12068302847616404E-007   0.437994515E-006
   0.12069843547584183E-007   0.430454747E-006
   0.12071384247551963E-007   0.422904094E-006
   0.12072924947519742E-007   0.415341844E-006
   0.12074465647487521E-007   0.407768198E-006
   0.12076006347455301E-007   0.400183609E-006
   0.12077547047423080E-007   0.392589584E-006
   0.12079087747390860E-007   0.384987288E-006
   0.12080628447358639E-007   0.377377233E-006
   0.12082169147326419E-007   0.369758936E-006
   0.12083709847294198E-007   0.362131715E-006
   0.12085250547261978E-007   0.354496478E-006
   0.12086791247229757E-007   0.346854648E-006
   0.12088331947197536E-007   0.339207730E-006
   0.12089872647165316E-007   0.331556720E-006
   0.12091413347133095E-007   0.323901048E-006
   0.12092954047100875E-007   0.316240261E-006
   0.12094494747068654E-007   0.308574300E-006
   0.12096035447036434E-007   0.300903821E-006
   0.12097576147004213E-007   0.293230357E-006
   0.12099116846971993E-007   0.285554819E-006
   0.12100657546939772E-007   0.277877490E-006
   0.12102198246907551E-007   0.270198228E-006
   0.12103738946875331E-007   0.262516608E-006
   0.12105279646843110E-007   0.254832486E-006
   0.12106820346810890E-007   0.247146232E-006
   0.12108361046778669E-007   0.239458728E-006
   0.12109901746746449E-007   0.231771168E-006
   0.12111442446714228E-007   0.224084317E-006
   0.12112983146682008E-007   0.216398050E-006
   0.12114523846649787E-007   0.208711697E-006
   0.12116064546617566E-007   0.201024761E-006
   0.12117605246585346E-007   0.193337840E-006
   0.12119145946553125E-007   0.185652354E-006
   0.12120686646520905E-007   0.177970051E-006
   0.12122227346488684E-007   0.170291628E-006
   0.12123768046456464E-007   0.162616672E-006
   0.12125308746424243E-007   0.154944246E-006
   0.12126849446392023E-007   0.147274150E-006
   0.12128390146359802E-007   0.139607636E-006
   0.12129930846327582E-007   0.131946635E-006
   0.12131471546295361E-007   0.124292782E-006
   0.12133012246263140E-007   0.116646319E-006
   0.12134552946230920E-007   0.109006216E-006
   0.12136093646198699E-007   0.101371796E-006
   0.12137634346166479E-007   0.937431963E-007
   0.12139175046134258E-007   0.861221210E-007
   0.12140715746102038E-007   0.785100838E-007
