t              LineCurrent.fdtd_Probe_Start_Ez_10_25_10.dat
   0.30197719368477149E-009  -0.300285840E+001
   0.30351789365255094E-009  -0.310948896E+001
   0.30505859362033039E-009  -0.321971416E+001
   0.30659929358810983E-009  -0.333364773E+001
   0.30813999355588928E-009  -0.345140719E+001
   0.30968069352366873E-009  -0.357311535E+001
   0.31122139349144817E-009  -0.369889760E+001
   0.31276209345922762E-009  -0.382888317E+001
   0.31430279342700707E-009  -0.396320391E+001
   0.31584349339478651E-009  -0.410199499E+001
   0.31738419336256596E-009  -0.424539518E+001
   0.31892489333034540E-009  -0.439354849E+001
   0.32046559329812485E-009  -0.454660416E+001
   0.32200629326590430E-009  -0.470471525E+001
   0.32354699323368374E-009  -0.486803961E+001
   0.32508769320146319E-009  -0.503673792E+001
   0.32662839316924264E-009  -0.521097422E+001
   0.32816909313702208E-009  -0.539091778E+001
   0.32970979310480153E-009  -0.557674313E+001
   0.33125049307258098E-009  -0.576863098E+001
   0.33279119304036042E-009  -0.596676826E+001
   0.33433189300813987E-009  -0.617134571E+001
   0.33587259297591932E-009  -0.638256121E+001
   0.33741329294369876E-009  -0.660061741E+001
   0.33895399291147821E-009  -0.682572079E+001
   0.34049469287925765E-009  -0.705808640E+001
   0.34203539284703710E-009  -0.729793310E+001
   0.34357609281481655E-009  -0.754548740E+001
   0.34511679278259599E-009  -0.780097961E+001
   0.34665749275037544E-009  -0.806464672E+001
   0.34819819271815489E-009  -0.833673096E+001
   0.34973889268593433E-009  -0.861748314E+001
   0.35127959265371378E-009  -0.890716171E+001
   0.35282029262149323E-009  -0.920603371E+001
   0.35436099258927267E-009  -0.951437378E+001
   0.35590169255705212E-009  -0.983246326E+001
   0.35744239252483156E-009  -0.101605892E+002
   0.35898309249261101E-009  -0.104990473E+002
   0.36052379246039046E-009  -0.108481388E+002
   0.36206449242816990E-009  -0.112081747E+002
   0.36360519239594935E-009  -0.115794754E+002
   0.36514589236372880E-009  -0.119623699E+002
   0.36668659233150824E-009  -0.123571968E+002
   0.36822729229928769E-009  -0.127643023E+002
   0.36976799226706714E-009  -0.131840420E+002
   0.37130869223484658E-009  -0.136167803E+002
   0.37284939220262603E-009  -0.140628920E+002
   0.37439009217040548E-009  -0.145227613E+002
   0.37593079213818492E-009  -0.149967833E+002
   0.37747149210596437E-009  -0.154853630E+002
   0.37901219207374381E-009  -0.159889164E+002
   0.38055289204152326E-009  -0.165078716E+002
   0.38209359200930271E-009  -0.170426674E+002
   0.38363429197708215E-009  -0.175937519E+002
   0.38517499194486160E-009  -0.181615849E+002
   0.38671569191264105E-009  -0.187466393E+002
   0.38825639188042049E-009  -0.193493977E+002
   0.38979709184819994E-009  -0.199703560E+002
   0.39133779181597939E-009  -0.206100235E+002
   0.39287849178375883E-009  -0.212689228E+002
   0.39441919175153828E-009  -0.219475918E+002
   0.39595989171931772E-009  -0.226465816E+002
   0.39750059168709717E-009  -0.233664570E+002
   0.39904129165487662E-009  -0.241077957E+002
   0.40058199162265606E-009  -0.248711872E+002
   0.40212269159043551E-009  -0.256572380E+002
   0.40366339155821496E-009  -0.264665699E+002
   0.40520409152599440E-009  -0.272998180E+002
   0.40674479149377385E-009  -0.281576385E+002
   0.40828549146155330E-009  -0.290407009E+002
   0.40982619142933274E-009  -0.299496918E+002
   0.41136689139711219E-009  -0.308853130E+002
   0.41290759136489164E-009  -0.318482838E+002
   0.41444829133267108E-009  -0.328393402E+002
   0.41598899130045053E-009  -0.338592339E+002
   0.41752969126822997E-009  -0.349087448E+002
   0.41907039123600942E-009  -0.359886627E+002
   0.42061109120378887E-009  -0.370998039E+002
   0.42215179117156831E-009  -0.382429962E+002
   0.42369249113934776E-009  -0.394190941E+002
   0.42523319110712721E-009  -0.406289635E+002
   0.42677389107490665E-009  -0.418734970E+002
   0.42831459104268610E-009  -0.431536064E+002
   0.42985529101046555E-009  -0.444702263E+002
   0.43139599097824499E-009  -0.458243065E+002
   0.43293669094602444E-009  -0.472168350E+002
   0.43447739091380388E-009  -0.486488113E+002
   0.43601809088158333E-009  -0.501212616E+002
   0.43755879084936278E-009  -0.516352348E+002
   0.43909949081714222E-009  -0.531917992E+002
   0.44064019078492167E-009  -0.547920570E+002
   0.44218089075270112E-009  -0.564371300E+002
   0.44372159072048056E-009  -0.581281662E+002
   0.44526229068826001E-009  -0.598663406E+002
   0.44680299065603946E-009  -0.616528587E+002
   0.44834369062381890E-009  -0.634889450E+002
   0.44988439059159835E-009  -0.653758545E+002
   0.45142509055937780E-009  -0.673148727E+002
   0.45296579052715724E-009  -0.693073196E+002
   0.45450649049493669E-009  -0.713545227E+002
   0.45604719046271613E-009  -0.734578705E+002
   0.45758789043049558E-009  -0.756187592E+002
   0.45912859039827503E-009  -0.778386230E+002
   0.46066929036605447E-009  -0.801189346E+002
   0.46220999033383392E-009  -0.824611816E+002
   0.46375069030161337E-009  -0.848668976E+002
   0.46529139026939281E-009  -0.873376541E+002
   0.46683209023717226E-009  -0.898750458E+002
   0.46837279020495171E-009  -0.924807053E+002
   0.46991349017273115E-009  -0.951562958E+002
   0.47145419014051060E-009  -0.979035263E+002
   0.47299489010829004E-009  -0.100724129E+003
   0.47453559007606949E-009  -0.103619881E+003
   0.47607629004384894E-009  -0.106592598E+003
   0.47761699001162838E-009  -0.109644135E+003
   0.47915768997940783E-009  -0.112776390E+003
   0.48069838994718728E-009  -0.115991280E+003
   0.48223908991496672E-009  -0.119290787E+003
   0.48377978988274617E-009  -0.122676918E+003
   0.48532048985052562E-009  -0.126151733E+003
   0.48686118981830506E-009  -0.129717331E+003
   0.48840188978608451E-009  -0.133375854E+003
   0.48994258975386396E-009  -0.137129471E+003
   0.49148328972164340E-009  -0.140980408E+003
   0.49302398968942285E-009  -0.144930954E+003
   0.49456468965720229E-009  -0.148983414E+003
   0.49610538962498174E-009  -0.153140167E+003
   0.49764608959276119E-009  -0.157403625E+003
   0.49918678956054063E-009  -0.161776230E+003
   0.50072748952832008E-009  -0.166260513E+003
   0.50226818949609953E-009  -0.170859024E+003
   0.50380888946387897E-009  -0.175574371E+003
   0.50534958943165842E-009  -0.180409225E+003
   0.50689028939943787E-009  -0.185366302E+003
   0.50843098936721731E-009  -0.190448364E+003
   0.50997168933499676E-009  -0.195658218E+003
   0.51151238930277620E-009  -0.200998764E+003
   0.51305308927055565E-009  -0.206472916E+003
   0.51459378923833510E-009  -0.212083649E+003
   0.51613448920611454E-009  -0.217834000E+003
   0.51767518917389399E-009  -0.223727081E+003
   0.51921588914167344E-009  -0.229766068E+003
   0.52075658910945288E-009  -0.235954147E+003
   0.52229728907723233E-009  -0.242294617E+003
   0.52383798904501178E-009  -0.248790817E+003
   0.52537868901279122E-009  -0.255446136E+003
   0.52691938898057067E-009  -0.262264008E+003
   0.52846008894835012E-009  -0.269248016E+003
   0.53000078891612956E-009  -0.276401703E+003
   0.53154148888390901E-009  -0.283728729E+003
   0.53308218885168845E-009  -0.291232849E+003
   0.53462288881946790E-009  -0.298917816E+003
   0.53616358878724735E-009  -0.306787506E+003
   0.53770428875502679E-009  -0.314845856E+003
   0.53924498872280624E-009  -0.323096863E+003
   0.54078568869058569E-009  -0.331544556E+003
   0.54232638865836513E-009  -0.340193115E+003
   0.54386708862614458E-009  -0.349046692E+003
   0.54540778859392403E-009  -0.358109558E+003
   0.54694848856170347E-009  -0.367386108E+003
   0.54848918852948292E-009  -0.376880798E+003
   0.55002988849726236E-009  -0.386598083E+003
   0.55157058846504181E-009  -0.396542572E+003
   0.55311128843282126E-009  -0.406718903E+003
   0.55465198840060070E-009  -0.417131805E+003
   0.55619268836838015E-009  -0.427786102E+003
   0.55773338833615960E-009  -0.438686707E+003
   0.55927408830393904E-009  -0.449838593E+003
   0.56081478827171849E-009  -0.461246796E+003
   0.56235548823949794E-009  -0.472916473E+003
   0.56389618820727738E-009  -0.484852844E+003
   0.56543688817505683E-009  -0.497061249E+003
   0.56697758814283628E-009  -0.509547028E+003
   0.56851828811061572E-009  -0.522315674E+003
   0.57005898807839517E-009  -0.535372803E+003
   0.57159968804617461E-009  -0.548723999E+003
   0.57314038801395406E-009  -0.562375122E+003
   0.57468108798173351E-009  -0.576331909E+003
   0.57622178794951295E-009  -0.590600220E+003
   0.57776248791729240E-009  -0.605186218E+003
   0.57930318788507185E-009  -0.620095886E+003
   0.58084388785285129E-009  -0.635335510E+003
   0.58238458782063074E-009  -0.650911316E+003
   0.58392528778841019E-009  -0.666829773E+003
   0.58546598775618963E-009  -0.683097351E+003
   0.58700668772396908E-009  -0.699720520E+003
   0.58854738769174852E-009  -0.716706055E+003
   0.59008808765952797E-009  -0.734060669E+003
   0.59162878762730742E-009  -0.751791321E+003
   0.59316948759508686E-009  -0.769904907E+003
   0.59471018756286631E-009  -0.788408508E+003
   0.59625088753064576E-009  -0.807309326E+003
   0.59779158749842520E-009  -0.826614624E+003
   0.59933228746620465E-009  -0.846331726E+003
   0.60087298743398410E-009  -0.866468201E+003
   0.60241368740176354E-009  -0.887031616E+003
   0.60395438736954299E-009  -0.908029541E+003
   0.60549508733732244E-009  -0.929469849E+003
   0.60703578730510188E-009  -0.951360474E+003
   0.60857648727288133E-009  -0.973709290E+003
   0.61011718724066077E-009  -0.996524536E+003
   0.61165788720844022E-009  -0.101981439E+004
   0.61319858717621967E-009  -0.104358716E+004
   0.61473928714399911E-009  -0.106785120E+004
   0.61627998711177856E-009  -0.109261523E+004
   0.61782068707955801E-009  -0.111788770E+004
   0.61936138704733745E-009  -0.114367749E+004
   0.62090208701511690E-009  -0.116999341E+004
   0.62244278698289635E-009  -0.119684448E+004
   0.62398348695067579E-009  -0.122423975E+004
   0.62552418691845524E-009  -0.125218848E+004
   0.62706488688623468E-009  -0.128069983E+004
   0.62860558685401413E-009  -0.130978333E+004
   0.63014628682179358E-009  -0.133944861E+004
   0.63168698678957302E-009  -0.136970520E+004
   0.63322768675735247E-009  -0.140056287E+004
   0.63476838672513192E-009  -0.143203149E+004
   0.63630908669291136E-009  -0.146412109E+004
   0.63784978666069081E-009  -0.149684180E+004
   0.63939048662847026E-009  -0.153020374E+004
   0.64093118659624970E-009  -0.156421729E+004
   0.64247188656402915E-009  -0.159889282E+004
   0.64401258653180860E-009  -0.163424109E+004
   0.64555328649958804E-009  -0.167027246E+004
   0.64709398646736749E-009  -0.170699792E+004
   0.64863468643514693E-009  -0.174442847E+004
   0.65017538640292638E-009  -0.178257483E+004
   0.65171608637070583E-009  -0.182144836E+004
   0.65325678633848527E-009  -0.186106030E+004
   0.65479748630626472E-009  -0.190142175E+004
   0.65633818627404417E-009  -0.194254443E+004
   0.65787888624182361E-009  -0.198443982E+004
   0.65941958620960306E-009  -0.202711963E+004
   0.66096028617738251E-009  -0.207059570E+004
   0.66250098614516195E-009  -0.211487988E+004
   0.66404168611294140E-009  -0.215998413E+004
   0.66558238608072084E-009  -0.220592090E+004
   0.66712308604850029E-009  -0.225270215E+004
   0.66866378601627974E-009  -0.230034033E+004
   0.67020448598405918E-009  -0.234884790E+004
   0.67174518595183863E-009  -0.239823755E+004
   0.67328588591961808E-009  -0.244852148E+004
   0.67482658588739752E-009  -0.249971313E+004
   0.67636728585517697E-009  -0.255182495E+004
   0.67790798582295642E-009  -0.260487012E+004
   0.67944868579073586E-009  -0.265886182E+004
   0.68098938575851531E-009  -0.271381323E+004
   0.68253008572629476E-009  -0.276973779E+004
   0.68407078569407420E-009  -0.282664844E+004
   0.68561148566185365E-009  -0.288455908E+004
   0.68715218562963309E-009  -0.294348315E+004
   0.68869288559741254E-009  -0.300343457E+004
   0.69023358556519199E-009  -0.306442700E+004
   0.69177428553297143E-009  -0.312647461E+004
   0.69331498550075088E-009  -0.318959131E+004
   0.69485568546853033E-009  -0.325379102E+004
   0.69639638543630977E-009  -0.331908789E+004
   0.69793708540408922E-009  -0.338549634E+004
   0.69947778537186867E-009  -0.345303076E+004
   0.70101848533964811E-009  -0.352170557E+004
   0.70255918530742756E-009  -0.359153540E+004
   0.70409988527520700E-009  -0.366253467E+004
   0.70564058524298645E-009  -0.373471826E+004
   0.70718128521076590E-009  -0.380810107E+004
   0.70872198517854534E-009  -0.388269751E+004
   0.71026268514632479E-009  -0.395852295E+004
   0.71180338511410424E-009  -0.403559204E+004
   0.71334408508188368E-009  -0.411392041E+004
   0.71488478504966313E-009  -0.419352295E+004
   0.71642548501744258E-009  -0.427441504E+004
   0.71796618498522202E-009  -0.435661133E+004
   0.71950688495300147E-009  -0.444012793E+004
   0.72104758492078092E-009  -0.452497998E+004
   0.72258828488856036E-009  -0.461118311E+004
   0.72412898485633981E-009  -0.469875244E+004
   0.72566968482411925E-009  -0.478770410E+004
   0.72721038479189870E-009  -0.487805322E+004
   0.72875108475967815E-009  -0.496981592E+004
   0.73029178472745759E-009  -0.506300732E+004
   0.73183248469523704E-009  -0.515764404E+004
   0.73337318466301649E-009  -0.525374121E+004
   0.73491388463079593E-009  -0.535131543E+004
   0.73645458459857538E-009  -0.545038184E+004
   0.73799528456635483E-009  -0.555095703E+004
   0.73953598453413427E-009  -0.565305566E+004
   0.74107668450191372E-009  -0.575669482E+004
   0.74261738446969316E-009  -0.586189014E+004
   0.74415808443747261E-009  -0.596865771E+004
   0.74569878440525206E-009  -0.607701367E+004
   0.74723948437303150E-009  -0.618697363E+004
   0.74878018434081095E-009  -0.629855420E+004
   0.75032088430859040E-009  -0.641177100E+004
   0.75186158427636984E-009  -0.652664062E+004
   0.75340228424414929E-009  -0.664317871E+004
   0.75494298421192874E-009  -0.676140137E+004
   0.75648368417970818E-009  -0.688132422E+004
   0.75802438414748763E-009  -0.700296289E+004
   0.75956508411526708E-009  -0.712633447E+004
   0.76110578408304652E-009  -0.725145459E+004
   0.76264648405082597E-009  -0.737833887E+004
   0.76418718401860541E-009  -0.750700342E+004
   0.76572788398638486E-009  -0.763746387E+004
   0.76726858395416431E-009  -0.776973633E+004
   0.76880928392194375E-009  -0.790383643E+004
   0.77034998388972320E-009  -0.803978027E+004
   0.77189068385750265E-009  -0.817758301E+004
   0.77343138382528209E-009  -0.831726074E+004
   0.77497208379306154E-009  -0.845882812E+004
   0.77651278376084099E-009  -0.860230078E+004
   0.77805348372862043E-009  -0.874769434E+004
   0.77959418369639988E-009  -0.889502441E+004
   0.78113488366417932E-009  -0.904430566E+004
   0.78267558363195877E-009  -0.919555469E+004
   0.78421628359973822E-009  -0.934878613E+004
   0.78575698356751766E-009  -0.950401367E+004
   0.78729768353529711E-009  -0.966125293E+004
   0.78883838350307656E-009  -0.982051855E+004
   0.79037908347085600E-009  -0.998182422E+004
   0.79191978343863545E-009  -0.101451855E+005
   0.79346048340641490E-009  -0.103106172E+005
   0.79500118337419434E-009  -0.104781328E+005
   0.79654188334197379E-009  -0.106477471E+005
   0.79808258330975324E-009  -0.108194736E+005
   0.79962328327753268E-009  -0.109933262E+005
   0.80116398324531213E-009  -0.111693184E+005
   0.80270468321309157E-009  -0.113474639E+005
   0.80424538318087102E-009  -0.115277754E+005
   0.80578608314865047E-009  -0.117102666E+005
   0.80732678311642991E-009  -0.118949512E+005
   0.80886748308420936E-009  -0.120818428E+005
   0.81040818305198881E-009  -0.122709521E+005
   0.81194888301976825E-009  -0.124622920E+005
   0.81348958298754770E-009  -0.126558750E+005
   0.81503028295532715E-009  -0.128517129E+005
   0.81657098292310659E-009  -0.130498184E+005
   0.81811168289088604E-009  -0.132502021E+005
   0.81965238285866548E-009  -0.134528770E+005
   0.82119308282644493E-009  -0.136578525E+005
   0.82273378279422438E-009  -0.138651406E+005
   0.82427448276200382E-009  -0.140747520E+005
   0.82581518272978327E-009  -0.142866963E+005
   0.82735588269756272E-009  -0.145009844E+005
   0.82889658266534216E-009  -0.147176270E+005
   0.83043728263312161E-009  -0.149366328E+005
   0.83197798260090106E-009  -0.151580107E+005
   0.83351868256868050E-009  -0.153817705E+005
   0.83505938253645995E-009  -0.156079219E+005
   0.83660008250423940E-009  -0.158364727E+005
   0.83814078247201884E-009  -0.160674316E+005
   0.83968148243979829E-009  -0.163008057E+005
   0.84122218240757773E-009  -0.165366035E+005
   0.84276288237535718E-009  -0.167748320E+005
   0.84430358234313663E-009  -0.170154980E+005
   0.84584428231091607E-009  -0.172586094E+005
   0.84738498227869552E-009  -0.175041719E+005
   0.84892568224647497E-009  -0.177521914E+005
   0.85046638221425441E-009  -0.180026738E+005
   0.85200708218203386E-009  -0.182556230E+005
   0.85354778214981331E-009  -0.185110469E+005
   0.85508848211759275E-009  -0.187689492E+005
   0.85662918208537220E-009  -0.190293340E+005
   0.85816988205315164E-009  -0.192922031E+005
   0.85971058202093109E-009  -0.195575625E+005
   0.86125128198871054E-009  -0.198254141E+005
   0.86279198195648998E-009  -0.200957617E+005
   0.86433268192426943E-009  -0.203686074E+005
   0.86587338189204888E-009  -0.206439512E+005
   0.86741408185982832E-009  -0.209217969E+005
   0.86895478182760777E-009  -0.212021465E+005
