t              LineCurrent.fdtd_Point probe_Ex_50_25_30.dat
   0.15306854179888800E-007   0.390648193E+002
   0.15308394879856579E-007   0.389951172E+002
   0.15309935579824359E-007   0.389230957E+002
   0.15311476279792138E-007   0.388487358E+002
   0.15313016979759918E-007   0.387721062E+002
   0.15314557679727697E-007   0.386932945E+002
   0.15316098379695477E-007   0.386123390E+002
   0.15317639079663256E-007   0.385292244E+002
   0.15319179779631036E-007   0.384439087E+002
   0.15320720479598815E-007   0.383563728E+002
   0.15322261179566594E-007   0.382666359E+002
   0.15323801879534374E-007   0.381747322E+002
   0.15325342579502153E-007   0.380806961E+002
   0.15326883279469933E-007   0.379845734E+002
   0.15328423979437712E-007   0.378863907E+002
   0.15329964679405492E-007   0.377861404E+002
   0.15331505379373271E-007   0.376837769E+002
   0.15333046079341051E-007   0.375792465E+002
   0.15334586779308830E-007   0.374725685E+002
   0.15336127479276609E-007   0.373638420E+002
   0.15337668179244389E-007   0.372531853E+002
   0.15339208879212168E-007   0.371406250E+002
   0.15340749579179948E-007   0.370260849E+002
   0.15342290279147727E-007   0.369094467E+002
   0.15343830979115507E-007   0.367906914E+002
   0.15345371679083286E-007   0.366699409E+002
   0.15346912379051066E-007   0.365473824E+002
   0.15348453079018845E-007   0.364231033E+002
   0.15349993778986624E-007   0.362970161E+002
   0.15351534478954404E-007   0.361689491E+002
   0.15353075178922183E-007   0.360388260E+002
   0.15354615878889963E-007   0.359067535E+002
   0.15356156578857742E-007   0.357729568E+002
   0.15357697278825522E-007   0.356375809E+002
   0.15359237978793301E-007   0.355005722E+002
   0.15360778678761081E-007   0.353617401E+002
   0.15362319378728860E-007   0.352209511E+002
   0.15363860078696639E-007   0.350782776E+002
   0.15365400778664419E-007   0.349339447E+002
   0.15366941478632198E-007   0.347881355E+002
   0.15368482178599978E-007   0.346408386E+002
   0.15370022878567757E-007   0.344918900E+002
   0.15371563578535537E-007   0.343411560E+002
   0.15373104278503316E-007   0.341886787E+002
   0.15374644978471096E-007   0.340346603E+002
   0.15376185678438875E-007   0.338792801E+002
   0.15377726378406655E-007   0.337225533E+002
   0.15379267078374434E-007   0.335643425E+002
   0.15380807778342213E-007   0.334045219E+002
   0.15382348478309993E-007   0.332431183E+002
   0.15383889178277772E-007   0.330802956E+002
   0.15385429878245552E-007   0.329162102E+002
   0.15386970578213331E-007   0.327508812E+002
   0.15388511278181111E-007   0.325842171E+002
   0.15390051978148890E-007   0.324161224E+002
   0.15391592678116670E-007   0.322466202E+002
   0.15393133378084449E-007   0.320758362E+002
   0.15394674078052228E-007   0.319038944E+002
   0.15396214778020008E-007   0.317308407E+002
   0.15397755477987787E-007   0.315566311E+002
   0.15399296177955567E-007   0.313812313E+002
   0.15400836877923346E-007   0.312046661E+002
   0.15402377577891126E-007   0.310270119E+002
   0.15403918277858905E-007   0.308483334E+002
   0.15405458977826685E-007   0.306686440E+002
   0.15406999677794464E-007   0.304879303E+002
   0.15408540377762243E-007   0.303062038E+002
   0.15410081077730023E-007   0.301235142E+002
   0.15411621777697802E-007   0.299399071E+002
   0.15413162477665582E-007   0.297553940E+002
   0.15414703177633361E-007   0.295699596E+002
   0.15416243877601141E-007   0.293836231E+002
   0.15417784577568920E-007   0.291964645E+002
   0.15419325277536700E-007   0.290085850E+002
   0.15420865977504479E-007   0.288200283E+002
   0.15422406677472258E-007   0.286307678E+002
   0.15423947377440038E-007   0.284407578E+002
   0.15425488077407817E-007   0.282500305E+002
   0.15427028777375597E-007   0.280586987E+002
   0.15428569477343376E-007   0.278668728E+002
   0.15430110177311156E-007   0.276745567E+002
   0.15431650877278935E-007   0.274816532E+002
   0.15433191577246715E-007   0.272880688E+002
   0.15434732277214494E-007   0.270938492E+002
   0.15436272977182273E-007   0.268991776E+002
   0.15437813677150053E-007   0.267042370E+002
   0.15439354377117832E-007   0.265090618E+002
   0.15440895077085612E-007   0.263135185E+002
   0.15442435777053391E-007   0.261174793E+002
   0.15443976477021171E-007   0.259209785E+002
   0.15445517176988950E-007   0.257242298E+002
   0.15447057876956730E-007   0.255274544E+002
   0.15448598576924509E-007   0.253306980E+002
   0.15450139276892288E-007   0.251337967E+002
   0.15451679976860068E-007   0.249365635E+002
   0.15453220676827847E-007   0.247389908E+002
   0.15454761376795627E-007   0.245412846E+002
   0.15456302076763406E-007   0.243436832E+002
   0.15457842776731186E-007   0.241462498E+002
   0.15459383476698965E-007   0.239488354E+002
   0.15460924176666745E-007   0.237512627E+002
   0.15462464876634524E-007   0.235535393E+002
   0.15464005576602304E-007   0.233558884E+002
   0.15465546276570083E-007   0.231585693E+002
   0.15467086976537862E-007   0.229616604E+002
   0.15468627676505642E-007   0.227650185E+002
   0.15470168376473421E-007   0.225684547E+002
   0.15471709076441201E-007   0.223719540E+002
   0.15473249776408980E-007   0.221757011E+002
   0.15474790476376760E-007   0.219799232E+002
   0.15476331176344539E-007   0.217846813E+002
   0.15477871876312319E-007   0.215898342E+002
   0.15479412576280098E-007   0.213952103E+002
   0.15480953276247877E-007   0.212008076E+002
   0.15482493976215657E-007   0.210068245E+002
   0.15484034676183436E-007   0.208134842E+002
   0.15485575376151216E-007   0.206208458E+002
   0.15487116076118995E-007   0.204287910E+002
   0.15488656776086775E-007   0.202371902E+002
   0.15490197476054554E-007   0.200460758E+002
   0.15491738176022334E-007   0.198556461E+002
   0.15493278875990113E-007   0.196660862E+002
   0.15494819575957892E-007   0.194774055E+002
   0.15496360275925672E-007   0.192894421E+002
   0.15497900975893451E-007   0.191020527E+002
   0.15499441675861231E-007   0.189152775E+002
   0.15500982375829010E-007   0.187293224E+002
   0.15502523075796790E-007   0.185443745E+002
   0.15504063775764569E-007   0.183604412E+002
   0.15505604475732349E-007   0.181773777E+002
   0.15507145175700128E-007   0.179950714E+002
   0.15508685875667907E-007   0.178135929E+002
   0.15510226575635687E-007   0.176331596E+002
   0.15511767275603466E-007   0.174539452E+002
   0.15513307975571246E-007   0.172759304E+002
   0.15514848675539025E-007   0.170989532E+002
   0.15516389375506805E-007   0.169229012E+002
   0.15517930075474584E-007   0.167478504E+002
   0.15519470775442364E-007   0.165740051E+002
   0.15521011475410143E-007   0.164015141E+002
   0.15522552175377922E-007   0.162303352E+002
   0.15524092875345702E-007   0.160603046E+002
   0.15525633575313481E-007   0.158913288E+002
   0.15527174275281261E-007   0.157235060E+002
   0.15528714975249040E-007   0.155570488E+002
   0.15530255675216820E-007   0.153920946E+002
   0.15531796375184599E-007   0.152285948E+002
   0.15533337075152379E-007   0.150664005E+002
   0.15534877775120158E-007   0.149054499E+002
   0.15536418475087937E-007   0.147458601E+002
   0.15537959175055717E-007   0.145878334E+002
   0.15539499875023496E-007   0.144314680E+002
   0.15541040574991276E-007   0.142766790E+002
   0.15542581274959055E-007   0.141233072E+002
   0.15544121974926835E-007   0.139713011E+002
   0.15545662674894614E-007   0.138207827E+002
   0.15547203374862394E-007   0.136719389E+002
   0.15548744074830173E-007   0.135248442E+002
   0.15550284774797953E-007   0.133794031E+002
   0.15551825474765732E-007   0.132354784E+002
   0.15553366174733511E-007   0.130930605E+002
   0.15554906874701291E-007   0.129523087E+002
   0.15556447574669070E-007   0.128134155E+002
   0.15557988274636850E-007   0.126764345E+002
   0.15559528974604629E-007   0.125412464E+002
   0.15561069674572409E-007   0.124077044E+002
   0.15562610374540188E-007   0.122758064E+002
   0.15564151074507968E-007   0.121457109E+002
   0.15565691774475747E-007   0.120175781E+002
   0.15567232474443526E-007   0.118914099E+002
   0.15568773174411306E-007   0.117670555E+002
   0.15570313874379085E-007   0.116443768E+002
   0.15571854574346865E-007   0.115234118E+002
   0.15573395274314644E-007   0.114043570E+002
   0.15574935974282424E-007   0.112873955E+002
   0.15576476674250203E-007   0.111725283E+002
   0.15578017374217983E-007   0.110595989E+002
   0.15579558074185762E-007   0.109484758E+002
   0.15581098774153541E-007   0.108392124E+002
   0.15582639474121321E-007   0.107320089E+002
   0.15584180174089100E-007   0.106270208E+002
   0.15585720874056880E-007   0.105242043E+002
   0.15587261574024659E-007   0.104233599E+002
   0.15588802273992439E-007   0.103243427E+002
   0.15590342973960218E-007   0.102272139E+002
   0.15591883673927998E-007   0.101321869E+002
   0.15593424373895777E-007   0.100394230E+002
   0.15594965073863556E-007   0.994887257E+001
   0.15596505773831336E-007   0.986034393E+001
   0.15598046473799115E-007   0.977371502E+001
   0.15599587173766895E-007   0.968908119E+001
   0.15601127873734674E-007   0.960667896E+001
   0.15602668573702454E-007   0.952666855E+001
   0.15604209273670233E-007   0.944898319E+001
   0.15605749973638013E-007   0.937339878E+001
   0.15607290673605792E-007   0.929975891E+001
   0.15608831373573571E-007   0.922813129E+001
   0.15610372073541351E-007   0.915874100E+001
   0.15611912773509130E-007   0.909174442E+001
   0.15613453473476910E-007   0.902707195E+001
   0.15614994173444689E-007   0.896450806E+001
   0.15616534873412469E-007   0.890391159E+001
   0.15618075573380248E-007   0.884536076E+001
   0.15619616273348028E-007   0.878908539E+001
   0.15621156973315807E-007   0.873524284E+001
   0.15622697673283586E-007   0.868377304E+001
   0.15624238373251366E-007   0.863447380E+001
