t              LineCurrent.fdtd_Bulk probe_Jz_9_23_20__10_26_20.dat
   0.87819898163428445E-010   0.566039695E-007
   0.89360598131207891E-010   0.594900307E-007
   0.90901298098987338E-010   0.622299225E-007
   0.92441998066766784E-010   0.649318395E-007
   0.93982698034546230E-010   0.678319623E-007
   0.95523398002325677E-010   0.711104633E-007
   0.97064097970105123E-010   0.747624398E-007
   0.98604797937884570E-010   0.786198484E-007
   0.10014549790566402E-009   0.824972020E-007
   0.10168619787344346E-009   0.863383036E-007
   0.10322689784122291E-009   0.902460897E-007
   0.10476759780900236E-009   0.943774623E-007
   0.10630829777678180E-009   0.987938336E-007
   0.10784899774456125E-009   0.103392537E-006
   0.10938969771234069E-009   0.107976398E-006
   0.11093039768012014E-009   0.112408358E-006
   0.11247109764789959E-009   0.116731606E-006
   0.11401179761567903E-009   0.121164021E-006
   0.11555249758345848E-009   0.125973443E-006
   0.11709319755123793E-009   0.131327710E-006
   0.11863389751901737E-009   0.137225072E-006
   0.12017459748679682E-009   0.143542806E-006
   0.12171529745457627E-009   0.150151422E-006
   0.12325599742235571E-009   0.157001153E-006
   0.12479669739013516E-009   0.164122241E-006
   0.12633739735791460E-009   0.171557758E-006
   0.12787809732569405E-009   0.179300812E-006
   0.12941879729347350E-009   0.187296081E-006
   0.13095949726125294E-009   0.195503162E-006
   0.13250019722903239E-009   0.203960482E-006
   0.13404089719681184E-009   0.212785238E-006
   0.13558159716459128E-009   0.222099345E-006
   0.13712229713237073E-009   0.231936426E-006
   0.13866299710015018E-009   0.242208614E-006
   0.14020369706792962E-009   0.252767876E-006
   0.14174439703570907E-009   0.263523020E-006
   0.14328509700348852E-009   0.274526030E-006
   0.14482579697126796E-009   0.285961022E-006
   0.14636649693904741E-009   0.298039424E-006
   0.14790719690682685E-009   0.310876572E-006
   0.14944789687460630E-009   0.324436883E-006
   0.15098859684238575E-009   0.338584101E-006
   0.15252929681016519E-009   0.353194793E-006
   0.15406999677794464E-009   0.368251534E-006
   0.15561069674572409E-009   0.383851670E-006
   0.15715139671350353E-009   0.400134695E-006
   0.15869209668128298E-009   0.417190677E-006
   0.16023279664906243E-009   0.435017910E-006
   0.16177349661684187E-009   0.453555828E-006
   0.16331419658462132E-009   0.472758785E-006
   0.16485489655240076E-009   0.492650543E-006
   0.16639559652018021E-009   0.513321368E-006
   0.16793629648795966E-009   0.534878666E-006
   0.16947699645573910E-009   0.557394799E-006
   0.17101769642351855E-009   0.580890685E-006
   0.17255839639129800E-009   0.605359730E-006
   0.17409909635907744E-009   0.630801992E-006
   0.17563979632685689E-009   0.657239752E-006
   0.17718049629463634E-009   0.684706777E-006
   0.17872119626241578E-009   0.713232907E-006
   0.18026189623019523E-009   0.742846453E-006
   0.18180259619797468E-009   0.773598401E-006
   0.18334329616575412E-009   0.805582545E-006
   0.18488399613353357E-009   0.838924677E-006
   0.18642469610131301E-009   0.873739509E-006
   0.18796539606909246E-009   0.910083259E-006
   0.18950609603687191E-009   0.947942340E-006
   0.19104679600465135E-009   0.987272415E-006
   0.19258749597243080E-009   0.102806450E-005
   0.19412819594021025E-009   0.107038409E-005
   0.19566889590798969E-009   0.111435418E-005
   0.19720959587576914E-009   0.116009073E-005
   0.19875029584354859E-009   0.120764616E-005
   0.20029099581132803E-009   0.125700853E-005
   0.20183169577910748E-009   0.130816761E-005
   0.20337239574688692E-009   0.136119513E-005
   0.20491309571466637E-009   0.141627629E-005
   0.20645379568244582E-009   0.147365574E-005
   0.20799449565022526E-009   0.153352948E-005
   0.20953519561800471E-009   0.159596266E-005
   0.21107589558578416E-009   0.166089637E-005
   0.21261659555356360E-009   0.172824286E-005
   0.21415729552134305E-009   0.179800566E-005
   0.21569799548912250E-009   0.187033140E-005
   0.21723869545690194E-009   0.194545987E-005
   0.21877939542468139E-009   0.202360980E-005
   0.22032009539246084E-009   0.210489020E-005
   0.22186079536024028E-009   0.218930586E-005
   0.22340149532801973E-009   0.227684859E-005
   0.22494219529579917E-009   0.236760252E-005
   0.22648289526357862E-009   0.246177433E-005
   0.22802359523135807E-009   0.255962777E-005
   0.22956429519913751E-009   0.266137363E-005
   0.23110499516691696E-009   0.276710648E-005
   0.23264569513469641E-009   0.287684088E-005
   0.23418639510247585E-009   0.299061662E-005
   0.23572709507025530E-009   0.310859127E-005
   0.23726779503803475E-009   0.323103654E-005
   0.23880849500581419E-009   0.335824893E-005
   0.24034919497359364E-009   0.349043307E-005
   0.24188989494137308E-009   0.362766536E-005
   0.24343059490915253E-009   0.376995854E-005
   0.24497129487693198E-009   0.391738467E-005
   0.24651199484471142E-009   0.407016296E-005
   0.24805269481249087E-009   0.422864105E-005
   0.24959339478027032E-009   0.439318865E-005
   0.25113409474804976E-009   0.456407633E-005
   0.25267479471582921E-009   0.474144599E-005
   0.25421549468360866E-009   0.492536947E-005
   0.25575619465138810E-009   0.511597091E-005
   0.25729689461916755E-009   0.531349588E-005
   0.25883759458694700E-009   0.551829999E-005
   0.26037829455472644E-009   0.573075567E-005
   0.26191899452250589E-009   0.595116444E-005
   0.26345969449028533E-009   0.617973592E-005
   0.26500039445806478E-009   0.641664337E-005
   0.26654109442584423E-009   0.666211190E-005
   0.26808179439362367E-009   0.691646665E-005
   0.26962249436140312E-009   0.718010688E-005
   0.27116319432918257E-009   0.745343641E-005
   0.27270389429696201E-009   0.773680767E-005
   0.27424459426474146E-009   0.803051444E-005
   0.27578529423252091E-009   0.833485137E-005
   0.27732599420030035E-009   0.865016136E-005
   0.27886669416807980E-009   0.897686095E-005
   0.28040739413585924E-009   0.931539307E-005
   0.28194809410363869E-009   0.966617608E-005
   0.28348879407141814E-009   0.100295811E-004
   0.28502949403919758E-009   0.104059591E-004
   0.28657019400697703E-009   0.107957067E-004
   0.28811089397475648E-009   0.111993068E-004
   0.28965159394253592E-009   0.116173169E-004
   0.29119229391031537E-009   0.120503137E-004
   0.29273299387809482E-009   0.124988301E-004
   0.29427369384587426E-009   0.129633390E-004
   0.29581439381365371E-009   0.134442998E-004
   0.29735509378143316E-009   0.139422091E-004
   0.29889579374921260E-009   0.144576434E-004
   0.30043649371699205E-009   0.149912430E-004
   0.30197719368477149E-009   0.155436683E-004
   0.30351789365255094E-009   0.161155349E-004
   0.30505859362033039E-009   0.167074413E-004
   0.30659929358810983E-009   0.173199842E-004
   0.30813999355588928E-009   0.179538383E-004
   0.30968069352366873E-009   0.186097532E-004
   0.31122139349144817E-009   0.192885400E-004
   0.31276209345922762E-009   0.199910028E-004
   0.31430279342700707E-009   0.207179073E-004
   0.31584349339478651E-009   0.214699812E-004
   0.31738419336256596E-009   0.222479648E-004
   0.31892489333034540E-009   0.230526657E-004
   0.32046559329812485E-009   0.238850025E-004
   0.32200629326590430E-009   0.247459448E-004
   0.32354699323368374E-009   0.256364910E-004
   0.32508769320146319E-009   0.265576091E-004
   0.32662839316924264E-009   0.275102284E-004
   0.32816909313702208E-009   0.284952857E-004
   0.32970979310480153E-009   0.295137670E-004
   0.33125049307258098E-009   0.305667672E-004
   0.33279119304036042E-009   0.316554579E-004
   0.33433189300813987E-009   0.327810521E-004
   0.33587259297591932E-009   0.339447652E-004
   0.33741329294369876E-009   0.351477720E-004
   0.33895399291147821E-009   0.363912623E-004
   0.34049469287925765E-009   0.376764438E-004
   0.34203539284703710E-009   0.390046189E-004
   0.34357609281481655E-009   0.403771628E-004
   0.34511679278259599E-009   0.417955343E-004
   0.34665749275037544E-009   0.432612251E-004
   0.34819819271815489E-009   0.447757193E-004
   0.34973889268593433E-009   0.463405304E-004
   0.35127959265371378E-009   0.479571827E-004
   0.35282029262149323E-009   0.496272696E-004
   0.35436099258927267E-009   0.513524319E-004
   0.35590169255705212E-009   0.531344012E-004
   0.35744239252483156E-009   0.549749602E-004
   0.35898309249261101E-009   0.568759206E-004
   0.36052379246039046E-009   0.588391522E-004
   0.36206449242816990E-009   0.608665578E-004
   0.36360519239594935E-009   0.629600909E-004
   0.36514589236372880E-009   0.651217706E-004
   0.36668659233150824E-009   0.673536997E-004
   0.36822729229928769E-009   0.696580028E-004
   0.36976799226706714E-009   0.720368917E-004
   0.37130869223484658E-009   0.744925928E-004
   0.37284939220262603E-009   0.770274273E-004
   0.37439009217040548E-009   0.796437889E-004
   0.37593079213818492E-009   0.823441296E-004
   0.37747149210596437E-009   0.851310033E-004
   0.37901219207374381E-009   0.880070147E-004
   0.38055289204152326E-009   0.909748196E-004
   0.38209359200930271E-009   0.940371610E-004
   0.38363429197708215E-009   0.971968184E-004
   0.38517499194486160E-009   0.100456688E-003
   0.38671569191264105E-009   0.103819737E-003
   0.38825639188042049E-009   0.107289037E-003
   0.38979709184819994E-009   0.110867724E-003
   0.39133779181597939E-009   0.114558999E-003
   0.39287849178375883E-009   0.118366137E-003
   0.39441919175153828E-009   0.122292535E-003
   0.39595989171931772E-009   0.126341678E-003
   0.39750059168709717E-009   0.130517175E-003
   0.39904129165487662E-009   0.134822694E-003
   0.40058199162265606E-009   0.139262062E-003
   0.40212269159043551E-009   0.143839119E-003
   0.40366339155821496E-009   0.148557810E-003
   0.40520409152599440E-009   0.153422225E-003
   0.40674479149377385E-009   0.158436465E-003
   0.40828549146155330E-009   0.163604898E-003
   0.40982619142933274E-009   0.168931947E-003
   0.41136689139711219E-009   0.174422137E-003
   0.41290759136489164E-009   0.180080140E-003
   0.41444829133267108E-009   0.185910700E-003
   0.41598899130045053E-009   0.191918676E-003
   0.41752969126822997E-009   0.198109061E-003
   0.41907039123600942E-009   0.204486976E-003
   0.42061109120378887E-009   0.211057675E-003
   0.42215179117156831E-009   0.217826659E-003
   0.42369249113934776E-009   0.224799471E-003
   0.42523319110712721E-009   0.231981816E-003
   0.42677389107490665E-009   0.239379515E-003
   0.42831459104268610E-009   0.246998476E-003
   0.42985529101046555E-009   0.254844839E-003
   0.43139599097824499E-009   0.262924819E-003
   0.43293669094602444E-009   0.271244848E-003
   0.43447739091380388E-009   0.279811647E-003
   0.43601809088158333E-009   0.288632000E-003
   0.43755879084936278E-009   0.297712802E-003
   0.43909949081714222E-009   0.307061186E-003
   0.44064019078492167E-009   0.316684309E-003
   0.44218089075270112E-009   0.326589681E-003
   0.44372159072048056E-009   0.336784869E-003
   0.44526229068826001E-009   0.347277790E-003
   0.44680299065603946E-009   0.358076475E-003
   0.44834369062381890E-009   0.369189132E-003
   0.44988439059159835E-009   0.380624173E-003
   0.45142509055937780E-009   0.392390211E-003
   0.45296579052715724E-009   0.404495950E-003
   0.45450649049493669E-009   0.416950439E-003
   0.45604719046271613E-009   0.429762993E-003
   0.45758789043049558E-009   0.442943070E-003
   0.45912859039827503E-009   0.456500420E-003
   0.46066929036605447E-009   0.470444909E-003
   0.46220999033383392E-009   0.484786608E-003
   0.46375069030161337E-009   0.499535876E-003
   0.46529139026939281E-009   0.514703454E-003
   0.46683209023717226E-009   0.530300138E-003
   0.46837279020495171E-009   0.546337222E-003
   0.46991349017273115E-009   0.562826055E-003
   0.47145419014051060E-009   0.579778280E-003
   0.47299489010829004E-009   0.597205770E-003
   0.47453559007606949E-009   0.615120516E-003
   0.47607629004384894E-009   0.633535150E-003
   0.47761699001162838E-009   0.652462419E-003
   0.47915768997940783E-009   0.671915477E-003
   0.48069838994718728E-009   0.691907713E-003
   0.48223908991496672E-009   0.712452631E-003
   0.48377978988274617E-009   0.733564142E-003
   0.48532048985052562E-009   0.755256508E-003
   0.48686118981830506E-009   0.777544279E-003
   0.48840188978608451E-009   0.800442358E-003
   0.48994258975386396E-009   0.823966227E-003
   0.49148328972164340E-009   0.848131138E-003
   0.49302398968942285E-009   0.872953271E-003
   0.49456468965720229E-009   0.898448634E-003
   0.49610538962498174E-009   0.924633758E-003
   0.49764608959276119E-009   0.951525755E-003
   0.49918678956054063E-009   0.979141914E-003
   0.50072748952832008E-009   0.100749999E-002
   0.50226818949609953E-009   0.103661814E-002
   0.50380888946387897E-009   0.106651476E-002
   0.50534958943165842E-009   0.109720859E-002
   0.50689028939943787E-009   0.112871907E-002
   0.50843098936721731E-009   0.116106565E-002
   0.50997168933499676E-009   0.119426870E-002
   0.51151238930277620E-009   0.122834870E-002
   0.51305308927055565E-009   0.126332650E-002
   0.51459378923833510E-009   0.129922328E-002
   0.51613448920611454E-009   0.133606105E-002
   0.51767518917389399E-009   0.137386192E-002
   0.51921588914167344E-009   0.141264871E-002
   0.52075658910945288E-009   0.145244459E-002
   0.52229728907723233E-009   0.149327330E-002
   0.52383798904501178E-009   0.153515872E-002
   0.52537868901279122E-009   0.157812575E-002
   0.52691938898057067E-009   0.162219955E-002
   0.52846008894835012E-009   0.166740548E-002
   0.53000078891612956E-009   0.171376974E-002
   0.53154148888390901E-009   0.176131900E-002
   0.53308218885168845E-009   0.181008084E-002
   0.53462288881946790E-009   0.186008238E-002
   0.53616358878724735E-009   0.191135192E-002
   0.53770428875502679E-009   0.196391810E-002
   0.53924498872280624E-009   0.201781094E-002
   0.54078568869058569E-009   0.207306002E-002
   0.54232638865836513E-009   0.212969608E-002
   0.54386708862614458E-009   0.218774984E-002
   0.54540778859392403E-009   0.224725297E-002
   0.54694848856170347E-009   0.230823806E-002
   0.54848918852948292E-009   0.237073773E-002
   0.55002988849726236E-009   0.243478594E-002
   0.55157058846504181E-009   0.250041648E-002
   0.55311128843282126E-009   0.256766449E-002
   0.55465198840060070E-009   0.263656490E-002
   0.55619268836838015E-009   0.270715402E-002
   0.55773338833615960E-009   0.277946843E-002
   0.55927408830393904E-009   0.285354559E-002
   0.56081478827171849E-009   0.292942394E-002
   0.56235548823949794E-009   0.300714211E-002
   0.56389618820727738E-009   0.308673969E-002
   0.56543688817505683E-009   0.316825695E-002
   0.56697758814283628E-009   0.325173396E-002
   0.56851828811061572E-009   0.333721354E-002
   0.57005898807839517E-009   0.342473714E-002
   0.57159968804617461E-009   0.351434853E-002
   0.57314038801395406E-009   0.360609125E-002
   0.57468108798173351E-009   0.370001048E-002
   0.57622178794951295E-009   0.379615068E-002
   0.57776248791729240E-009   0.389455911E-002
   0.57930318788507185E-009   0.399528164E-002
   0.58084388785285129E-009   0.409836695E-002
   0.58238458782063074E-009   0.420386344E-002
   0.58392528778841019E-009   0.431182096E-002
   0.58546598775618963E-009   0.442228839E-002
   0.58700668772396908E-009   0.453531789E-002
   0.58854738769174852E-009   0.465096114E-002
   0.59008808765952797E-009   0.476927171E-002
   0.59162878762730742E-009   0.489030220E-002
   0.59316948759508686E-009   0.501410710E-002
   0.59471018756286631E-009   0.514074229E-002
   0.59625088753064576E-009   0.527026458E-002
   0.59779158749842520E-009   0.540273031E-002
   0.59933228746620465E-009   0.553819817E-002
   0.60087298743398410E-009   0.567672681E-002
   0.60241368740176354E-009   0.581837585E-002
   0.60395438736954299E-009   0.596320722E-002
   0.60549508733732244E-009   0.611128239E-002
   0.60703578730510188E-009   0.626266329E-002
   0.60857648727288133E-009   0.641741510E-002
   0.61011718724066077E-009   0.657560118E-002
   0.61165788720844022E-009   0.673728809E-002
   0.61319858717621967E-009   0.690254243E-002
   0.61473928714399911E-009   0.707143312E-002
   0.61627998711177856E-009   0.724402675E-002
   0.61782068707955801E-009   0.742039457E-002
   0.61936138704733745E-009   0.760060642E-002
   0.62090208701511690E-009   0.778473448E-002
   0.62244278698289635E-009   0.797285046E-002
   0.62398348695067579E-009   0.816503074E-002
   0.62552418691845524E-009   0.836134888E-002
   0.62706488688623468E-009   0.856188033E-002
   0.62860558685401413E-009   0.876670331E-002
   0.63014628682179358E-009   0.897589326E-002
   0.63168698678957302E-009   0.918953307E-002
   0.63322768675735247E-009   0.940770004E-002
   0.63476838672513192E-009   0.963047892E-002
   0.63630908669291136E-009   0.985794980E-002
   0.63784978666069081E-009   0.100901974E-001
   0.63939048662847026E-009   0.103273047E-001
   0.64093118659624970E-009   0.105693573E-001
   0.64247188656402915E-009   0.108164446E-001
   0.64401258653180860E-009   0.110686542E-001
   0.64555328649958804E-009   0.113260746E-001
   0.64709398646736749E-009   0.115887970E-001
   0.64863468643514693E-009   0.118569108E-001
   0.65017538640292638E-009   0.121305119E-001
   0.65171608637070583E-009   0.124096898E-001
   0.65325678633848527E-009   0.126945432E-001
   0.65479748630626472E-009   0.129851680E-001
   0.65633818627404417E-009   0.132816602E-001
   0.65787888624182361E-009   0.135841202E-001
   0.65941958620960306E-009   0.138926459E-001
   0.66096028617738251E-009   0.142073371E-001
   0.66250098614516195E-009   0.145282988E-001
   0.66404168611294140E-009   0.148556316E-001
   0.66558238608072084E-009   0.151894428E-001
   0.66712308604850029E-009   0.155298356E-001
   0.66866378601627974E-009   0.158769190E-001
   0.67020448598405918E-009   0.162308011E-001
   0.67174518595183863E-009   0.165915862E-001
   0.67328588591961808E-009   0.169593897E-001
   0.67482658588739752E-009   0.173343197E-001
   0.67636728585517697E-009   0.177164897E-001
   0.67790798582295642E-009   0.181060191E-001
   0.67944868579073586E-009   0.185030177E-001
   0.68098938575851531E-009   0.189076029E-001
   0.68253008572629476E-009   0.193198901E-001
   0.68407078569407420E-009   0.197400004E-001
   0.68561148566185365E-009   0.201680548E-001
   0.68715218562963309E-009   0.206041727E-001
   0.68869288559741254E-009   0.210484788E-001
   0.69023358556519199E-009   0.215010922E-001
   0.69177428553297143E-009   0.219621398E-001
   0.69331498550075088E-009   0.224317480E-001
   0.69485568546853033E-009   0.229100399E-001
   0.69639638543630977E-009   0.233971477E-001
   0.69793708540408922E-009   0.238931999E-001
   0.69947778537186867E-009   0.243983269E-001
   0.70101848533964811E-009   0.249126609E-001
   0.70255918530742756E-009   0.254363343E-001
   0.70409988527520700E-009   0.259694792E-001
   0.70564058524298645E-009   0.265122280E-001
   0.70718128521076590E-009   0.270647220E-001
   0.70872198517854534E-009   0.276270956E-001
   0.71026268514632479E-009   0.281994864E-001
   0.71180338511410424E-009   0.287820380E-001
   0.71334408508188368E-009   0.293748863E-001
   0.71488478504966313E-009   0.299781710E-001
   0.71642548501744258E-009   0.305920374E-001
   0.71796618498522202E-009   0.312166251E-001
   0.71950688495300147E-009   0.318520851E-001
   0.72104758492078092E-009   0.324985571E-001
   0.72258828488856036E-009   0.331561938E-001
   0.72412898485633981E-009   0.338251367E-001
   0.72566968482411925E-009   0.345055349E-001
   0.72721038479189870E-009   0.351975411E-001
   0.72875108475967815E-009   0.359013006E-001
   0.73029178472745759E-009   0.366169661E-001
   0.73183248469523704E-009   0.373446904E-001
   0.73337318466301649E-009   0.380846225E-001
   0.73491388463079593E-009   0.388369225E-001
   0.73645458459857538E-009   0.396017395E-001
   0.73799528456635483E-009   0.403792337E-001
   0.73953598453413427E-009   0.411695652E-001
   0.74107668450191372E-009   0.419728793E-001
   0.74261738446969316E-009   0.427893363E-001
   0.74415808443747261E-009   0.436190963E-001
   0.74569878440525206E-009   0.444623157E-001
   0.74723948437303150E-009   0.453191549E-001
   0.74878018434081095E-009   0.461897776E-001
   0.75032088430859040E-009   0.470743440E-001
   0.75186158427636984E-009   0.479730181E-001
   0.75340228424414929E-009   0.488859564E-001
   0.75494298421192874E-009   0.498133227E-001
   0.75648368417970818E-009   0.507552773E-001
   0.75802438414748763E-009   0.517119952E-001
   0.75956508411526708E-009   0.526836216E-001
   0.76110578408304652E-009   0.536703281E-001
   0.76264648405082597E-009   0.546722934E-001
   0.76418718401860541E-009   0.556896739E-001
   0.76572788398638486E-009   0.567226335E-001
   0.76726858395416431E-009   0.577713363E-001
   0.76880928392194375E-009   0.588359497E-001
   0.77034998388972320E-009   0.599166378E-001
   0.77189068385750265E-009   0.610135682E-001
   0.77343138382528209E-009   0.621269122E-001
   0.77497208379306154E-009   0.632568300E-001
   0.77651278376084099E-009   0.644034892E-001
   0.77805348372862043E-009   0.655670613E-001
   0.77959418369639988E-009   0.667477101E-001
   0.78113488366417932E-009   0.679455921E-001
   0.78267558363195877E-009   0.691608936E-001
   0.78421628359973822E-009   0.703937709E-001
   0.78575698356751766E-009   0.716443956E-001
   0.78729768353529711E-009   0.729129314E-001
   0.78883838350307656E-009   0.741995275E-001
   0.79037908347085600E-009   0.755043626E-001
   0.79191978343863545E-009   0.768276080E-001
   0.79346048340641490E-009   0.781694427E-001
   0.79500118337419434E-009   0.795300081E-001
   0.79654188334197379E-009   0.809094682E-001
   0.79808258330975324E-009   0.823079795E-001
   0.79962328327753268E-009   0.837257206E-001
   0.80116398324531213E-009   0.851628408E-001
   0.80270468321309157E-009   0.866195112E-001
   0.80424538318087102E-009   0.880958959E-001
   0.80578608314865047E-009   0.895921513E-001
   0.80732678311642991E-009   0.911084414E-001
   0.80886748308420936E-009   0.926449075E-001
   0.81040818305198881E-009   0.942017138E-001
   0.81194888301976825E-009   0.957790315E-001
   0.81348958298754770E-009   0.973770022E-001
   0.81503028295532715E-009   0.989957824E-001
   0.81657098292310659E-009   0.100635529E+000
   0.81811168289088604E-009   0.102296382E+000
   0.81965238285866548E-009   0.103978515E+000
   0.82119308282644493E-009   0.105682045E+000
   0.82273378279422438E-009   0.107407153E+000
   0.82427448276200382E-009   0.109153956E+000
   0.82581518272978327E-009   0.110922635E+000
   0.82735588269756272E-009   0.112713285E+000
   0.82889658266534216E-009   0.114526093E+000
   0.83043728263312161E-009   0.116361156E+000
   0.83197798260090106E-009   0.118218660E+000
   0.83351868256868050E-009   0.120098710E+000
   0.83505938253645995E-009   0.122001462E+000
   0.83660008250423940E-009   0.123927027E+000
   0.83814078247201884E-009   0.125875548E+000
   0.83968148243979829E-009   0.127847135E+000
   0.84122218240757773E-009   0.129841939E+000
   0.84276288237535718E-009   0.131860077E+000
   0.84430358234313663E-009   0.133901700E+000
   0.84584428231091607E-009   0.135966882E+000
   0.84738498227869552E-009   0.138055757E+000
   0.84892568224647497E-009   0.140168443E+000
   0.85046638221425441E-009   0.142305031E+000
   0.85200708218203386E-009   0.144465655E+000
   0.85354778214981331E-009   0.146650434E+000
   0.85508848211759275E-009   0.148859471E+000
   0.85662918208537220E-009   0.151092827E+000
   0.85816988205315164E-009   0.153350651E+000
   0.85971058202093109E-009   0.155632988E+000
   0.86125128198871054E-009   0.157939970E+000
   0.86279198195648998E-009   0.160271704E+000
   0.86433268192426943E-009   0.162628248E+000
   0.86587338189204888E-009   0.165009707E+000
   0.86741408185982832E-009   0.167416126E+000
   0.86895478182760777E-009   0.169847593E+000
   0.87049548179538722E-009   0.172304183E+000
   0.87203618176316666E-009   0.174785987E+000
   0.87357688173094611E-009   0.177293092E+000
   0.87511758169872556E-009   0.179825544E+000
   0.87665828166650500E-009   0.182383388E+000
   0.87819898163428445E-009   0.184966654E+000
   0.87973968160206389E-009   0.187575445E+000
   0.88128038156984334E-009   0.190209776E+000
   0.88282108153762279E-009   0.192869738E+000
   0.88436178150540223E-009   0.195555329E+000
   0.88590248147318168E-009   0.198266625E+000
   0.88744318144096113E-009   0.201003596E+000
   0.88898388140874057E-009   0.203766376E+000
   0.89052458137652002E-009   0.206554860E+000
   0.89206528134429947E-009   0.209369168E+000
   0.89360598131207891E-009   0.212209284E+000
   0.89514668127985836E-009   0.215075240E+000
   0.89668738124763780E-009   0.217966974E+000
   0.89822808121541725E-009   0.220884576E+000
   0.89976878118319670E-009   0.223827988E+000
   0.90130948115097614E-009   0.226797253E+000
   0.90285018111875559E-009   0.229792312E+000
   0.90439088108653504E-009   0.232813194E+000
   0.90593158105431448E-009   0.235859826E+000
   0.90747228102209393E-009   0.238932252E+000
   0.90901298098987338E-009   0.242030352E+000
   0.91055368095765282E-009   0.245154202E+000
   0.91209438092543227E-009   0.248303682E+000
   0.91363508089321172E-009   0.251478732E+000
   0.91517578086099116E-009   0.254679412E+000
   0.91671648082877061E-009   0.257905573E+000
   0.91825718079655005E-009   0.261157155E+000
   0.91979788076432950E-009   0.264434099E+000
   0.92133858073210895E-009   0.267736316E+000
   0.92287928069988839E-009   0.271063834E+000
   0.92441998066766784E-009   0.274416476E+000
   0.92596068063544729E-009   0.277794152E+000
   0.92750138060322673E-009   0.281196833E+000
   0.92904208057100618E-009   0.284624368E+000
   0.93058278053878563E-009   0.288076639E+000
   0.93212348050656507E-009   0.291553587E+000
   0.93366418047434452E-009   0.295055091E+000
   0.93520488044212396E-009   0.298581004E+000
   0.93674558040990341E-009   0.302131176E+000
   0.93828628037768286E-009   0.305705518E+000
   0.93982698034546230E-009   0.309303880E+000
   0.94136768031324175E-009   0.312926143E+000
   0.94290838028102120E-009   0.316572070E+000
   0.94444908024880064E-009   0.320241600E+000
   0.94598978021658009E-009   0.323934555E+000
   0.94753048018435954E-009   0.327650696E+000
   0.94907118015213898E-009   0.331389964E+000
   0.95061188011991843E-009   0.335152060E+000
   0.95215258008769788E-009   0.338936865E+000
   0.95369328005547732E-009   0.342744112E+000
   0.95523398002325677E-009   0.346573740E+000
   0.95677467999103621E-009   0.350425422E+000
   0.95831537995881566E-009   0.354298949E+000
   0.95985607992659511E-009   0.358194202E+000
   0.96139677989437455E-009   0.362110883E+000
   0.96293747986215400E-009   0.366048783E+000
   0.96447817982993345E-009   0.370007634E+000
   0.96601887979771289E-009   0.373987198E+000
   0.96755957976549234E-009   0.377987236E+000
   0.96910027973327179E-009   0.382007480E+000
   0.97064097970105123E-009   0.386047691E+000
   0.97218167966883068E-009   0.390107632E+000
