t              WireAirBox.fdtd_Point probe A_Ex_50_50_25.dat       incid
   0.10199212578665406E-007   0.395143463E-003   0.000000000E+000
   0.10230025909718776E-007   0.274061138E-003   0.000000000E+000
   0.10260839240772146E-007  -0.389300985E-004   0.000000000E+000
   0.10291652571825516E-007  -0.286079710E-003   0.000000000E+000
   0.10322465902878886E-007  -0.248086842E-003   0.000000000E+000
   0.10353279233932255E-007   0.646491535E-004   0.000000000E+000
   0.10384092564985625E-007   0.400528806E-003   0.000000000E+000
   0.10414905896038995E-007   0.468478247E-003   0.000000000E+000
   0.10445719227092365E-007   0.192406646E-003   0.000000000E+000
   0.10476532558145735E-007  -0.211747451E-003   0.000000000E+000
   0.10507345889199105E-007  -0.418322277E-003   0.000000000E+000
   0.10538159220252474E-007  -0.275250408E-003   0.000000000E+000
   0.10568972551305844E-007   0.652304152E-004   0.000000000E+000
   0.10599785882359214E-007   0.278955064E-003   0.000000000E+000
   0.10630599213412584E-007   0.143147321E-003   0.000000000E+000
   0.10661412544465954E-007  -0.278524240E-003   0.000000000E+000
   0.10692225875519323E-007  -0.683055725E-003   0.000000000E+000
   0.10723039206572693E-007  -0.768033089E-003   0.000000000E+000
   0.10753852537626063E-007  -0.478420407E-003   0.000000000E+000
   0.10784665868679433E-007  -0.598117767E-004   0.000000000E+000
   0.10815479199732803E-007   0.140594886E-003   0.000000000E+000
   0.10846292530786172E-007  -0.270731543E-004   0.000000000E+000
   0.10877105861839542E-007  -0.374507043E-003   0.000000000E+000
   0.10907919192892912E-007  -0.530987454E-003   0.000000000E+000
   0.10938732523946282E-007  -0.270755962E-003   0.000000000E+000
   0.10969545854999652E-007   0.279569416E-003   0.000000000E+000
   0.11000359186053021E-007   0.742842560E-003   0.000000000E+000
   0.11031172517106391E-007   0.809648191E-003   0.000000000E+000
   0.11061985848159761E-007   0.489959610E-003   0.000000000E+000
   0.11092799179213131E-007   0.891815289E-004   0.000000000E+000
   0.11123612510266501E-007  -0.550964760E-004   0.000000000E+000
   0.11154425841319870E-007   0.148870080E-003   0.000000000E+000
   0.11185239172373240E-007   0.475051405E-003   0.000000000E+000
   0.11216052503426610E-007   0.569807482E-003   0.000000000E+000
   0.11246865834479980E-007   0.256492931E-003   0.000000000E+000
   0.11277679165533350E-007  -0.295006379E-003   0.000000000E+000
   0.11308492496586720E-007  -0.690375455E-003   0.000000000E+000
   0.11339305827640089E-007  -0.638471392E-003   0.000000000E+000
   0.11370119158693459E-007  -0.204092212E-003   0.000000000E+000
   0.11400932489746829E-007   0.245799514E-003   0.000000000E+000
   0.11431745820800199E-007   0.361595536E-003   0.000000000E+000
   0.11462559151853569E-007   0.108943757E-003   0.000000000E+000
   0.11493372482906938E-007  -0.220240006E-003   0.000000000E+000
   0.11524185813960308E-007  -0.280117849E-003   0.000000000E+000
   0.11554999145013678E-007   0.259593944E-004   0.000000000E+000
   0.11585812476067048E-007   0.468131155E-003   0.000000000E+000
   0.11616625807120418E-007   0.685408653E-003   0.000000000E+000
   0.11647439138173787E-007   0.483127165E-003   0.000000000E+000
   0.11678252469227157E-007  -0.403521699E-005   0.000000000E+000
   0.11709065800280527E-007  -0.413449365E-003   0.000000000E+000
   0.11739879131333897E-007  -0.448430248E-003   0.000000000E+000
   0.11770692462387267E-007  -0.128855114E-003   0.000000000E+000
   0.11801505793440636E-007   0.223245705E-003   0.000000000E+000
   0.11832319124494006E-007   0.267164811E-003   0.000000000E+000
   0.11863132455547376E-007  -0.501330360E-004   0.000000000E+000
   0.11893945786600746E-007  -0.447781320E-003   0.000000000E+000
   0.11924759117654116E-007  -0.569658703E-003   0.000000000E+000
   0.11955572448707485E-007  -0.303869281E-003   0.000000000E+000
   0.11986385779760855E-007   0.129286404E-003   0.000000000E+000
   0.12017199110814225E-007   0.381540274E-003   0.000000000E+000
   0.12048012441867595E-007   0.270992634E-003   0.000000000E+000
   0.12078825772920965E-007  -0.831659127E-004   0.000000000E+000
   0.12109639103974335E-007  -0.372183713E-003   0.000000000E+000
   0.12140452435027704E-007  -0.349335576E-003   0.000000000E+000
   0.12171265766081074E-007  -0.283515255E-004   0.000000000E+000
   0.12202079097134444E-007   0.323344284E-003   0.000000000E+000
   0.12232892428187814E-007   0.404593069E-003   0.000000000E+000
   0.12263705759241184E-007   0.144545338E-003   0.000000000E+000
   0.12294519090294553E-007  -0.225186843E-003   0.000000000E+000
   0.12325332421347923E-007  -0.375173870E-003   0.000000000E+000
   0.12356145752401293E-007  -0.179130118E-003   0.000000000E+000
   0.12386959083454663E-007   0.177188835E-003   0.000000000E+000
   0.12417772414508033E-007   0.379814999E-003   0.000000000E+000
   0.12448585745561402E-007   0.272393692E-003   0.000000000E+000
   0.12479399076614772E-007  -0.269784941E-004   0.000000000E+000
   0.12510212407668142E-007  -0.255474180E-003   0.000000000E+000
   0.12541025738721512E-007  -0.232256411E-003   0.000000000E+000
   0.12571839069774882E-007   0.868296775E-005   0.000000000E+000
   0.12602652400828251E-007   0.257094973E-003   0.000000000E+000
   0.12633465731881621E-007   0.293357123E-003   0.000000000E+000
   0.12664279062934991E-007   0.691229361E-004   0.000000000E+000
   0.12695092393988361E-007  -0.237460510E-003   0.000000000E+000
   0.12725905725041731E-007  -0.362890947E-003   0.000000000E+000
   0.12756719056095100E-007  -0.195688190E-003   0.000000000E+000
   0.12787532387148470E-007   0.112981012E-003   0.000000000E+000
   0.12818345718201840E-007   0.288372743E-003   0.000000000E+000
   0.12849159049255210E-007   0.189028258E-003   0.000000000E+000
   0.12879972380308580E-007  -0.751418265E-004   0.000000000E+000
   0.12910785711361950E-007  -0.265035196E-003   0.000000000E+000
   0.12941599042415319E-007  -0.229392084E-003   0.000000000E+000
   0.12972412373468689E-007  -0.115846342E-004   0.000000000E+000
   0.13003225704522059E-007   0.211811712E-003   0.000000000E+000
   0.13034039035575429E-007   0.273602374E-003   0.000000000E+000
   0.13064852366628799E-007   0.133955895E-003   0.000000000E+000
   0.13095665697682168E-007  -0.903737964E-004   0.000000000E+000
   0.13126479028735538E-007  -0.211956853E-003   0.000000000E+000
   0.13157292359788908E-007  -0.130301662E-003   0.000000000E+000
   0.13188105690842278E-007   0.706238061E-004   0.000000000E+000
   0.13218919021895648E-007   0.196679655E-003   0.000000000E+000
   0.13249732352949017E-007   0.132650297E-003   0.000000000E+000
   0.13280545684002387E-007  -0.483943149E-004   0.000000000E+000
   0.13311359015055757E-007  -0.169951410E-003   0.000000000E+000
   0.13342172346109127E-007  -0.130262866E-003   0.000000000E+000
   0.13372985677162497E-007   0.161427452E-004   0.000000000E+000
   0.13403799008215866E-007   0.133048437E-003   0.000000000E+000
   0.13434612339269236E-007   0.127694497E-003   0.000000000E+000
   0.13465425670322606E-007   0.110569526E-004   0.000000000E+000
   0.13496239001375976E-007  -0.122901372E-003   0.000000000E+000
