t              WireAirBox.fdtd_Point probe A_Ez_50_50_25.dat       incid
   0.13434612339269236E-007   0.259728949E-004   0.000000000E+000
   0.13465425670322606E-007   0.169553477E-004   0.000000000E+000
   0.13496239001375976E-007  -0.533892853E-005   0.000000000E+000
   0.13527052332429346E-007  -0.221931327E-005   0.000000000E+000
   0.13557865663482715E-007   0.956237636E-005   0.000000000E+000
   0.13588678994536085E-007  -0.440265831E-005   0.000000000E+000
   0.13619492325589455E-007  -0.268337008E-004   0.000000000E+000
   0.13650305656642825E-007  -0.130787530E-004   0.000000000E+000
   0.13681118987696195E-007   0.275113161E-004   0.000000000E+000
   0.13711932318749565E-007   0.352115458E-004   0.000000000E+000
   0.13742745649802934E-007  -0.654127143E-005   0.000000000E+000
   0.13773558980856304E-007  -0.388323351E-004   0.000000000E+000
   0.13804372311909674E-007  -0.153622132E-004   0.000000000E+000
   0.13835185642963044E-007   0.262255708E-004   0.000000000E+000
   0.13865998974016414E-007   0.239392175E-004   0.000000000E+000
   0.13896812305069783E-007  -0.130133958E-004   0.000000000E+000
   0.13927625636123153E-007  -0.238073590E-004   0.000000000E+000
   0.13958438967176523E-007   0.507318327E-005   0.000000000E+000
   0.13989252298229893E-007   0.225839631E-004   0.000000000E+000
   0.14020065629283263E-007   0.861853550E-006   0.000000000E+000
   0.14050878960336632E-007  -0.204170155E-004   0.000000000E+000
   0.14081692291390002E-007  -0.482187716E-005   0.000000000E+000
   0.14112505622443372E-007   0.179272010E-004   0.000000000E+000
   0.14143318953496742E-007   0.521801121E-005   0.000000000E+000
   0.14174132284550112E-007  -0.209726641E-004   0.000000000E+000
   0.14204945615603481E-007  -0.932326748E-005   0.000000000E+000
   0.14235758946656851E-007   0.281801113E-004   0.000000000E+000
   0.14266572277710221E-007   0.269248030E-004   0.000000000E+000
   0.14297385608763591E-007  -0.234308336E-004   0.000000000E+000
   0.14328198939816961E-007  -0.503546180E-004   0.000000000E+000
   0.14359012270870330E-007  -0.567327879E-005   0.000000000E+000
   0.14389825601923700E-007   0.541670670E-004   0.000000000E+000
