t              AirBox.fdtd_Point probe C_Hy_75_50_13.dat       incid
   0.22308851682639741E-007  -0.931757995E-007   0.000000000E+000
   0.22339665013693111E-007   0.747225670E-006   0.000000000E+000
   0.22370478344746481E-007   0.922929530E-006   0.000000000E+000
   0.22401291675799850E-007   0.319109063E-006   0.000000000E+000
   0.22432105006853220E-007  -0.509996539E-006   0.000000000E+000
   0.22462918337906590E-007  -0.898983217E-006   0.000000000E+000
   0.22493731668959960E-007  -0.588750254E-006   0.000000000E+000
   0.22524545000013330E-007   0.171638419E-006   0.000000000E+000
   0.22555358331066699E-007   0.830140380E-006   0.000000000E+000
   0.22586171662120069E-007   0.865483742E-006   0.000000000E+000
   0.22616984993173439E-007   0.173059902E-006   0.000000000E+000
   0.22647798324226809E-007  -0.735044011E-006   0.000000000E+000
   0.22678611655280179E-007  -0.105956565E-005   0.000000000E+000
   0.22709424986333548E-007  -0.451961398E-006   0.000000000E+000
   0.22740238317386918E-007   0.573291629E-006   0.000000000E+000
   0.22771051648440288E-007   0.109118992E-005   0.000000000E+000
   0.22801864979493658E-007   0.659711532E-006   0.000000000E+000
   0.22832678310547028E-007  -0.296997086E-006   0.000000000E+000
   0.22863491641600397E-007  -0.957614475E-006   0.000000000E+000
   0.22894304972653767E-007  -0.836664697E-006   0.000000000E+000
   0.22925118303707137E-007  -0.840639132E-007   0.000000000E+000
   0.22955931634760507E-007   0.726735266E-006   0.000000000E+000
   0.22986744965813877E-007   0.997597908E-006   0.000000000E+000
   0.23017558296867247E-007   0.482509620E-006   0.000000000E+000
   0.23048371627920616E-007  -0.475402942E-006   0.000000000E+000
   0.23079184958973986E-007  -0.109590337E-005   0.000000000E+000
   0.23109998290027356E-007  -0.791325078E-006   0.000000000E+000
   0.23140811621080726E-007   0.223799702E-006   0.000000000E+000
   0.23171624952134096E-007   0.105221841E-005   0.000000000E+000
   0.23202438283187465E-007   0.956890290E-006   0.000000000E+000
   0.23233251614240835E-007   0.592335141E-007   0.000000000E+000
   0.23264064945294205E-007  -0.833313209E-006   0.000000000E+000
   0.23294878276347575E-007  -0.100682496E-005   0.000000000E+000
   0.23325691607400945E-007  -0.395189772E-006   0.000000000E+000
   0.23356504938454314E-007   0.491022831E-006   0.000000000E+000
   0.23387318269507684E-007   0.995459231E-006   0.000000000E+000
   0.23418131600561054E-007   0.736897277E-006   0.000000000E+000
   0.23448944931614424E-007  -0.128473232E-006   0.000000000E+000
   0.23479758262667794E-007  -0.938183007E-006   0.000000000E+000
   0.23510571593721163E-007  -0.988121201E-006   0.000000000E+000
   0.23541384924774533E-007  -0.180930556E-006   0.000000000E+000
   0.23572198255827903E-007   0.795273422E-006   0.000000000E+000
   0.23603011586881273E-007   0.107301685E-005   0.000000000E+000
   0.23633824917934643E-007   0.431076558E-006   0.000000000E+000
   0.23664638248988012E-007  -0.529333704E-006   0.000000000E+000
   0.23695451580041382E-007  -0.996998892E-006   0.000000000E+000
   0.23726264911094752E-007  -0.654631208E-006   0.000000000E+000
   0.23757078242148122E-007   0.165147810E-006   0.000000000E+000
   0.23787891573201492E-007   0.829205533E-006   0.000000000E+000
   0.23818704904254862E-007   0.853025199E-006   0.000000000E+000
   0.23849518235308231E-007   0.204345270E-006   0.000000000E+000
   0.23880331566361601E-007  -0.635744811E-006   0.000000000E+000
   0.23911144897414971E-007  -0.974282784E-006   0.000000000E+000
   0.23941958228468341E-007  -0.486351496E-006   0.000000000E+000
   0.23972771559521711E-007   0.425762380E-006   0.000000000E+000
   0.24003584890575080E-007   0.955073347E-006   0.000000000E+000
   0.24034398221628450E-007   0.650442303E-006   0.000000000E+000
   0.24065211552681820E-007  -0.174022148E-006   0.000000000E+000
   0.24096024883735190E-007  -0.790241359E-006   0.000000000E+000
   0.24126838214788560E-007  -0.733303864E-006   0.000000000E+000
   0.24157651545841929E-007  -0.121169535E-006   0.000000000E+000
