t              AirBox.fdtd_Point probe A_Ex_25_50_13.dat       incid
   0.18056611997274707E-007   0.455539448E-004   0.000000000E+000
   0.18087425328328077E-007   0.751177431E-004   0.000000000E+000
   0.18118238659381447E-007   0.253680046E-004   0.000000000E+000
   0.18149051990434817E-007  -0.679694131E-004   0.000000000E+000
   0.18179865321488187E-007  -0.114193841E-003   0.000000000E+000
   0.18210678652541556E-007  -0.444980178E-004   0.000000000E+000
   0.18241491983594926E-007   0.980458062E-004   0.000000000E+000
   0.18272305314648296E-007   0.172776403E-003   0.000000000E+000
   0.18303118645701666E-007   0.822964721E-004   0.000000000E+000
   0.18333931976755036E-007  -0.107845997E-003   0.000000000E+000
   0.18364745307808406E-007  -0.220001559E-003   0.000000000E+000
   0.18395558638861775E-007  -0.139983589E-003   0.000000000E+000
   0.18426371969915145E-007   0.710644963E-004   0.000000000E+000
   0.18457185300968515E-007   0.235171217E-003   0.000000000E+000
   0.18487998632021885E-007   0.212848128E-003   0.000000000E+000
   0.18518811963075255E-007   0.132829155E-004   0.000000000E+000
   0.18549625294128624E-007  -0.213787149E-003   0.000000000E+000
   0.18580438625181994E-007  -0.286287628E-003   0.000000000E+000
   0.18611251956235364E-007  -0.128407832E-003   0.000000000E+000
   0.18642065287288734E-007   0.153626097E-003   0.000000000E+000
   0.18672878618342104E-007   0.333674194E-003   0.000000000E+000
   0.18703691949395473E-007   0.245913630E-003   0.000000000E+000
   0.18734505280448843E-007  -0.584291702E-004   0.000000000E+000
   0.18765318611502213E-007  -0.333167991E-003   0.000000000E+000
   0.18796131942555583E-007  -0.341831241E-003   0.000000000E+000
   0.18826945273608953E-007  -0.665912521E-004   0.000000000E+000
   0.18857758604662322E-007   0.271459576E-003   0.000000000E+000
   0.18888571935715692E-007   0.397287135E-003   0.000000000E+000
   0.18919385266769062E-007   0.206161785E-003   0.000000000E+000
   0.18950198597822432E-007  -0.155624090E-003   0.000000000E+000
   0.18981011928875802E-007  -0.404973282E-003   0.000000000E+000
   0.19011825259929171E-007  -0.338595593E-003   0.000000000E+000
   0.19042638590982541E-007   0.461976742E-005   0.000000000E+000
   0.19073451922035911E-007   0.359487633E-003   0.000000000E+000
   0.19104265253089281E-007   0.434695394E-003   0.000000000E+000
   0.19135078584142651E-007   0.154306152E-003   0.000000000E+000
   0.19165891915196021E-007  -0.262928283E-003   0.000000000E+000
   0.19196705246249390E-007  -0.473707041E-003   0.000000000E+000
   0.19227518577302760E-007  -0.298342085E-003   0.000000000E+000
   0.19258331908356130E-007   0.122658152E-003   0.000000000E+000
   0.19289145239409500E-007   0.444432779E-003   0.000000000E+000
   0.19319958570462870E-007   0.405845145E-003   0.000000000E+000
   0.19350771901516239E-007   0.418244454E-004   0.000000000E+000
   0.19381585232569609E-007  -0.352618372E-003   0.000000000E+000
   0.19412398563622979E-007  -0.464231649E-003   0.000000000E+000
   0.19443211894676349E-007  -0.207409321E-003   0.000000000E+000
   0.19474025225729719E-007   0.213657069E-003   0.000000000E+000
   0.19504838556783088E-007   0.465499063E-003   0.000000000E+000
   0.19535651887836458E-007   0.345473207E-003   0.000000000E+000
   0.19566465218889828E-007  -0.541150803E-004   0.000000000E+000
   0.19597278549943198E-007  -0.411513727E-003   0.000000000E+000
   0.19628091880996568E-007  -0.433451263E-003   0.000000000E+000
   0.19658905212049937E-007  -0.101594022E-003   0.000000000E+000
   0.19689718543103307E-007   0.307480979E-003   0.000000000E+000
   0.19720531874156677E-007   0.456324487E-003   0.000000000E+000
   0.19751345205210047E-007   0.231860307E-003   0.000000000E+000
   0.19782158536263417E-007  -0.168915067E-003   0.000000000E+000
   0.19812971867316787E-007  -0.417272502E-003   0.000000000E+000
   0.19843785198370156E-007  -0.325563218E-003   0.000000000E+000
   0.19874598529423526E-007   0.161488715E-004   0.000000000E+000
   0.19905411860476896E-007   0.330290000E-003   0.000000000E+000
   0.19936225191530266E-007   0.374550116E-003   0.000000000E+000
   0.19967038522583636E-007   0.123147154E-003   0.000000000E+000
   0.19997851853637005E-007  -0.219121925E-003   0.000000000E+000
   0.20028665184690375E-007  -0.377521064E-003   0.000000000E+000
   0.20059478515743745E-007  -0.226942982E-003   0.000000000E+000
   0.20090291846797115E-007   0.102840582E-003   0.000000000E+000
   0.20121105177850485E-007   0.334571290E-003   0.000000000E+000
   0.20151918508903854E-007   0.281215238E-003   0.000000000E+000
   0.20182731839957224E-007   0.331722549E-005   0.000000000E+000
   0.20213545171010594E-007  -0.256046158E-003   0.000000000E+000
   0.20244358502063964E-007  -0.289702963E-003   0.000000000E+000
   0.20275171833117334E-007  -0.927027431E-004   0.000000000E+000
   0.20305985164170703E-007   0.158093113E-003   0.000000000E+000
   0.20336798495224073E-007   0.264280854E-003   0.000000000E+000
   0.20367611826277443E-007   0.157458795E-003   0.000000000E+000
   0.20398425157330813E-007  -0.644827378E-004   0.000000000E+000
   0.20429238488384183E-007  -0.222039758E-003   0.000000000E+000
   0.20460051819437552E-007  -0.192843800E-003   0.000000000E+000
   0.20490865150490922E-007  -0.802117574E-005   0.000000000E+000
   0.20521678481544292E-007   0.172011351E-003   0.000000000E+000
   0.20552491812597662E-007   0.194971159E-003   0.000000000E+000
   0.20583305143651032E-007   0.517041481E-004   0.000000000E+000
   0.20614118474704402E-007  -0.120672921E-003   0.000000000E+000
   0.20644931805757771E-007  -0.171904772E-003   0.000000000E+000
   0.20675745136811141E-007  -0.737433438E-004   0.000000000E+000
   0.20706558467864511E-007   0.712787296E-004   0.000000000E+000
   0.20737371798917881E-007   0.137391355E-003   0.000000000E+000
   0.20768185129971251E-007   0.826748146E-004   0.000000000E+000
   0.20798998461024620E-007  -0.328129681E-004   0.000000000E+000
   0.20829811792077990E-007  -0.109091838E-003   0.000000000E+000
   0.20860625123131360E-007  -0.863191526E-004   0.000000000E+000
   0.20891438454184730E-007   0.109763860E-004   0.000000000E+000
   0.20922251785238100E-007   0.936154902E-004   0.000000000E+000
   0.20953065116291469E-007   0.844278620E-004   0.000000000E+000
   0.20983878447344839E-007  -0.713351619E-005   0.000000000E+000
   0.21014691778398209E-007  -0.895365883E-004   0.000000000E+000
   0.21045505109451579E-007  -0.800793205E-004   0.000000000E+000
   0.21076318440504949E-007   0.974918657E-005   0.000000000E+000
   0.21107131771558318E-007   0.880684456E-004   0.000000000E+000
