t              AirBox.fdtd_Point probe A_Ez_25_50_13.dat       incid
   0.22185598358426262E-007  -0.257464344E-004   0.000000000E+000
   0.22216411689479632E-007   0.288373485E-006   0.000000000E+000
   0.22247225020533001E-007   0.298636369E-004   0.000000000E+000
   0.22278038351586371E-007   0.199076276E-004   0.000000000E+000
   0.22308851682639741E-007  -0.159346237E-004   0.000000000E+000
   0.22339665013693111E-007  -0.271431563E-004   0.000000000E+000
   0.22370478344746481E-007  -0.226137672E-005   0.000000000E+000
   0.22401291675799850E-007   0.180307070E-004   0.000000000E+000
   0.22432105006853220E-007   0.778065623E-005   0.000000000E+000
   0.22462918337906590E-007  -0.757009548E-005   0.000000000E+000
   0.22493731668959960E-007  -0.503279352E-006   0.000000000E+000
   0.22524545000013330E-007   0.108898148E-004   0.000000000E+000
   0.22555358331066699E-007  -0.189607636E-005   0.000000000E+000
   0.22586171662120069E-007  -0.221066020E-004   0.000000000E+000
   0.22616984993173439E-007  -0.113221804E-004   0.000000000E+000
   0.22647798324226809E-007   0.227461096E-004   0.000000000E+000
   0.22678611655280179E-007   0.300820375E-004   0.000000000E+000
   0.22709424986333548E-007  -0.457033275E-005   0.000000000E+000
   0.22740238317386918E-007  -0.338440223E-004   0.000000000E+000
   0.22771051648440288E-007  -0.174110846E-004   0.000000000E+000
   0.22801864979493658E-007   0.185061926E-004   0.000000000E+000
   0.22832678310547028E-007   0.238162011E-004   0.000000000E+000
   0.22863491641600397E-007  -0.740563337E-006   0.000000000E+000
   0.22894304972653767E-007  -0.133026460E-004   0.000000000E+000
   0.22925118303707137E-007  -0.131630804E-005   0.000000000E+000
   0.22955931634760507E-007   0.498454119E-005   0.000000000E+000
   0.22986744965813877E-007  -0.817844375E-005   0.000000000E+000
   0.23017558296867247E-007  -0.124529706E-004   0.000000000E+000
   0.23048371627920616E-007   0.983369318E-005   0.000000000E+000
   0.23079184958973986E-007   0.272007765E-004   0.000000000E+000
   0.23109998290027356E-007   0.661700142E-005   0.000000000E+000
   0.23140811621080726E-007  -0.280348740E-004   0.000000000E+000
   0.23171624952134096E-007  -0.268670246E-004   0.000000000E+000
   0.23202438283187465E-007   0.975896364E-005   0.000000000E+000
   0.23233251614240835E-007   0.306800939E-004   0.000000000E+000
   0.23264064945294205E-007   0.106645966E-004   0.000000000E+000
   0.23294878276347575E-007  -0.161401076E-004   0.000000000E+000
   0.23325691607400945E-007  -0.139288259E-004   0.000000000E+000
   0.23356504938454314E-007   0.304079367E-005   0.000000000E+000
   0.23387318269507684E-007   0.363377148E-005   0.000000000E+000
   0.23418131600561054E-007  -0.602557157E-005   0.000000000E+000
   0.23448944931614424E-007   0.642291070E-006   0.000000000E+000
   0.23479758262667794E-007   0.173171702E-004   0.000000000E+000
   0.23510571593721163E-007   0.116570009E-004   0.000000000E+000
   0.23541384924774533E-007  -0.165688143E-004   0.000000000E+000
   0.23572198255827903E-007  -0.270277487E-004   0.000000000E+000
   0.23603011586881273E-007  -0.698690201E-006   0.000000000E+000
