t              SphericalCavity.fdtd_Point probe_Ex_50_25_50.dat
   0.30690073121730777E-008   0.263839127E-006
   0.30874953080295420E-008   0.301544702E-006
   0.31059833038860063E-008   0.340062854E-006
   0.31244712997424706E-008   0.380019713E-006
   0.31429592955989349E-008   0.419669931E-006
   0.31614472914553993E-008   0.454583329E-006
   0.31799352873118636E-008   0.481562836E-006
   0.31984232831683279E-008   0.500580882E-006
   0.32169112790247922E-008   0.511634425E-006
   0.32353992748812566E-008   0.512127940E-006
   0.32538872707377209E-008   0.498492057E-006
   0.32723752665941852E-008   0.468587558E-006
   0.32908632624506495E-008   0.421791214E-006
   0.33093512583071139E-008   0.358357170E-006
   0.33278392541635782E-008   0.279055627E-006
   0.33463272500200425E-008   0.184084584E-006
   0.33648152458765068E-008   0.729707352E-007
   0.33833032417329711E-008  -0.529409618E-007
   0.34017912375894355E-008  -0.188457918E-006
   0.34202792334458998E-008  -0.326651332E-006
   0.34387672293023641E-008  -0.462461855E-006
   0.34572552251588284E-008  -0.592305582E-006
   0.34757432210152928E-008  -0.710873508E-006
   0.34942312168717571E-008  -0.811338452E-006
   0.35127192127282214E-008  -0.889536409E-006
   0.35312072085846857E-008  -0.945275190E-006
   0.35496952044411501E-008  -0.979240440E-006
   0.35681832002976144E-008  -0.992104447E-006
   0.35866711961540787E-008  -0.986542432E-006
   0.36051591920105430E-008  -0.966232733E-006
   0.36236471878670073E-008  -0.933328749E-006
   0.36421351837234717E-008  -0.890826016E-006
   0.36606231795799360E-008  -0.844752094E-006
   0.36791111754364003E-008  -0.799537190E-006
   0.36975991712928646E-008  -0.754160624E-006
   0.37160871671493290E-008  -0.707624736E-006
   0.37345751630057933E-008  -0.663791297E-006
   0.37530631588622576E-008  -0.626352687E-006
   0.37715511547187219E-008  -0.594727226E-006
   0.37900391505751863E-008  -0.568276050E-006
   0.38085271464316506E-008  -0.546850515E-006
   0.38270151422881149E-008  -0.523346785E-006
   0.38455031381445792E-008  -0.482289067E-006
   0.38639911340010435E-008  -0.407839593E-006
   0.38824791298575079E-008  -0.288756951E-006
   0.39009671257139722E-008  -0.120079065E-006
   0.39194551215704365E-008   0.905930335E-007
   0.39379431174269008E-008   0.319550225E-006
