t              TwoCables.fdtd_Probe_Start_Ez_10_25_10.dat
   0.39441919175153828E-009  -0.794017911E-001
   0.39595989171931772E-009  -0.819058865E-001
   0.39750059168709717E-009  -0.844839662E-001
   0.39904129165487662E-009  -0.871380568E-001
   0.40058199162265606E-009  -0.898701996E-001
   0.40212269159043551E-009  -0.926825106E-001
   0.40366339155821496E-009  -0.955771506E-001
   0.40520409152599440E-009  -0.985563323E-001
   0.40674479149377385E-009  -0.101622321E+000
   0.40828549146155330E-009  -0.104777440E+000
   0.40982619142933274E-009  -0.108024083E+000
   0.41136689139711219E-009  -0.111364700E+000
   0.41290759136489164E-009  -0.114801794E+000
   0.41444829133267108E-009  -0.118337944E+000
   0.41598899130045053E-009  -0.121975787E+000
   0.41752969126822997E-009  -0.125718027E+000
   0.41907039123600942E-009  -0.129567400E+000
   0.42061109120378887E-009  -0.133526742E+000
   0.42215179117156831E-009  -0.137598917E+000
   0.42369249113934776E-009  -0.141786888E+000
   0.42523319110712721E-009  -0.146093637E+000
   0.42677389107490665E-009  -0.150522247E+000
   0.42831459104268610E-009  -0.155075848E+000
   0.42985529101046555E-009  -0.159757689E+000
   0.43139599097824499E-009  -0.164571062E+000
   0.43293669094602444E-009  -0.169519380E+000
   0.43447739091380388E-009  -0.174606144E+000
   0.43601809088158333E-009  -0.179834887E+000
   0.43755879084936278E-009  -0.185209244E+000
   0.43909949081714222E-009  -0.190732911E+000
   0.44064019078492167E-009  -0.196409687E+000
   0.44218089075270112E-009  -0.202243418E+000
   0.44372159072048056E-009  -0.208238050E+000
   0.44526229068826001E-009  -0.214397639E+000
   0.44680299065603946E-009  -0.220726281E+000
   0.44834369062381890E-009  -0.227228239E+000
   0.44988439059159835E-009  -0.233907819E+000
   0.45142509055937780E-009  -0.240769416E+000
   0.45296579052715724E-009  -0.247817561E+000
   0.45450649049493669E-009  -0.255056888E+000
   0.45604719046271613E-009  -0.262492120E+000
   0.45758789043049558E-009  -0.270128071E+000
   0.45912859039827503E-009  -0.277969688E+000
   0.46066929036605447E-009  -0.286021978E+000
   0.46220999033383392E-009  -0.294290066E+000
   0.46375069030161337E-009  -0.302779198E+000
   0.46529139026939281E-009  -0.311494708E+000
   0.46683209023717226E-009  -0.320442051E+000
   0.46837279020495171E-009  -0.329626769E+000
   0.46991349017273115E-009  -0.339054614E+000
   0.47145419014051060E-009  -0.348731399E+000
   0.47299489010829004E-009  -0.358663052E+000
   0.47453559007606949E-009  -0.368855625E+000
   0.47607629004384894E-009  -0.379315346E+000
   0.47761699001162838E-009  -0.390048534E+000
   0.47915768997940783E-009  -0.401061624E+000
   0.48069838994718728E-009  -0.412361205E+000
   0.48223908991496672E-009  -0.423953950E+000
   0.48377978988274617E-009  -0.435846776E+000
   0.48532048985052562E-009  -0.448046654E+000
   0.48686118981830506E-009  -0.460560620E+000
   0.48840188978608451E-009  -0.473396003E+000
   0.48994258975386396E-009  -0.486560166E+000
   0.49148328972164340E-009  -0.500060678E+000
   0.49302398968942285E-009  -0.513905287E+000
   0.49456468965720229E-009  -0.528101802E+000
   0.49610538962498174E-009  -0.542658269E+000
   0.49764608959276119E-009  -0.557582855E+000
   0.49918678956054063E-009  -0.572883904E+000
   0.50072748952832008E-009  -0.588569939E+000
   0.50226818949609953E-009  -0.604649544E+000
   0.50380888946387897E-009  -0.621131539E+000
