 f_at_0.19967038522583636E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009   0.157079637E+001   0.153051949E+001   0.329273217E-011   0.109496682E+001   0.129684852E-009   0.760500907E+000   0.966155410E+000   0.969954431E+000
   0.30000000000000000E+009   0.157079637E+001   0.161107314E+001   0.271312831E-011  -0.256771870E+001   0.129652983E-009   0.253648134E+000   0.965469182E+000   0.969277442E+000
   0.30000000000000000E+009   0.157079637E+001   0.169162679E+001   0.862836568E-011  -0.310600925E+001   0.128914531E-009  -0.292670239E+000   0.958583713E+000   0.962139130E+000
   0.30000000000000000E+009   0.157079637E+001   0.177218044E+001   0.142393813E-010   0.260089696E+001   0.127462238E-009  -0.875152455E+000   0.945007920E+000   0.948074639E+000
   0.30000000000000000E+009   0.157079637E+001   0.185273409E+001   0.193947480E-010   0.199420297E+001   0.125280540E-009  -0.149040442E+001   0.923882604E+000   0.926287591E+000
   0.30000000000000000E+009   0.157079637E+001   0.193328774E+001   0.240463059E-010   0.136065082E+001   0.122345206E-009  -0.213472340E+001   0.894365847E+000   0.896040499E+000
   0.30000000000000000E+009   0.157079637E+001   0.201384139E+001   0.282680913E-010   0.702640197E+000   0.118623374E-009  -0.280386089E+001   0.856069744E+000   0.857079566E+000
   0.30000000000000000E+009   0.157079637E+001   0.209439516E+001   0.322336832E-010   0.220440903E-001   0.114076281E-009   0.279030240E+001   0.809383750E+000   0.809922934E+000
   0.30000000000000000E+009   0.157079637E+001   0.217494893E+001   0.361489050E-010  -0.678525530E+000   0.108668623E-009   0.208693455E+001   0.755590260E+000   0.755929947E+000
   0.30000000000000000E+009   0.157079637E+001   0.225550270E+001   0.401610134E-010  -0.139441165E+001   0.102385780E-009   0.137504134E+001   0.696746409E+000   0.697149515E+000
   0.30000000000000000E+009   0.157079637E+001   0.233605647E+001   0.442842161E-010  -0.211871674E+001   0.952551767E-010   0.660221582E+000   0.635353684E+000   0.635991216E+000
   0.30000000000000000E+009   0.157079637E+001   0.241661024E+001   0.483824670E-010  -0.284355921E+001   0.873597392E-010  -0.526226592E-001   0.573873699E+000   0.574778855E+000
   0.30000000000000000E+009   0.157079637E+001   0.249716401E+001   0.522267023E-010   0.272135378E+001   0.788309606E-010  -0.759543086E+000   0.514297724E+000   0.515377104E+000
   0.30000000000000000E+009   0.157079637E+001   0.257771778E+001   0.555984799E-010   0.201493318E+001   0.698203269E-010  -0.145742867E+001   0.458039254E+000   0.459131420E+000
   0.30000000000000000E+009   0.157079637E+001   0.265827155E+001   0.583777897E-010   0.132385663E+001   0.604626215E-010  -0.214354565E+001   0.406172752E+000   0.407122284E+000
   0.30000000000000000E+009   0.157079637E+001   0.273882532E+001   0.605667928E-010   0.650652752E+000   0.508498429E-010  -0.281489659E+001   0.359745175E+000   0.360457271E+000
   0.30000000000000000E+009   0.157079637E+001   0.281937909E+001   0.622485641E-010  -0.204696706E-002   0.410268108E-010   0.281547584E+001   0.319888085E+000   0.320345014E+000
   0.30000000000000000E+009   0.157079637E+001   0.289993286E+001   0.635184997E-010  -0.630713382E+000   0.310071308E-010   0.218587244E+001   0.287708342E+000   0.287951291E+000
   0.30000000000000000E+009   0.157079637E+001   0.298048663E+001   0.644320844E-010  -0.123075312E+001   0.208006810E-010   0.158468232E+001   0.264115959E+000   0.264212221E+000
   0.30000000000000000E+009   0.157079637E+001   0.306104040E+001   0.649928428E-010  -0.179699897E+001   0.104393435E-010   0.101654261E+001   0.249723539E+000   0.249739125E+000
   0.30000000000000000E+009   0.157079637E+001   0.314159274E+001   0.651769717E-010  -0.232451457E+001   0.344072147E-013  -0.140344982E+001   0.244850174E+000   0.244839460E+000
