t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.17871732010954489E-008  -0.717923019E-014  -0.156833000E-007
   0.18179865321488187E-008  -0.210002964E-013  -0.124567752E-007
   0.18487998632021885E-008   0.757953406E-013  -0.963681668E-008
   0.18796131942555583E-008   0.799910648E-012  -0.724514893E-008
   0.19104265253089281E-008   0.530708550E-011  -0.537623013E-008
   0.19412398563622979E-008   0.214557642E-010  -0.390679755E-008
   0.19720531874156677E-008   0.605899636E-010  -0.275977485E-008
   0.20028665184690375E-008   0.230441458E-009  -0.189020044E-008
   0.20336798495224073E-008   0.357913366E-008  -0.125246691E-008
   0.20644931805757771E-008   0.100925890E-007  -0.831148983E-009
   0.20953065116291469E-008   0.835376923E-008  -0.540503975E-009
   0.21261198426825167E-008  -0.133186209E-007  -0.339476502E-009
   0.21569331737358866E-008  -0.230934223E-007  -0.205510414E-009
   0.21877465047892564E-008   0.186753457E-007  -0.119742938E-009
   0.22185598358426262E-008   0.750001234E-007  -0.712256157E-010
   0.22493731668959960E-008   0.754651239E-007  -0.415321180E-010
   0.22801864979493658E-008   0.493334014E-007  -0.231814602E-010
   0.23109998290027356E-008   0.100424060E-006  -0.123832203E-010
   0.23418131600561054E-008   0.265316373E-006  -0.633166826E-011
   0.23726264911094752E-008   0.522162736E-006  -0.338365620E-011
   0.24034398221628450E-008   0.905957450E-006  -0.177241674E-011
   0.24342531532162148E-008   0.151843574E-005  -0.878574123E-012
   0.24650664842695846E-008   0.251026495E-005  -0.413461420E-012
   0.24958798153229544E-008   0.414498936E-005  -0.185177787E-012
   0.25266931463763243E-008   0.679403547E-005  -0.891177526E-013
   0.25575064774296941E-008   0.108739314E-004  -0.420080095E-013
   0.25883198084830639E-008   0.169483592E-004  -0.184773986E-013
   0.26191331395364337E-008   0.259120661E-004  -0.764834837E-014
   0.26499464705898035E-008   0.389745328E-004  -0.299553710E-014
   0.26807598016431733E-008   0.575361228E-004  -0.130135802E-014
   0.27115731326965431E-008   0.831477955E-004  -0.552891862E-015
   0.27423864637499129E-008   0.117566640E-003  -0.215590068E-015
   0.27731997948032827E-008   0.162651108E-003  -0.783726830E-016
   0.28040131258566525E-008   0.220142450E-003  -0.268031880E-016
   0.28348264569100223E-008   0.291316741E-003  -0.105367408E-016
   0.28656397879633921E-008   0.376459357E-003  -0.404060607E-017
   0.28964531190167619E-008   0.474421744E-003  -0.139524907E-017
   0.29272664500701318E-008   0.582284527E-003  -0.444800658E-018
   0.29580797811235016E-008   0.694737420E-003  -0.132655911E-018
   0.29888931121768714E-008   0.803632312E-003  -0.473033315E-019
   0.30197064432302412E-008   0.898046186E-003  -0.163938990E-019
   0.30505197742836110E-008   0.964654377E-003  -0.500736167E-020
   0.30813331053369808E-008   0.988212531E-003   0.000000000E+000
   0.31121464363903506E-008   0.952796428E-003   0.000000000E+000
   0.31429597674437204E-008   0.843725400E-003   0.000000000E+000
   0.31737730984970902E-008   0.649528927E-003   0.000000000E+000
   0.32045864295504600E-008   0.364168314E-003   0.000000000E+000
   0.32353997606038298E-008  -0.109535758E-004   0.000000000E+000
   0.32662130916571996E-008  -0.465557940E-003   0.000000000E+000
   0.32970264227105694E-008  -0.979877193E-003   0.000000000E+000
   0.33278397537639393E-008  -0.152502931E-002   0.000000000E+000
   0.33586530848173091E-008  -0.206470443E-002   0.000000000E+000
   0.33894664158706789E-008  -0.255819829E-002   0.000000000E+000
   0.34202797469240487E-008  -0.296434527E-002   0.000000000E+000
   0.34510930779774185E-008  -0.324575161E-002   0.000000000E+000
   0.34819064090307883E-008  -0.337284012E-002   0.000000000E+000
   0.35127197400841581E-008  -0.332728028E-002   0.000000000E+000
   0.35435330711375279E-008  -0.310422340E-002   0.000000000E+000
   0.35743464021908977E-008  -0.271291588E-002   0.000000000E+000
   0.36051597332442675E-008  -0.217562076E-002   0.000000000E+000
   0.36359730642976373E-008  -0.152503070E-002   0.000000000E+000
   0.36667863953510071E-008  -0.800686423E-003   0.000000000E+000
   0.36975997264043770E-008  -0.450600637E-004   0.000000000E+000
   0.37284130574577468E-008   0.700360921E-003   0.000000000E+000
   0.37592263885111166E-008   0.139878097E-002   0.000000000E+000
   0.37900397195644864E-008   0.202092668E-002   0.000000000E+000
   0.38208530506178562E-008   0.254634977E-002   0.000000000E+000
   0.38516663816712260E-008   0.296350964E-002   0.000000000E+000
   0.38824797127245958E-008   0.326914340E-002   0.000000000E+000
   0.39132930437779656E-008   0.346662686E-002   0.000000000E+000
   0.39441063748313354E-008   0.356314681E-002   0.000000000E+000
   0.39749197058847052E-008   0.356669561E-002   0.000000000E+000
   0.40057330369380750E-008   0.348390033E-002   0.000000000E+000
   0.40365463679914448E-008   0.331855891E-002   0.000000000E+000
   0.40673596990448146E-008   0.307079707E-002   0.000000000E+000
   0.40981730300981845E-008   0.273760967E-002   0.000000000E+000
   0.41289863611515543E-008   0.231491658E-002   0.000000000E+000
   0.41597996922049241E-008   0.180020602E-002   0.000000000E+000
   0.41906130232582939E-008   0.119541888E-002   0.000000000E+000
   0.42214263543116637E-008   0.510355225E-003   0.000000000E+000
   0.42522396853650335E-008  -0.234297069E-003   0.000000000E+000
   0.42830530164184033E-008  -0.100589218E-002   0.000000000E+000
   0.43138663474717731E-008  -0.176099269E-002   0.000000000E+000
   0.43446796785251429E-008  -0.244828011E-002   0.000000000E+000
   0.43754930095785127E-008  -0.301344460E-002   0.000000000E+000
   0.44063063406318825E-008  -0.340614561E-002   0.000000000E+000
