t              SphereGround.fdtd_Point probe_1_Ex_50_50_50.dat       incid
   0.91515582924250882E-008   0.962293744E-001   0.000000000E+000
   0.91823716200090111E-008   0.103857175E+000   0.000000000E+000
   0.92131849475929339E-008   0.108124435E+000   0.000000000E+000
   0.92439982751768568E-008   0.109377868E+000   0.000000000E+000
   0.92748116027607796E-008   0.107865542E+000   0.000000000E+000
   0.93056249303447025E-008   0.103652239E+000   0.000000000E+000
   0.93364382579286254E-008   0.966549665E-001   0.000000000E+000
   0.93672515855125482E-008   0.867781043E-001   0.000000000E+000
   0.93980649130964711E-008   0.740577877E-001   0.000000000E+000
   0.94288782406803939E-008   0.587290041E-001   0.000000000E+000
   0.94596915682643168E-008   0.412041992E-001   0.000000000E+000
   0.94905048958482396E-008   0.220211092E-001   0.000000000E+000
   0.95213182234321625E-008   0.181660801E-002   0.000000000E+000
   0.95521315510160854E-008  -0.186758637E-001   0.000000000E+000
   0.95829448786000082E-008  -0.386567637E-001   0.000000000E+000
   0.96137582061839311E-008  -0.573523045E-001   0.000000000E+000
   0.96445715337678539E-008  -0.741313919E-001   0.000000000E+000
   0.96753848613517768E-008  -0.885714591E-001   0.000000000E+000
   0.97061981889356996E-008  -0.100437999E+000   0.000000000E+000
   0.97370115165196225E-008  -0.109613828E+000   0.000000000E+000
   0.97678248441035453E-008  -0.116035007E+000   0.000000000E+000
   0.97986381716874682E-008  -0.119657882E+000   0.000000000E+000
   0.98294514992713911E-008  -0.120452642E+000   0.000000000E+000
   0.98602648268553139E-008  -0.118415803E+000   0.000000000E+000
   0.98910781544392368E-008  -0.113596998E+000   0.000000000E+000
   0.99218914820231596E-008  -0.106134430E+000   0.000000000E+000
   0.99527048096070825E-008  -0.962929428E-001   0.000000000E+000
   0.99835181371910053E-008  -0.844923183E-001   0.000000000E+000
   0.10014331464774928E-007  -0.713038817E-001   0.000000000E+000
   0.10045144792358851E-007  -0.574035607E-001   0.000000000E+000
   0.10075958119942774E-007  -0.435046777E-001   0.000000000E+000
   0.10106771447526697E-007  -0.303108394E-001   0.000000000E+000
   0.10137584775110620E-007  -0.184984952E-001   0.000000000E+000
   0.10168398102694542E-007  -0.869117491E-002   0.000000000E+000
   0.10199211430278465E-007  -0.138535537E-002   0.000000000E+000
   0.10230024757862388E-007   0.315959053E-002   0.000000000E+000
   0.10260838085446311E-007   0.500619691E-002   0.000000000E+000
   0.10291651413030234E-007   0.454917364E-002   0.000000000E+000
   0.10322464740614157E-007   0.246191956E-002   0.000000000E+000
   0.10353278068198080E-007  -0.368810026E-003   0.000000000E+000
   0.10384091395782002E-007  -0.289106928E-002   0.000000000E+000
