t              2d_case.fdtd_Point probe_1_Ey_50_0_80.dat       incid
   0.27923673442953323E-008   0.000000000E+000   0.000000000E+000
   0.28301020381371611E-008   0.000000000E+000   0.000000000E+000
   0.28678367319789899E-008   0.000000000E+000   0.000000000E+000
   0.29055714258208187E-008   0.000000000E+000   0.000000000E+000
   0.29433061196626475E-008   0.000000000E+000   0.000000000E+000
   0.29810408135044764E-008   0.000000000E+000   0.000000000E+000
   0.30187755073463052E-008   0.000000000E+000   0.000000000E+000
   0.30565102011881340E-008   0.000000000E+000   0.000000000E+000
   0.30942448950299628E-008   0.000000000E+000   0.000000000E+000
   0.31319795888717916E-008   0.000000000E+000   0.000000000E+000
   0.31697142827136204E-008   0.000000000E+000   0.000000000E+000
   0.32074489765554492E-008   0.000000000E+000   0.000000000E+000
   0.32451836703972781E-008   0.000000000E+000   0.000000000E+000
   0.32829183642391069E-008   0.000000000E+000   0.000000000E+000
   0.33206530580809357E-008   0.000000000E+000   0.000000000E+000
   0.33583877519227645E-008   0.000000000E+000   0.000000000E+000
   0.33961224457645933E-008   0.000000000E+000   0.000000000E+000
   0.34338571396064221E-008   0.000000000E+000   0.000000000E+000
   0.34715918334482510E-008   0.000000000E+000   0.000000000E+000
   0.35093265272900798E-008   0.000000000E+000   0.000000000E+000
   0.35470612211319086E-008   0.000000000E+000   0.000000000E+000
   0.35847959149737374E-008   0.000000000E+000   0.000000000E+000
   0.36225306088155662E-008   0.000000000E+000   0.000000000E+000
   0.36602653026573950E-008   0.000000000E+000   0.000000000E+000
   0.36979999964992238E-008   0.000000000E+000   0.000000000E+000
   0.37357346903410527E-008   0.000000000E+000   0.000000000E+000
   0.37734693841828815E-008   0.000000000E+000   0.000000000E+000
   0.38112040780247103E-008   0.000000000E+000   0.000000000E+000
   0.38489387718665391E-008   0.000000000E+000   0.000000000E+000
   0.38866734657083679E-008   0.357538000E-034   0.000000000E+000
   0.39244081595501967E-008   0.590421540E-034   0.000000000E+000
   0.39621428533920255E-008  -0.116467393E-032   0.000000000E+000
   0.39998775472338544E-008  -0.321026738E-027   0.000000000E+000
   0.40376122410756832E-008  -0.221553711E-025   0.000000000E+000
   0.40753469349175120E-008  -0.488281629E-024   0.000000000E+000
   0.41130816287593408E-008  -0.102615973E-022   0.000000000E+000
   0.41508163226011696E-008  -0.206748957E-022   0.000000000E+000
   0.41885510164429984E-008  -0.582337751E-022   0.000000000E+000
   0.42262857102848272E-008  -0.171172202E-021   0.000000000E+000
   0.42640204041266561E-008  -0.415507503E-021   0.000000000E+000
   0.43017550979684849E-008  -0.857591213E-021   0.000000000E+000
   0.43394897918103137E-008  -0.206624830E-020   0.000000000E+000
   0.43772244856521425E-008  -0.870724806E-020   0.000000000E+000
   0.44149591794939713E-008  -0.320424825E-019   0.000000000E+000
   0.44526938733358001E-008  -0.849232214E-019   0.000000000E+000
   0.44904285671776289E-008  -0.564383212E-018   0.000000000E+000
   0.45281632610194578E-008  -0.198675569E-017   0.000000000E+000
   0.45658979548612866E-008  -0.644508693E-017   0.000000000E+000
   0.46036326487031154E-008  -0.178051835E-016   0.000000000E+000
   0.46413673425449442E-008  -0.550074313E-016   0.000000000E+000
   0.46791020363867730E-008  -0.176659786E-015   0.000000000E+000
   0.47168367302286018E-008  -0.508397910E-015   0.000000000E+000
   0.47545714240704307E-008  -0.137730776E-014   0.000000000E+000
   0.47923061179122595E-008  -0.367853958E-014   0.000000000E+000
   0.48300408117540883E-008  -0.946379917E-014   0.000000000E+000
   0.48677755055959171E-008  -0.242267771E-013   0.000000000E+000
   0.49055101994377459E-008  -0.571351302E-013   0.000000000E+000
   0.49432448932795747E-008  -0.131930030E-012   0.000000000E+000
   0.49809795871214035E-008  -0.298719220E-012   0.000000000E+000
   0.50187142809632324E-008  -0.647620629E-012   0.000000000E+000
   0.50564489748050612E-008  -0.136491209E-011   0.000000000E+000
   0.50941836686468900E-008  -0.288076702E-011   0.000000000E+000
   0.51319183624887188E-008  -0.572270009E-011   0.000000000E+000
   0.51696530563305476E-008  -0.114093596E-010   0.000000000E+000
   0.52073877501723764E-008  -0.226249141E-010   0.000000000E+000
   0.52451224440142052E-008  -0.423636959E-010   0.000000000E+000
   0.52828571378560341E-008  -0.719450610E-010   0.000000000E+000
   0.53205918316978629E-008  -0.131874983E-009   0.000000000E+000
   0.53583265255396917E-008  -0.227537017E-009   0.000000000E+000
   0.53960612193815205E-008  -0.360615371E-009   0.000000000E+000
   0.54337959132233493E-008  -0.568745384E-009   0.000000000E+000
   0.54715306070651781E-008  -0.868762284E-009   0.000000000E+000
   0.55092653009070069E-008  -0.138660727E-008   0.000000000E+000
   0.55469999947488358E-008  -0.215138485E-008   0.000000000E+000
   0.55847346885906646E-008  -0.305479864E-008   0.000000000E+000
   0.56224693824324934E-008  -0.445838966E-008   0.000000000E+000
   0.56602040762743222E-008  -0.636037001E-008   0.000000000E+000
   0.56979387701161510E-008  -0.919532894E-008   0.000000000E+000
   0.57356734639579798E-008  -0.139831418E-007   0.000000000E+000
   0.57734081577998086E-008  -0.192845135E-007   0.000000000E+000
   0.58111428516416375E-008  -0.278414980E-007   0.000000000E+000
   0.58488775454834663E-008  -0.372961964E-007   0.000000000E+000
   0.58866122393252951E-008  -0.476035211E-007   0.000000000E+000
   0.59243469331671239E-008  -0.599262506E-007   0.000000000E+000
   0.59620816270089527E-008  -0.639029807E-007   0.000000000E+000
   0.59998163208507815E-008  -0.519043759E-007   0.000000000E+000
   0.60375510146926104E-008  -0.958180735E-008   0.000000000E+000
   0.60752857085344392E-008   0.102340181E-006   0.000000000E+000
   0.61130204023762680E-008   0.325886788E-006   0.000000000E+000
   0.61507550962180968E-008   0.741214478E-006   0.000000000E+000
   0.61884897900599256E-008   0.146704053E-005   0.000000000E+000
   0.62262244839017544E-008   0.263996708E-005   0.000000000E+000
   0.62639591777435832E-008   0.443524505E-005   0.000000000E+000
   0.63016938715854121E-008   0.706439823E-005   0.000000000E+000
   0.63394285654272409E-008   0.107599790E-004   0.000000000E+000
   0.63771632592690697E-008   0.157219547E-004   0.000000000E+000
   0.64148979531108985E-008   0.221193513E-004   0.000000000E+000
   0.64526326469527273E-008   0.300439369E-004   0.000000000E+000
   0.64903673407945561E-008   0.394468079E-004   0.000000000E+000
   0.65281020346363849E-008   0.501205868E-004   0.000000000E+000
   0.65658367284782138E-008   0.617327460E-004   0.000000000E+000
   0.66035714223200426E-008   0.737983573E-004   0.000000000E+000
   0.66413061161618714E-008   0.857056366E-004   0.000000000E+000
   0.66790408100037002E-008   0.968641252E-004   0.000000000E+000
   0.67167755038455290E-008   0.106807231E-003   0.000000000E+000
   0.67545101976873578E-008   0.115136587E-003   0.000000000E+000
   0.67922448915291866E-008   0.121529607E-003   0.000000000E+000
   0.68299795853710155E-008   0.125840583E-003   0.000000000E+000
   0.68677142792128443E-008   0.128115746E-003   0.000000000E+000
   0.69054489730546731E-008   0.128547050E-003   0.000000000E+000
   0.69431836668965019E-008   0.127505729E-003   0.000000000E+000
   0.69809183607383307E-008   0.125550272E-003   0.000000000E+000
   0.70186530545801595E-008   0.123205449E-003   0.000000000E+000
   0.70563877484219883E-008   0.120731791E-003   0.000000000E+000
   0.70941224422638172E-008   0.118083597E-003   0.000000000E+000
   0.71318571361056460E-008   0.115014060E-003   0.000000000E+000
   0.71695918299474748E-008   0.111249487E-003   0.000000000E+000
   0.72073265237893036E-008   0.106759624E-003   0.000000000E+000
   0.72450612176311324E-008   0.101899474E-003   0.000000000E+000
   0.72827959114729612E-008   0.972104608E-004   0.000000000E+000
   0.73205306053147901E-008   0.930647075E-004   0.000000000E+000
   0.73582652991566189E-008   0.894671102E-004   0.000000000E+000
   0.73959999929984477E-008   0.861059234E-004   0.000000000E+000
   0.74337346868402765E-008   0.825711541E-004   0.000000000E+000
   0.74714693806821053E-008   0.786288947E-004   0.000000000E+000
   0.75092040745239341E-008   0.744095742E-004   0.000000000E+000
   0.75469387683657629E-008   0.702750040E-004   0.000000000E+000
   0.75846734622075918E-008   0.665355110E-004   0.000000000E+000
   0.76224081560494206E-008   0.632604060E-004   0.000000000E+000
   0.76601428498912494E-008   0.602848413E-004   0.000000000E+000
   0.76978775437330782E-008   0.573691505E-004   0.000000000E+000
   0.77356122375749070E-008   0.543970891E-004   0.000000000E+000
